"Station Name","FERGUSON"
"Province","BRITISH COLUMBIA"
"Latitude","50.67"
"Longitude","-117.48"
"Elevation",""
"Climate Identifier","1142845"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1908-01","1908","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1908-02","1908","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1908-03","1908","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1908-04","1908","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1908-05","1908","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1908-06","1908","06","","","","","","","","","","","88.1","","0.0","","88.1","","","",,"",,""
"1908-07","1908","07","","","","","","","","","","","44.7","","0.0","","44.7","","","",,"",,""
"1908-08","1908","08","","","","","","","","","","","51.1","","0.0","","51.1","","","",,"",,""
"1908-09","1908","09","","","","","","","","","","","72.1","","1.3","","73.4","","","",,"",,""
"1908-10","1908","10","","","","","","","","","","","93.5","","2.5","","96.0","","","",,"",,""
"1908-11","1908","11","","","","","","","","","","","132.3","","40.6","","173.0","","","",,"",,""
"1908-12","1908","12","","","","","","","","","","","0.0","","214.9","","214.9","","","",,"",,""
"1909-01","1909","01","","","","","","","","","","","0.0","","252.2","","252.2","","","",,"",,""
"1909-02","1909","02","","","","","","","","","","","0.0","T","220.5","","220.5","","","",,"",,""
"1909-03","1909","03","","","","","","","","","","","10.4","","40.9","","51.3","","","",,"",,""
"1909-04","1909","04","","","","","","","","","","","42.4","","2.5","","45.0","","","",,"",,""
"1909-05","1909","05","","","","","","","","","","","43.9","","0.0","T","43.9","","","",,"",,""
"1909-06","1909","06","","","","","","","","","","","62.7","","0.0","","62.7","","","",,"",,""
"1909-07","1909","07","","","","","","","","","","","81.3","","0.0","","81.3","","","",,"",,""
"1909-08","1909","08","","","","","","","","","","","34.5","","0.0","","34.5","","","",,"",,""
"1909-09","1909","09","","","","","","","","","","","84.8","","0.0","","84.8","","","",,"",,""
"1909-10","1909","10","","","","","","","","","","","105.7","","15.2","","120.9","","","",,"",,""
"1909-11","1909","11","","","","","","","","","","","35.8","","157.5","","193.3","","","",,"",,""
"1909-12","1909","12","","","","","","","","","","","0.0","","118.1","","118.1","","","",,"",,""
"1910-01","1910","01","","","","","","","","","","","10.2","","141.0","","151.1","","","",,"",,""
"1910-02","1910","02","","","","","","","","","","","0.0","","185.4","","185.4","","","",,"",,""
"1910-03","1910","03","","","","","","","","","","","42.2","","61.0","","103.1","","","",,"",,""
"1910-04","1910","04","","","","","","","","","","","90.9","","40.6","","131.6","","","",,"",,""
"1910-05","1910","05","","","","","","","","","","","39.9","","0.0","","39.9","","","",,"",,""
"1910-06","1910","06","","","","","","","","","","","58.9","","0.0","","58.9","","","",,"",,""
"1910-07","1910","07","","","","","","","","","","","22.1","","0.0","","22.1","","","",,"",,""
"1910-08","1910","08","","","","","","","","","","","33.3","","0.0","","33.3","","","",,"",,""
"1910-09","1910","09","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1910-10","1910","10","","","","","","","","","","","138.7","","17.8","","156.5","","","",,"",,""
"1910-11","1910","11","","","","","","","","","","","52.6","","132.1","","184.7","","","",,"",,""
"1910-12","1910","12","","","","","","","","","","","0.0","","166.4","","166.4","","","",,"",,""
"1911-01","1911","01","","","","","","","","","","","0.0","","235.0","","235.0","","","",,"",,""
"1911-02","1911","02","","","","","","","","","","","0.0","","55.9","","55.9","","","",,"",,""
"1911-03","1911","03","","","","","","","","","","","11.4","","77.5","","88.9","","","",,"",,""
"1911-04","1911","04","","","","","","","","","","","41.1","","16.5","","57.7","","","",,"",,""
