"Station Name","FONTENELLE"
"Province","QUEBEC"
"Latitude","48.93"
"Longitude","-64.65"
"Elevation","15.00"
"Climate Identifier","705KL75"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-06","1972","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-07","1972","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-08","1972","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-09","1972","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-10","1972","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-11","1972","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-12","1972","12","-6.7","","-19.6","","-13.2","","5.6","","-32.2","","8.4","","64.5","","72.9","","","",,"",,""
"1973-01","1973","01","-5.3","","-19.4","","-12.4","","5.0","","-33.3","","","M","","M","","M","48","",,"",,""
"1973-02","1973","02","-3.6","","-17.4","","-10.5","","10.6","","-29.4","","1.3","","44.7","E","46.0","E","43","",,"",,""
"1973-03","1973","03","2.9","","-11.4","","-4.3","","12.8","","-28.9","","","M","63.0","","","M","30","",,"",,""
"1973-04","1973","04","5.2","","-4.7","","0.3","","15.6","","-15.6","","68.1","","31.5","","99.6","","0","",,"",,""
"1973-05","1973","05","11.7","","0.9","","6.3","","23.9","","-2.2","","","M","0.0","","","M","0","",,"",,""
"1973-06","1973","06","22.2","","8.8","","15.5","","28.9","S","-1.7","","47.8","","0.0","","47.8","","0","",,"",,""
"1973-07","1973","07","24.9","","11.6","","18.3","","29.4","","2.8","","144.3","","0.0","","144.3","","0","",,"",,""
"1973-08","1973","08","20.9","","11.8","","16.4","","25.0","","3.9","","68.8","","0.0","","68.8","","0","",,"",,""
"1973-09","1973","09","17.1","","2.9","","10.0","","27.8","","-6.7","","48.5","","0.0","","48.5","","0","",,"",,""
"1973-10","1973","10","10.6","","-0.8","","4.9","","25.6","","-10.0","S","86.4","","0.0","","86.4","","0","",,"",,""
"1973-11","1973","11","2.4","","-5.1","","-1.4","","10.6","","-12.8","","24.9","","14.5","","39.4","","0","",,"",,""
"1973-12","1973","12","1.7","","-8.9","","-3.6","","12.2","","-17.2","S","82.3","","45.0","","127.3","","8","",,"",,""
"1974-01","1974","01","-8.3","","-21.3","","-14.8","","5.0","","-30.0","","12.7","","26.4","","39.1","","15","",,"",,""
"1974-02","1974","02","-4.4","","-19.1","","-11.8","","4.4","","-31.7","","0.0","","20.3","","20.3","","15","",,"",,""
"1974-03","1974","03","-0.1","","-12.4","","-6.3","","10.6","","-28.3","","12.7","","52.8","","65.5","","15","",,"",,""
"1974-04","1974","04","","M","-5.6","","","M","","M","-17.2","","25.4","E","41.1","","66.5","E","0","",,"",,""
"1974-05","1974","05","10.9","","-0.4","","5.3","","18.3","","-6.7","","60.2","","4.1","","64.3","","0","",,"",,""
"1974-06","1974","06","22.1","","5.3","","13.7","","31.7","","-1.7","","58.4","","0.0","","58.4","","0","",,"",,""
"1974-07","1974","07","22.2","","9.2","","15.7","","33.3","","3.3","","135.1","","0.0","","135.1","","0","",,"",,""
"1974-08","1974","08","20.6","E","11.1","E","15.9","E","","M","","M","","M","","M","","M","","M",,"",,""
"1974-09","1974","09","16.3","","2.0","","9.2","","24.4","","-5.0","S","80.8","","0.0","","80.8","","0","",,"",,""
"1974-10","1974","10","7.5","","-4.4","","1.6","","18.3","","-15.0","","94.0","","23.4","","117.3","","0","",,"",,""
"1974-11","1974","11","3.2","","-6.9","","-1.9","","11.1","","-17.2","","41.4","","102.1","","143.5","","46","",,"",,""
"1974-12","1974","12","-1.3","","-11.5","","-6.4","","8.9","","-22.2","","17.5","","127.5","","145.0","","48","",,"",,""
"1975-01","1975","01","-7.1","","-21.6","","-14.4","","5.6","","-38.3","","2.5","","64.8","","67.3","","69","",,"",,""
"1975-02","1975","02","-6.4","","","M","","M","5.6","","","M","0.0","","22.1","","22.1","","58","",,"",,""
"1975-03","1975","03","0.1","","-13.5","","-6.7","","10.6","","-30.0","","26.9","","79.8","","106.7","","53","",,"",,""
"1975-04","1975","04","4.3","","-5.4","","-0.6","","12.8","","-19.4","","39.9","","51.8","","91.7","","8","",,"",,""
"1975-05","1975","05","14.4","","-1.7","","6.4","","22.2","S","-6.1","S","50.5","","0.0","T","50.5","","0","",,"",,""
"1975-06","1975","06","21.7","","6.2","","14.0","","32.2","","-2.8","","58.7","","0.0","","58.7","","0","",,"",,""
"1975-07","1975","07","25.5","","12.2","","18.9","","34.4","","4.4","","126.0","","0.0","","126.0","","0","",,"",,""
"1975-08","1975","08","21.8","","8.2","","15.0","","28.3","","-1.7","","66.8","","0.0","","66.8","","0","",,"",,""
"1975-09","1975","09","17.7","","4.0","","10.9","","23.9","","-4.4","","64.0","","0.0","","64.0","","0","",,"",,""
