"Station Name","FORDING RIVER CLODE CRK"
"Province","BRITISH COLUMBIA"
"Latitude","50.20"
"Longitude","-114.82"
"Elevation","2100.00"
"Climate Identifier","1152898"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1976-01","1976","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-02","1976","02","-4.9","","-13.5","","-9.2","","2.8","","-23.9","","0.0","","78.5","","78.5","","","M",,"",,""
"1976-03","1976","03","-2.8","","-13.0","","-7.9","","5.0","","-34.4","","0.0","","19.3","","19.3","","0","",,"",,""
"1976-04","1976","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-05","1976","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-06","1976","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-07","1976","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-08","1976","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-09","1976","09","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1976-10","1976","10","7.6","","-3.6","","2.0","","17.2","","-13.9","","7.6","","24.9","","32.5","","0","",,"",,""
"1976-11","1976","11","-0.3","","-8.5","","-4.4","","6.7","","-22.2","","3.3","","24.4","","27.7","","","M",,"",,""
"1976-12","1976","12","","M","","M","","M","7.8","","","M","","M","","M","","M","","M",,"",,""
"1977-01","1977","01","-8.4","","-16.4","","-12.4","","1.7","","-25.0","","0.0","","61.5","","61.5","","","M",,"",,""
"1977-02","1977","02","-0.5","","-9.7","","-5.1","","6.7","","","M","0.0","","17.1","","17.1","","","M",,"",,""
"1977-03","1977","03","-1.9","","-11.1","","-6.5","","5.0","","","M","0.0","","103.8","","103.8","","","M",,"",,""
"1977-04","1977","04","8.2","","","M","","M","","M","","M","0.0","","4.6","","4.6","","","M",,"",,""
"1977-05","1977","05","7.8","","-1.3","","3.3","","16.1","","","M","100.2","","37.7","","137.9","","0","",,"",,""
"1977-06","1977","06","16.4","","3.6","","10.0","","24.4","","","M","62.3","","4.3","","66.6","","0","",,"",,""
"1977-07","1977","07","17.1","E","4.7","E","10.9","E","24.4","","","M","57.6","","0.0","","57.6","","0","",,"",,""
"1977-08","1977","08","15.8","","4.7","","10.3","","","M","","M","114.1","","0.0","","114.1","","0","",,"",,""
"1977-09","1977","09","10.3","","","M","","M","","M","","M","42.2","","1.5","","43.7","","0","",,"",,""
"1977-10","1977","10","5.6","","-3.3","","1.2","","","M","","M","0.0","","5.6","","5.6","","","M",,"",,""
"1977-11","1977","11","-5.2","","-10.1","","-7.7","","2.8","","-26.7","","34.8","","55.9","","90.7","","22","",,"",,""
"1977-12","1977","12","-9.4","","-15.4","","-12.4","","0.0","","-32.2","","0.0","T","93.5","E","93.5","E","76","",,"",,""
"1978-01","1978","01","-9.7","","-14.4","","-12.1","","-2.8","","-23.3","","0.0","","51.0","","51.0","","86","",,"",,""
"1978-02","1978","02","-6.2","","-12.2","","-9.2","","1.1","","-21.7","","0.0","","15.5","","15.5","","","M",,"",,""
"1978-03","1978","03","-1.3","","-8.5","","-4.9","","11.1","","-21.1","","4.1","","31.5","","35.6","","","M",,"",,""
"1978-04","1978","04","2.6","","-5.9","","-1.7","","10.6","","-12.2","","11.2","","","M","","M","","M",,"",,""
"1978-05","1978","05","5.6","","-1.0","","2.3","","16.1","","-4.4","","85.7","","4.5","","90.2","","","M",,"",,""
"1978-06","1978","06","17.1","","2.7","","9.9","","32.2","","-6.7","","61.3","E","21.3","","82.6","E","0","",,"",,""
"1978-07","1978","07","23.2","","8.0","","15.6","","32.2","","-1.1","","101.4","","0.0","","101.4","","0","",,"",,""
"1978-08","1978","08","20.6","","5.4","","13.0","","36.1","","-1.7","S","56.5","E","0.0","","56.5","E","0","",,"",,""
"1978-09","1978","09","13.5","","2.5","","8.0","","28.0","","-8.0","","48.5","","2.3","","50.8","","0","",,"",,""
"1978-10","1978","10","8.2","","-4.9","","1.7","","19.5","","-18.5","","4.0","","18.8","","22.8","","","M",,"",,""
"1978-11","1978","11","-9.3","","-19.7","","-14.5","","7.0","","-36.0","","0.2","","38.9","","39.1","","","M",,"",,""
"1978-12","1978","12","-18.7","","-27.3","","-23.0","","-7.0","","-56.0","","0.0","","165.8","","165.8","","","M",,"",,""
"1979-01","1979","01","-14.7","","-23.8","","-19.3","","0.0","","-36.0","","0.0","","22.6","","22.6","","","M",,"",,""
"1979-02","1979","02","-5.6","","-15.3","","-10.5","","4.0","","-31.5","","0.0","","48.5","","48.5","","","M",,"",,""
"1979-03","1979","03","-3.0","","-14.0","","-8.5","","7.5","","-29.0","","0.0","","34.8","","34.8","","","M",,"",,""
"1979-04","1979","04","0.8","","-8.9","","-4.1","","11.5","","-25.5","","0.0","","37.1","","37.1","","","M",,"",,""
"1979-05","1979","05","6.1","","-4.8","","0.7","","20.5","","-13.0","","0.0","","13.2","","13.2","","","M",,"",,""
"1979-06","1979","06","14.1","","1.9","","8.0","","26.0","","-6.5","","39.0","","0.0","","39.0","","0","",,"",,""
"1979-07","1979","07","18.9","","4.9","","11.9","","31.0","","-5.0","","20.0","","0.0","T","20.0","","0","",,"",,""
"1979-08","1979","08","17.0","E","5.1","E","11.1","E","23.5","","0.5","","71.8","","0.0","","71.8","","0","",,"",,""
"1979-09","1979","09","14.0","E","1.3","E","7.7","E","23.5","","-6.5","","16.8","","0.0","","16.8","","0","",,"",,""
"1979-10","1979","10","7.3","","-2.5","","2.4","","16.5","","-13.0","","6.6","","12.2","","18.8","","0","",,"",,""
"1979-11","1979","11","-8.7","","-16.3","","-12.5","","-1.0","S","-25.5","","0.0","","5.4","","5.4","","","M",,"",,""
"1979-12","1979","12","-6.2","","-14.5","","-10.4","","3.0","","-37.0","","74.8","","172.7","","247.5","","","M",,"",,""
"1980-01","1980","01","-12.4","E","-22.8","E","-17.6","E","","M","","M","0.0","","61.2","E","61.2","E","","M",,"",,""
"1980-02","1980","02","-5.5","","-14.7","","-10.1","","8.5","","-35.0","","0.0","","110.2","","110.2","","","M",,"",,""
"1980-03","1980","03","-6.0","","-13.9","","-10.0","","1.0","","-34.5","","0.0","","105.4","","105.4","","","M",,"",,""
"1980-04","1980","04","7.0","","-3.2","","1.9","","19.5","","-18.0","","6.6","","23.0","","29.6","","","M",,"",,""
"1980-05","1980","05","12.2","","2.3","","7.3","","20.0","","-2.0","","133.4","","14.0","","147.4","","0","",,"",,""
"1980-06","1980","06","13.6","","4.2","","8.9","","21.0","S","-4.0","","73.4","","14.2","","87.6","","0","",,"",,""
"1980-07","1980","07","19.9","","8.9","","14.4","","28.0","","4.0","","40.2","","0.0","","40.2","","0","",,"",,""
"1980-08","1980","08","14.0","","5.3","","9.7","","23.5","","0.0","","100.8","","0.0","","100.8","","0","",,"",,""
"1980-09","1980","09","12.5","","2.3","","7.4","","23.0","","-6.5","","56.4","","21.6","","78.0","","","M",,"",,""
"1980-10","1980","10","7.6","","-3.7","","2.0","","24.5","","-11.5","","21.4","","29.2","","50.6","","","M",,"",,""
"1980-11","1980","11","-2.5","","-9.4","","-6.0","","12.0","","-24.0","","0.0","","114.8","","114.8","","","M",,"",,""
"1980-12","1980","12","-8.2","","-15.7","","-12.0","","8.0","","-32.0","","13.6","","152.8","","166.4","","","M",,"",,""
"1981-01","1981","01","-3.3","","-9.7","","-6.5","","5.5","","-22.5","","0.0","","42.4","","42.4","","","M",,"",,""
"1981-02","1981","02","-3.1","","-10.1","","-6.6","","8.5","","-35.0","","0.0","","32.4","","32.4","","","M",,"",,""
"1981-03","1981","03","2.1","","-7.5","","-2.7","","8.0","","-20.0","","0.0","","59.6","","59.6","","","M",,"",,""
"1981-04","1981","04","5.0","","-4.9","","0.1","","18.0","","-16.0","","2.6","","65.3","","67.9","","","M",,"",,""
"1981-05","1981","05","9.6","","0.6","","5.1","","20.5","","-6.5","","56.4","","62.2","","118.6","","","M",,"",,""
"1981-06","1981","06","12.4","","3.3","","7.9","","22.0","","-2.5","","173.2","","40.6","","213.8","","0","",,"",,""
"1981-07","1981","07","16.8","","6.1","","11.5","","25.0","S","-1.0","","84.4","","0.0","","84.4","","0","",,"",,""
"1981-08","1981","08","17.9","","6.3","","12.1","","25.0","","1.5","","36.4","","0.0","","36.4","","0","",,"",,""
"1981-09","1981","09","13.4","","4.1","","8.8","","27.5","","-7.5","","36.6","","28.0","","64.6","","","M",,"",,""
"1981-10","1981","10","4.5","","-1.0","","1.8","","15.5","","-9.5","","32.4","","25.2","","57.6","","","M",,"",,""
"1981-11","1981","11","-2.8","","-7.2","","-5.0","","8.5","","-13.5","","0.0","","67.6","","67.6","","","M",,"",,""
"1981-12","1981","12","-9.1","","-15.4","","-12.3","","-2.0","S","-24.5","","0.0","","96.6","","96.6","","33","",,"",,""
"1982-01","1982","01","-10.8","","-20.0","","-15.4","","-2.0","","-35.0","","0.0","","184.8","","184.8","","92","",,"",,""
"1982-02","1982","02","-6.2","","-13.9","","-10.1","","1.5","","-31.0","","0.0","","82.4","","82.4","","114","",,"",,""
