"Station Name","FORSYTHE"
"Province","QUEBEC"
"Latitude","48.23"
"Longitude","-76.43"
"Elevation","374.60"
"Climate Identifier","7092395"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-03","1965","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-04","1965","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-05","1965","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-06","1965","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-07","1965","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-08","1965","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-09","1965","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-10","1965","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1965-11","1965","11","-2.7","","-10.5","","-6.6","","7.2","","-22.8","S","22.1","","51.3","","73.4","","","",,"",,""
"1965-12","1965","12","-6.2","","-16.9","","-11.6","","1.1","","-35.6","","0.0","","46.5","","46.5","","","",,"",,""
"1966-01","1966","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-06","1966","06","21.6","","6.8","","14.2","","32.8","","-4.4","","117.1","","0.0","","117.1","","0","",,"",,""
"1966-07","1966","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-08","1966","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-09","1966","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-10","1966","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-11","1966","11","0.9","","-6.6","","-2.9","","12.8","","-22.8","","111.3","","16.3","","127.5","","","M",,"",,""
"1966-12","1966","12","-7.4","","-17.3","","-12.4","","9.4","","-31.7","","10.2","","36.1","","46.2","","","M",,"",,""
"1967-01","1967","01","-8.6","","-22.4","","-15.5","","2.8","","-38.3","S","0.0","","81.0","","81.0","","","M",,"",,""
"1967-02","1967","02","-13.4","","-29.1","","-21.3","","-2.8","","-45.6","","0.0","","50.5","","50.5","","","M",,"",,""
"1967-03","1967","03","-3.8","","-21.4","","-12.6","","12.8","","-41.1","","8.6","","34.8","","43.4","","","M",,"",,""
"1967-04","1967","04","3.9","","-8.1","","-2.1","","13.9","","-22.2","","73.2","","4.6","","77.7","","","M",,"",,""
"1967-05","1967","05","10.1","","-2.7","","3.7","","22.2","","-11.1","","53.6","","2.0","","55.6","","0","",,"",,""
"1967-06","1967","06","22.4","","6.5","","14.5","","30.0","","-1.7","","71.6","","0.0","","71.6","","0","",,"",,""
"1967-07","1967","07","22.6","","8.8","","15.7","","28.9","","-0.6","","83.6","","0.0","","83.6","","0","",,"",,""
"1967-08","1967","08","20.8","","7.0","","13.9","","27.8","","-2.2","","91.9","","0.0","","91.9","","0","",,"",,""
"1967-09","1967","09","17.1","","2.1","","9.6","","26.7","","-4.4","","146.8","","3.8","","150.6","","0","",,"",,""
"1967-10","1967","10","6.9","","0.0","","3.5","","18.9","","-10.0","","87.6","","26.7","","114.3","","0","",,"",,""
"1967-11","1967","11","-2.2","","-9.3","","-5.8","","9.4","","-26.1","","57.9","","53.8","","111.8","","","M",,"",,""
"1967-12","1967","12","-6.3","","-20.1","","-13.2","","6.1","","-40.0","","22.4","","61.0","","83.3","","","M",,"",,""
"1968-01","1968","01","-13.8","","-28.5","","-21.2","","0.6","","-45.0","","5.1","","25.7","","30.7","","","M",,"",,""
"1968-02","1968","02","-11.8","","-26.0","","-18.9","","2.2","","-40.0","","0.0","T","60.5","","60.5","","","M",,"",,""
"1968-03","1968","03","0.4","","-13.1","","-6.4","","13.3","","-36.7","","41.7","","20.8","","62.5","","","M",,"",,""
"1968-04","1968","04","9.4","","-4.2","","2.6","","20.0","","-21.1","","85.9","","18.0","","103.9","","0","",,"",,""
"1968-05","1968","05","15.3","","-0.7","","7.3","","24.4","","-11.7","S","26.4","","0.0","T","26.4","","","M",,"",,""
"1968-06","1968","06","18.3","","5.3","","11.8","","26.1","","-3.3","","96.5","","0.0","","96.5","","0","",,"",,""
"1968-07","1968","07","22.2","","8.6","","15.4","","31.1","","0.0","S","183.4","","0.0","","183.4","","0","",,"",,""
"1968-08","1968","08","19.3","","6.1","","12.7","","25.0","S","-1.1","S","152.7","","0.0","","152.7","","0","",,"",,""
"1968-09","1968","09","19.7","","7.4","","13.6","","26.7","S","-0.6","","85.3","","0.0","","85.3","","0","",,"",,""
"1968-10","1968","10","11.2","","2.9","","7.1","","25.6","","-5.0","","93.0","","0.5","","93.5","","","M",,"",,""
"1968-11","1968","11","-1.3","","-8.9","","-5.1","","7.8","","-30.0","","14.0","","34.8","","48.8","","","M",,"",,""
"1968-12","1968","12","-9.3","","-18.6","","-14.0","","3.3","","-45.6","","0.0","","101.1","","101.1","","","M",,"",,""
"1969-01","1969","01","-7.7","","-17.4","","-12.6","","5.0","","-34.4","","23.4","","42.7","","66.0","","","M",,"",,""
"1969-02","1969","02","-5.6","","-18.8","","-12.2","","2.2","","-35.6","","0.0","","24.6","","24.6","","","M",,"",,""
"1969-03","1969","03","-2.6","","-17.3","","-10.0","","8.9","","-36.7","","5.3","","45.5","","50.8","","","M",,"",,""
"1969-04","1969","04","5.0","","-8.1","","-1.6","","20.0","","-27.8","","25.1","","7.9","","33.0","","0","",,"",,""
"1969-05","1969","05","11.8","","-2.4","","4.7","","24.4","","-11.1","","55.4","","14.0","","69.3","","0","",,"",,""
"1969-06","1969","06","19.0","","5.7","","12.4","","31.1","","-3.9","S","122.2","","0.0","","122.2","","0","",,"",,""
"1969-07","1969","07","22.6","","7.6","","15.1","","32.2","","-3.3","","89.7","","0.0","","89.7","","0","",,"",,""
"1969-08","1969","08","22.8","","9.9","","16.4","","31.7","","-0.6","S","141.5","","0.0","","141.5","","0","",,"",,""
"1969-09","1969","09","14.2","","2.9","","8.6","","22.8","","-5.6","","157.7","","0.0","","157.7","","0","",,"",,""
"1969-10","1969","10","6.2","","-1.8","","2.2","","20.6","","-16.1","","76.7","","27.2","","103.9","","18","",,"",,""
"1969-11","1969","11","0.8","","-6.1","","-2.7","","9.4","","-26.7","","69.6","","43.2","","112.8","","","M",,"",,""
"1969-12","1969","12","-9.2","","-19.3","","-14.3","","-0.6","","-37.2","","0.0","","73.7","","73.7","","58","",,"",,""
