"Station Name","FORT ASSINIBOINE 2"
"Province","ALBERTA"
"Latitude","54.35"
"Longitude","-114.83"
"Elevation","627.30"
"Climate Identifier","3062656"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-08","1997","08","22.7","","7.9","","15.3","","32.5","","2.0","","39.4","","0.0","","39.4","","0","",,"",,""
"1997-09","1997","09","17.8","E","3.8","E","10.9","E","28.0","E","-4.0","E","19.0","","0.0","","19.0","","0","",,"",,""
"1997-10","1997","10","6.9","","-2.8","","2.1","","16.0","","-12.0","","17.8","","14.0","","31.8","","0","T",,"",,""
"1997-11","1997","11","","","","","","","","","","","","","","","","","","",,"",,""
"1997-12","1997","12","0.0","","-10.8","","-5.4","","9.0","","-19.5","","0.0","","8.2","","8.2","","0","T",,"",,""
"1998-01","1998","01","-13.1","","-23.5","","-18.3","","8.0","","-39.0","","0.0","T","35.4","","35.4","","21","",,"",,""
"1998-02","1998","02","0.3","","-12.9","","-6.4","","10.5","","-19.5","","0.0","T","0.0","T","0.0","T","18","",,"",,""
"1998-03","1998","03","2.1","","-11.0","","-4.4","","14.5","","-29.5","","1.6","","20.4","","17.6","","3","",,"",,""
"1998-04","1998","04","14.4","","-3.2","","5.6","","23.5","","-7.5","","12.4","","2.4","","14.8","","0","",,"",,""
"1998-05","1998","05","22.2","","3.4","","12.8","","29.5","","-3.0","S","27.8","","0.0","","27.8","","0","",,"",,""
"1998-06","1998","06","21.2","","6.8","","14.1","","29.5","","-1.5","","97.6","","0.0","","97.6","","0","",,"",,""
"1998-07","1998","07","24.3","","10.3","","17.3","","30.0","S","5.0","","69.0","","0.0","","69.0","","0","",,"",,""
"1998-08","1998","08","24.8","E","8.3","E","16.5","E","33.0","","1.0","","27.2","","0.0","","27.2","","0","",,"",,""
"1998-09","1998","09","18.4","","2.7","","10.6","","29.0","","-4.0","","32.2","","0.0","","32.2","","0","",,"",,""
"1998-10","1998","10","10.7","","-1.8","E","4.5","E","21.0","","-11.0","","18.6","","13.4","","32.0","","0","",,"",,""
"1998-11","1998","11","-3.4","","-12.3","","-7.9","","5.0","","-24.0","","0.4","","32.8","","32.8","","16","",,"",,""
"1998-12","1998","12","-8.4","E","-20.5","","-14.5","E","5.0","","-38.0","","0.6","","22.2","","22.8","","22","",,"",,""
"1999-01","1999","01","-10.0","","-23.0","","-16.5","","3.5","","-38.0","S","0.0","","69.6","","58.0","","56","",,"",,""
"1999-02","1999","02","-2.2","","-19.7","","-11.0","","8.0","","-31.0","","0.2","","14.4","","14.6","","48","",,"",,""
"1999-03","1999","03","1.4","","-12.1","","-5.4","","10.0","","-26.5","","0.0","T","24.6","","24.6","","39","",,"",,""
"1999-04","1999","04","11.9","","-3.5","","4.2","","23.0","","-12.0","","10.6","","5.6","","16.2","","0","",,"",,""
"1999-05","1999","05","16.2","","0.5","","8.3","","30.0","","-7.0","","33.2","","1.6","","34.8","","0","",,"",,""
"1999-06","1999","06","20.1","","4.8","","12.4","","27.5","","-2.0","","49.2","","0.0","","49.2","","0","",,"",,""
"1999-07","1999","07","21.3","","6.6","","14.0","","29.0","S","-1.5","","55.8","","0.0","","55.8","","0","",,"",,""
"1999-08","1999","08","24.7","","7.3","","16.0","","31.0","","0.0","","29.0","","0.0","","29.0","","0","",,"",,""
"1999-09","1999","09","17.7","","0.4","","9.1","","26.0","","-8.5","","12.2","","0.6","","12.8","","0","",,"",,""
"1999-10","1999","10","11.7","E","-4.5","E","3.6","E","21.5","B","-11.0","","3.0","","1.4","","4.4","","0","",,"",,""
"1999-11","1999","11","1.1","E","-11.6","E","-5.2","E","12.5","","-23.0","","4.2","","2.4","","6.6","","2","",,"",,""
"1999-12","1999","12","1.1","","-13.6","E","-6.2","E","18.0","","-30.5","","0.4","","11.4","","11.8","","0","",,"",,""
"2000-01","2000","01","-8.5","","-23.7","E","-16.1","E","4.0","","-34.5","S","1.0","","15.2","","16.2","","11","",,"",,""
"2000-02","2000","02","-0.8","","-19.6","","-10.2","","9.0","","-34.0","","0.0","T","10.0","","10.0","","14","",,"",,""
"2000-03","2000","03","4.6","","-11.0","","-3.2","","14.5","","-22.0","S","0.0","T","20.0","","14.6","","0","T",,"",,""
"2000-04","2000","04","10.2","","-5.6","","2.3","","23.0","","-18.0","","16.2","","24.4","","40.6","","0","",,"",,""
"2000-05","2000","05","13.7","","-0.2","","6.8","","20.0","","-5.5","","39.6","","0.0","","39.6","","0","",,"",,""
"2000-06","2000","06","19.1","","4.5","","11.8","","28.0","","-4.0","","92.8","","0.0","","92.8","","0","",,"",,""
"2000-07","2000","07","22.2","","8.9","","15.6","","27.5","S","1.5","","158.0","","0.0","","158.0","","0","",,"",,""
"2000-08","2000","08","19.4","","6.3","","12.9","","28.0","","-1.0","","46.8","","0.0","","46.8","","0","",,"",,""
"2000-09","2000","09","15.6","","1.1","","8.4","","23.5","","-6.0","","62.0","","0.0","T","62.0","","0","",,"",,""
"2000-10","2000","10","9.5","","-4.7","","2.4","","21.0","","-13.5","S","5.6","","0.0","T","5.6","","0","",,"",,""
"2000-11","2000","11","0.3","","-12.3","","-6.0","","7.5","","-23.0","","3.2","","7.8","","8.4","","1","",,"",,""
"2000-12","2000","12","-10.7","","-21.7","","-16.2","","9.5","","-35.5","","1.0","","7.0","","6.6","","5","",,"",,""
"2001-01","2001","01","-0.7","","-13.7","","-7.2","","6.5","","-23.0","S","1.4","","1.2","","1.8","","4","",,"",,""
"2001-02","2001","02","-5.1","","-20.6","","-12.9","","12.0","","-31.5","","0.0","","2.4","","1.4","","4","",,"",,""
"2001-03","2001","03","4.9","","-10.7","E","-2.9","E","11.0","S","-26.0","","0.4","","4.6","","3.0","","0","",,"",,""
"2001-04","2001","04","11.3","","-5.4","","3.0","","26.0","","-12.0","","2.0","","6.2","","8.2","","0","",,"",,""
"2001-05","2001","05","18.0","","1.1","","9.6","","27.0","","-6.0","","37.0","","0.0","","37.0","","0","",,"",,""
"2001-06","2001","06","18.3","","6.0","","12.2","","26.0","S","1.0","","101.4","","0.0","","101.4","","0","",,"",,""
"2001-07","2001","07","21.3","","8.5","","14.9","","30.0","","2.5","","217.2","","0.0","","217.2","","0","",,"",,""
