"Station Name","FOXWARREN"
"Province","MANITOBA"
"Latitude","50.52"
"Longitude","-101.15"
"Elevation","533.40"
"Climate Identifier","5010981"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1969-01","1969","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-02","1969","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-03","1969","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-04","1969","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-05","1969","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-06","1969","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-07","1969","07","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1969-08","1969","08","","","","","","","","","","","51.6","","0.0","","51.6","","0","",,"",,""
"1969-09","1969","09","","","","","","","","","","","43.2","","0.0","","43.2","","0","",,"",,""
"1969-10","1969","10","","","","","","","","","","","8.1","","21.6","","29.7","","3","",,"",,""
"1969-11","1969","11","","","","","","","","","","","0.0","","6.6","","6.6","","0","",,"",,""
"1969-12","1969","12","","","","","","","","","","","0.0","","11.4","","11.4","","10","",,"",,""
"1970-01","1970","01","","","","","","","","","","","0.0","","11.4","","11.4","","20","",,"",,""
"1970-02","1970","02","","","","","","","","","","","0.0","","24.1","E","24.1","E","33","",,"",,""
"1970-03","1970","03","","","","","","","","","","","0.0","","40.6","","40.6","","48","",,"",,""
"1970-04","1970","04","","","","","","","","","","","38.1","","40.6","","78.7","","","M",,"",,""
"1970-05","1970","05","","","","","","","","","","","50.8","","7.6","","58.4","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","43.4","","0.0","","43.4","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","54.9","","0.0","","54.9","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","29.0","","0.0","","29.0","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","63.0","","0.0","T","63.0","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","55.9","","4.6","","60.5","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","0.0","T","7.6","","7.6","","8","",,"",,""
"1970-12","1970","12","","","","","","","","","","","0.0","","19.1","E","19.1","E","20","",,"",,""
"1971-01","1971","01","","","","","","","","","","","0.0","","21.6","E","21.6","E","","M",,"",,""
"1971-02","1971","02","","","","","","","","","","","0.0","","12.7","","12.7","","13","",,"",,""
"1971-03","1971","03","","","","","","","","","","","0.0","","15.2","E","15.2","E","5","",,"",,""
"1971-04","1971","04","","","","","","","","","","","28.2","E","3.8","E","32.0","E","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","5.8","","0.0","","5.8","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","163.8","E","0.0","","163.8","E","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","65.5","","0.0","","65.5","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","36.6","","0.0","","36.6","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","51.3","","0.0","","51.3","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","65.5","","12.7","","78.2","","3","",,"",,""
"1971-11","1971","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-12","1971","12","","","","","","","","","","","0.0","","8.9","","8.9","","13","",,"",,""
"1972-01","1972","01","","","","","","","","","","","0.0","","20.3","","20.3","","33","",,"",,""
"1972-02","1972","02","","","","","","","","","","","0.0","","17.8","","17.8","","51","",,"",,""
"1972-03","1972","03","","","","","","","","","","","0.0","T","17.8","","17.8","","8","",,"",,""
"1972-04","1972","04","","","","","","","","","","","7.1","","12.7","","19.8","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","25.9","","0.0","","25.9","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","46.2","","0.0","","46.2","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","37.1","E","0.0","","37.1","E","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","62.7","","0.0","","62.7","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","12.4","","20.3","","32.8","","","M",,"",,""
"1972-10","1972","10","","","","","","","","","","","0.0","T","7.6","","7.6","","5","",,"",,""
"1972-11","1972","11","","","","","","","","","","","0.0","","15.2","","15.2","","10","",,"",,""
"1972-12","1972","12","","","","","","","","","","","0.0","","7.6","","7.6","","15","",,"",,""
"1973-01","1973","01","","","","","","","","","","","0.0","T","0.0","T","0.0","T","10","",,"",,""
"1973-02","1973","02","","","","","","","","","","","0.0","","11.4","E","11.4","E","13","",,"",,""
"1973-03","1973","03","","","","","","","","","","","0.0","","10.2","","10.2","","0","",,"",,""
"1973-04","1973","04","","","","","","","","","","","14.7","","20.3","","35.1","","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","29.5","","0.0","","29.5","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","89.4","","0.0","","89.4","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","63.5","","0.0","","63.5","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","111.8","","0.0","","111.8","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","74.4","","0.0","","74.4","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","39.4","","0.0","T","39.4","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","0.0","","20.3","","20.3","","18","",,"",,""
"1973-12","1973","12","","","","","","","","","","","0.0","T","26.7","E","26.7","E","0","",,"",,""
"1974-01","1974","01","","","","","","","","","","","0.0","","30.5","","30.5","","53","",,"",,""
"1974-02","1974","02","","","","","","","","","","","0.0","T","15.2","","15.2","","69","",,"",,""
"1974-03","1974","03","","","","","","","","","","","6.4","","48.3","","54.6","","109","",,"",,""
"1974-04","1974","04","","","","","","","","","","","4.3","","10.2","","14.5","","0","",,"",,""
"1974-05","1974","05","","","","","","","","","","","99.6","","2.5","","102.1","","0","",,"",,""
"1974-06","1974","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1974-07","1974","07","","","","","","","","","","","37.1","","0.0","","37.1","","0","",,"",,""
"1974-08","1974","08","","","","","","","","","","","52.3","","0.0","","52.3","","0","",,"",,""
"1974-09","1974","09","","","","","","","","","","","18.0","","0.0","T","18.0","","0","",,"",,""
"1974-10","1974","10","","","","","","","","","","","0.0","","10.2","","10.2","","0","",,"",,""
"1974-11","1974","11","","","","","","","","","","","0.0","","0.0","T","0.0","T","0","",,"",,""
"1974-12","1974","12","","","","","","","","","","","0.0","","17.8","","17.8","","","M",,"",,""
"1975-01","1975","01","","","","","","","","","","","0.0","","20.3","","20.3","","38","",,"",,""
"1975-02","1975","02","","","","","","","","","","","0.0","","33.0","","33.0","","71","",,"",,""
"1975-03","1975","03","","","","","","","","","","","0.0","","35.6","","35.6","","48","",,"",,""
"1975-04","1975","04","","","","","","","","","","","49.5","E","17.8","E","67.3","E","0","",,"",,""
"1975-05","1975","05","","","","","","","","","","","38.4","","0.0","","38.4","","0","",,"",,""
"1975-06","1975","06","","","","","","","","","","","82.8","","0.0","","82.8","","0","",,"",,""
"1975-07","1975","07","","","","","","","","","","","8.6","","0.0","","8.6","","0","",,"",,""
"1975-08","1975","08","","","","","","","","","","","142.2","","0.0","","142.2","","0","",,"",,""
"1975-09","1975","09","","","","","","","","","","","94.5","","0.0","","94.5","","0","",,"",,""
"1975-10","1975","10","","","","","","","","","","","24.6","","25.4","","50.0","","0","",,"",,""
"1975-11","1975","11","","","","","","","","","","","0.0","T","12.7","","12.7","","13","",,"",,""
"1975-12","1975","12","","","","","","","","","","","0.0","","25.4","","25.4","","","M",,"",,""
"1976-01","1976","01","","","","","","","","","","","0.0","","27.9","","27.9","","","M",,"",,""
"1976-02","1976","02","","","","","","","","","","","0.0","","38.1","","38.1","","","M",,"",,""
"1976-03","1976","03","","","","","","","","","","","0.0","","30.5","","30.5","","","M",,"",,""
"1976-04","1976","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1976-05","1976","05","","","","","","","","","","","3.8","","0.0","","3.8","","0","",,"",,""
"1976-06","1976","06","","","","","","","","","","","147.1","","0.0","","147.1","","0","",,"",,""
"1976-07","1976","07","","","","","","","","","","","28.2","","0.0","","28.2","","0","",,"",,""
"1976-08","1976","08","","","","","","","","","","","55.1","","0.0","","55.1","","0","",,"",,""
"1976-09","1976","09","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","",,"",,""
"1976-10","1976","10","","","","","","","","","","","0.0","","0.0","","0.0","","0","",,"",,""
"1976-11","1976","11","","","","","","","","","","","0.0","","2.5","","2.5","","0","T",,"",,""
"1976-12","1976","12","","","","","","","","","","","0.0","","25.4","","25.4","","","M",,"",,""
"1977-01","1977","01","","","","","","","","","","","0.0","","7.6","","7.6","","33","",,"",,""
