"Station Name","GAINSBOROUGH"
"Province","SASKATCHEWAN"
"Latitude","49.30"
"Longitude","-101.53"
"Elevation","518.20"
"Climate Identifier","4012790"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","","M","","M","","M","0","T",,"",,""
"1973-05","1973","05","","","","","","","","","","","44.5","","0.0","","44.5","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","129.8","","0.0","","129.8","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","110.0","","0.0","","110.0","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","41.1","","0.0","","41.1","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","100.8","","0.0","","100.8","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","12.2","","0.0","T","12.2","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","6.6","","9.7","","16.3","","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","7.6","E","21.1","","28.7","E","","M",,"",,""
"1974-01","1974","01","","","","","","","","","","","0.0","","20.3","","20.3","","51","",,"",,""
"1974-02","1974","02","","","","","","","","","","","0.0","","34.3","","34.3","","","M",,"",,""
"1974-03","1974","03","","","","","","","","","","","0.0","","3.8","","3.8","","","M",,"",,""
"1974-04","1974","04","","","","","","","","","","","21.1","","1.3","","22.4","","0","",,"",,""
"1974-05","1974","05","","","","","","","","","","","62.7","","0.0","","62.7","","0","",,"",,""
"1974-06","1974","06","","","","","","","","","","","10.4","E","0.0","","10.4","E","0","",,"",,""
"1974-07","1974","07","","","","","","","","","","","87.1","","0.0","","87.1","","0","",,"",,""
"1974-08","1974","08","","","","","","","","","","","47.8","","0.0","","47.8","","0","",,"",,""
"1974-09","1974","09","","","","","","","","","","","6.9","","0.0","T","6.9","","0","T",,"",,""
"1974-10","1974","10","","","","","","","","","","","6.9","","2.5","","9.4","","0","",,"",,""
"1974-11","1974","11","","","","","","","","","","","0.0","","0.0","T","0.0","T","0","T",,"",,""
"1974-12","1974","12","","","","","","","","","","","0.0","","22.6","","22.6","","23","",,"",,""
"1975-01","1975","01","","","","","","","","","","","0.0","T","5.6","","5.6","","","M",,"",,""
"1975-02","1975","02","","","","","","","","","","","0.0","","7.6","","7.6","","","M",,"",,""
"1975-03","1975","03","","","","","","","","","","","0.0","T","37.3","","37.3","","","M",,"",,""
"1975-04","1975","04","","","","","","","","","","","80.3","","11.4","","91.7","","0","T",,"",,""
"1975-05","1975","05","","","","","","","","","","","31.2","","0.0","","31.2","","0","",,"",,""
"1975-06","1975","06","","","","","","","","","","","111.3","","0.0","","111.3","","0","",,"",,""
