"Station Name","GARLAND"
"Province","NOVA SCOTIA"
"Latitude","45.12"
"Longitude","-64.78"
"Elevation","205.70"
"Climate Identifier","8201925"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","15.5","","3.6","","9.6","","28.9","","-5.0","","49.3","","0.0","","49.3","","0","",,"",,""
"1964-06","1964","06","18.0","","8.3","","13.2","","26.1","","2.8","","90.9","","0.0","","90.9","","0","",,"",,""
"1964-07","1964","07","21.0","","12.6","","16.8","","27.8","S","8.9","","95.3","","0.0","","95.3","","0","",,"",,""
"1964-08","1964","08","19.5","","10.5","","15.0","","26.7","","6.7","","95.5","","0.0","","95.5","","0","",,"",,""
"1964-09","1964","09","15.9","","6.1","","11.0","","23.9","","-1.7","","101.9","","0.0","","101.9","","0","",,"",,""
"1964-10","1964","10","11.7","","4.2","","8.0","","19.4","","-2.2","","","M","0.0","","","M","0","",,"",,""
"1964-11","1964","11","4.5","","-2.9","","0.8","","12.8","","-10.0","S","","M","","M","","M","","M",,"",,""
"1964-12","1964","12","-0.3","","-7.6","","-4.0","","14.4","","-17.8","","","M","","M","","M","","M",,"",,""
"1965-01","1965","01","-4.2","","-11.5","","-7.9","","7.2","","-23.9","","","M","98.3","","110.2","E","","M",,"",,""
"1965-02","1965","02","-2.6","","-12.1","","-7.4","","","M","","M","","M","","M","85.3","E","","M",,"",,""
"1965-03","1965","03","-0.3","","-6.7","","-3.5","","6.1","","-12.2","","5.8","","29.7","","35.6","","","M",,"",,""
"1965-04","1965","04","5.4","","-2.8","","1.3","","16.1","","-7.8","","23.1","","16.8","","39.9","","","M",,"",,""
"1965-05","1965","05","13.1","","3.2","","8.2","","20.0","S","-2.2","","43.4","E","0.0","","43.4","E","0","",,"",,""
