"Station Name","GHOST RS"
"Province","ALBERTA"
"Latitude","51.30"
"Longitude","-114.93"
"Elevation","1417.00"
"Climate Identifier","3052780"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","164.6","","0.0","","164.6","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","43.2","","0.0","","43.2","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","66.8","","0.0","","66.8","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","2.8","","2.3","","5.1","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","46.7","","0.0","","46.7","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","","M","","M","156.7","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","87.1","","0.0","","87.1","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","145.3","","0.0","","145.3","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","56.4","","0.0","T","56.4","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","3.6","","24.6","","28.2","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-02","1960","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-04","1960","04","","","","","","","","","","","0.0","","30.5","","30.5","","","M",,"",,""
"1960-05","1960","05","","","","","","","","","","","54.4","","0.0","","54.4","","","M",,"",,""
"1960-06","1960","06","","","","","","","","","","","79.2","","0.0","T","79.2","","0","",,"",,""
"1960-07","1960","07","","","","","","","","","","","30.2","","0.0","","30.2","","","M",,"",,""
"1960-08","1960","08","","","","","","","","","","","75.9","","0.0","","75.9","","","M",,"",,""
"1960-09","1960","09","","","","","","","","","","","26.7","","0.0","T","26.7","","","M",,"",,""
"1960-10","1960","10","","","","","","","","","","","","M","","M","17.8","","","M",,"",,""
"1960-11","1960","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-12","1960","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-01","1961","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-02","1961","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-03","1961","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-04","1961","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-05","1961","05","","","","","","","","","","","60.2","","31.5","","91.7","","","",,"",,""
"1961-06","1961","06","","","","","","","","","","","43.9","","0.0","","43.9","","","",,"",,""
"1961-07","1961","07","","","","","","","","","","","132.8","","0.0","","132.8","","","",,"",,""
"1961-08","1961","08","","","","","","","","","","","42.2","","0.0","","42.2","","","",,"",,""
"1961-09","1961","09","","","","","","","","","","","36.6","","15.7","","52.3","","","",,"",,""
"1961-10","1961","10","","","","","","","","","","","1.3","","71.1","","72.4","","","",,"",,""
"1961-11","1961","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-12","1961","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","10.7","","-1.8","","4.5","","18.3","","-9.4","","2.5","","29.7","","32.3","","0","",,"",,""
"1962-05","1962","05","11.4","","-0.4","","5.5","","18.9","","-8.9","","65.5","","18.3","","83.8","","0","",,"",,""
"1962-06","1962","06","17.0","","4.8","","10.9","","24.4","","-1.1","","40.1","","0.0","","40.1","","0","",,"",,""
"1962-07","1962","07","18.8","","4.8","","11.8","","24.4","","-0.6","","122.2","","0.0","","122.2","","0","",,"",,""
"1962-08","1962","08","18.1","","5.3","","11.7","","26.7","","-0.6","S","69.6","","0.0","","69.6","","0","",,"",,""
"1962-09","1962","09","16.5","","1.8","","9.2","","23.9","","-7.8","","24.4","","6.4","","30.7","","0","",,"",,""
"1962-10","1962","10","11.7","","0.8","","6.3","","22.2","","-6.7","","7.1","","2.3","","9.4","","0","",,"",,""
"1962-11","1962","11","","M","","M","","M","17.8","","","M","","M","","M","","M","","M",,"",,""
"1962-12","1962","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-01","1963","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-03","1963","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","M","","M","","M","15.0","S","","M","","M","","M","","M","0","",,"",,""
"1963-05","1963","05","12.3","","-0.2","","6.1","","23.3","","-6.7","","8.1","","15.7","","23.9","","0","",,"",,""
"1963-06","1963","06","16.5","","3.9","","10.2","","23.9","S","-0.6","S","191.8","","2.5","","194.3","","0","",,"",,""
"1963-07","1963","07","19.4","","6.1","","12.8","","23.9","S","2.2","","103.9","","0.0","","103.9","","0","",,"",,""
"1963-08","1963","08","19.7","","6.2","","13.0","","26.1","","0.6","","34.8","","0.0","","34.8","","0","",,"",,""
"1963-09","1963","09","19.6","","4.9","","12.3","","27.8","","-2.2","","35.3","","0.0","","35.3","","0","",,"",,""
"1963-10","1963","10","12.2","","1.6","","6.9","","22.2","S","-7.2","","15.7","","4.8","","20.6","","0","",,"",,""
"1963-11","1963","11","","M","","M","","M","10.6","","","M","","M","","M","","M","","M",,"",,""
"1963-12","1963","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
