"Station Name","GIMLI A"
"Province","MANITOBA"
"Latitude","50.63"
"Longitude","-97.05"
"Elevation","222.20"
"Climate Identifier","5031040"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1944-01","1944","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1944-02","1944","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1944-03","1944","03","-6.9","","-16.3","","-11.6","","4.4","","-27.8","","0.0","","21.3","","21.3","","","",,"",,""
"1944-04","1944","04","10.2","","-3.1","","3.6","","21.1","","-14.4","","13.2","","0.0","T","13.2","","","",,"",,""
"1944-05","1944","05","18.1","","6.5","","12.3","","31.7","","-7.2","","75.2","","2.0","","77.2","","","",,"",,""
"1944-06","1944","06","20.2","","10.3","","15.3","","27.8","","2.8","","177.5","","0.0","","177.5","","","",,"",,""
"1944-07","1944","07","24.7","","12.6","","18.7","","31.7","","6.7","","51.8","","0.0","","51.8","","","",,"",,""
"1944-08","1944","08","23.1","","11.2","","17.2","","28.9","","3.9","","135.9","","0.0","","135.9","","","",,"",,""
"1944-09","1944","09","16.9","","8.1","","12.5","","24.4","","0.0","","47.2","","0.0","","47.2","","","",,"",,""
"1944-10","1944","10","12.7","","1.1","","6.9","","25.6","","-3.9","","27.2","","0.0","","27.2","","","",,"",,""
"1944-11","1944","11","-0.4","","-4.2","","-2.3","","7.8","","-20.6","","15.2","","31.0","","46.2","","","",,"",,""
"1944-12","1944","12","-7.7","","-16.9","","-12.3","","5.6","","-30.0","","0.0","T","20.1","","20.1","","","",,"",,""
"1945-01","1945","01","-11.8","","-20.4","","-16.1","","0.0","S","-33.3","S","0.0","","13.7","","13.7","","","",,"",,""
"1945-02","1945","02","-8.6","","-19.7","","-14.2","","0.6","","-31.1","","0.0","","16.5","","16.5","","","",,"",,""
"1945-03","1945","03","2.2","","-7.0","","-2.4","","15.0","","-30.0","","69.3","","1.0","","70.4","","","",,"",,""
"1945-04","1945","04","3.2","","-4.9","","-0.9","","11.1","","-12.8","","22.1","","12.2","","34.3","","","",,"",,""
"1945-05","1945","05","11.8","","0.9","","6.4","","26.1","","-5.0","S","19.3","","10.9","","30.2","","","",,"",,""
"1945-06","1945","06","20.3","","9.1","","14.7","","36.7","","0.0","","56.1","","0.0","","56.1","","","",,"",,""
"1945-07","1945","07","24.4","","11.9","","18.2","","31.1","","3.3","","72.9","","0.0","","72.9","","","",,"",,""
"1945-08","1945","08","24.2","","11.7","","18.0","","34.4","","3.9","","22.1","","0.0","","22.1","","","",,"",,""
"1945-09","1945","09","14.9","","5.7","","10.3","","32.2","","-6.1","S","113.5","","0.0","T","113.5","","","",,"",,""
