"Station Name","GLADMAN POINT A"
"Province","NUNAVUT"
"Latitude","68.67"
"Longitude","-97.80"
"Elevation","14.00"
"Climate Identifier","2402340"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1957-01","1957","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-02","1957","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-03","1957","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-04","1957","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-05","1957","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-06","1957","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-07","1957","07","10.6","","3.4","","7.0","","18.3","S","-1.1","","28.2","","0.0","","28.2","","0","",,"",,""
"1957-08","1957","08","6.9","","1.3","","4.1","","11.7","","-2.2","","45.5","","0.0","","45.5","","","M",,"",,""
"1957-09","1957","09","2.3","","-2.4","","-0.1","","13.3","","-9.4","","0.0","","7.6","","7.6","","8","",,"",,""
"1957-10","1957","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1957-11","1957","11","-22.6","","-31.9","","-27.3","","-6.7","","-37.8","S","0.0","","8.1","","8.1","","46","",,"",,""
"1957-12","1957","12","","M","-37.5","","","M","","M","-47.2","","0.0","","2.5","","2.5","","48","",,"",,""
"1958-01","1958","01","","M","-35.9","","","M","","M","-48.9","","0.0","","23.4","","23.4","","71","",,"",,""
"1958-02","1958","02","","M","-43.6","","","M","","M","-47.8","S","0.0","","3.6","","3.6","","79","",,"",,""
"1958-03","1958","03","","M","-33.1","","","M","-10.6","","-45.6","","0.0","","13.5","","13.5","","91","",,"",,""
"1958-04","1958","04","-20.8","","-31.8","","-26.3","","-7.2","","-41.1","","0.0","","1.0","","1.0","","56","",,"",,""
"1958-05","1958","05","-5.0","","","M","","M","0.6","S","","M","0.0","T","7.9","","7.9","","10","",,"",,""
"1958-06","1958","06","2.3","","-3.2","","-0.5","","12.8","","-12.2","S","0.0","","0.0","","0.0","","0","",,"",,""
"1958-07","1958","07","11.8","","3.9","","7.9","","18.9","","-0.6","","25.4","","0.0","T","25.4","","0","",,"",,""
"1958-08","1958","08","12.4","","4.6","","8.5","","16.7","","1.1","","","M","","M","","M","","M",,"",,""
"1958-09","1958","09","2.0","","-1.1","","0.5","","","M","-10.0","","","M","","M","","M","0","T",,"",,""
"1958-10","1958","10","-5.9","","-11.8","","-8.9","","0.6","","-25.0","","11.7","","18.5","","30.2","","8","",,"",,""
"1958-11","1958","11","","M","-28.7","","","M","-13.3","","-38.3","S","0.0","","2.8","","2.8","","10","",,"",,""
"1958-12","1958","12","-24.0","","-33.1","","-28.6","","-19.4","","-42.8","","0.0","","1.5","","1.5","","10","",,"",,""
"1959-01","1959","01","","M","-34.1","","","M","-5.0","","-43.3","","0.0","","10.9","","10.9","","23","",,"",,""
"1959-02","1959","02","","M","-39.3","","","M","","M","-43.9","S","0.0","","3.8","","3.8","","23","",,"",,""
"1959-03","1959","03","","M","-36.8","","","M","-20.0","","-45.0","","0.0","","0.8","","0.8","","15","",,"",,""
"1959-04","1959","04","-17.2","","-27.7","","-22.5","","-5.6","","-37.8","","0.0","","1.5","","1.5","","10","",,"",,""
"1959-05","1959","05","-8.7","","-16.4","","-12.6","","-1.1","","-28.9","","0.0","","14.0","","14.0","","20","",,"",,""
"1959-06","1959","06","2.0","","-2.8","","-0.4","","9.4","","-18.9","","0.5","","4.3","","4.8","","0","T",,"",,""
"1959-07","1959","07","8.8","","1.9","","5.4","","20.6","","-0.6","","1.5","","0.5","","2.0","","0","",,"",,""
"1959-08","1959","08","7.6","","0.7","","4.2","","11.1","S","-3.9","","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1959-09","1959","09","1.2","","-2.9","","-0.9","","10.6","","-13.3","","1.3","","11.4","","12.7","","10","",,"",,""
"1959-10","1959","10","-11.6","","-18.1","","-14.9","","-5.6","S","-27.2","","0.0","","7.6","","7.6","","18","",,"",,""
"1959-11","1959","11","-18.6","","-26.3","","-22.5","","-7.2","","-36.1","","0.0","","1.3","","1.3","","18","",,"",,""
"1959-12","1959","12","-19.5","","-28.7","","-24.1","","-7.8","","-36.7","","0.0","","2.3","","2.3","","20","",,"",,""
"1960-01","1960","01","","M","","M","","M","","M","-49.4","","0.0","","0.0","T","0.0","T","20","",,"",,""
"1960-02","1960","02","-32.1","","-38.0","","-35.1","","-17.8","","-43.3","S","0.0","","0.0","T","0.0","T","20","",,"",,""
"1960-03","1960","03","-31.2","","-38.3","","-34.8","","-19.4","","-43.9","S","0.0","","0.0","T","0.0","T","20","",,"",,""
"1960-04","1960","04","-18.2","","-26.9","","-22.6","","-7.8","","-40.0","","0.0","","0.0","T","0.0","T","","M",,"",,""
"1960-05","1960","05","-1.9","","-7.9","","-4.9","","3.9","","-20.0","","0.0","","0.0","T","0.0","T","5","",,"",,""
"1960-06","1960","06","8.9","","1.7","","5.3","","17.8","S","-3.3","","0.0","","0.0","T","0.0","T","0","",,"",,""
"1960-07","1960","07","13.5","","5.2","","9.4","","21.7","","0.0","","12.2","","0.0","T","12.2","","0","",,"",,""
"1960-08","1960","08","10.0","","4.3","","7.2","","19.4","","-1.1","","31.5","","0.0","","31.5","","0","",,"",,""
"1960-09","1960","09","1.2","","-1.8","","-0.3","","8.3","","-8.9","S","3.3","","6.6","","9.9","","3","",,"",,""
"1960-10","1960","10","-6.4","","-13.8","","-10.1","","0.6","","-29.4","","1.8","","24.9","","26.7","","18","",,"",,""
"1960-11","1960","11","-22.4","","-31.5","","-27.0","","-6.1","","-41.1","S","0.0","","2.5","","2.5","","20","",,"",,""
"1960-12","1960","12","-23.0","","-30.4","","-26.7","","-13.3","","-39.4","S","0.0","","13.2","","13.2","","28","",,"",,""
"1961-01","1961","01","-32.1","","-38.1","","-35.1","","-20.6","S","-45.6","","0.0","","0.0","T","0.0","T","25","",,"",,""
"1961-02","1961","02","-29.0","","-35.7","","-32.4","","-16.7","","-46.7","","0.0","","2.8","","2.8","","30","",,"",,""
"1961-03","1961","03","-35.6","","-41.7","","-38.7","","-26.1","","-47.2","","0.0","","0.0","T","0.0","T","30","",,"",,""
"1961-04","1961","04","-17.1","","-26.9","","-22.0","","-5.6","S","-39.4","","0.0","","23.1","","23.1","","43","",,"",,""
"1961-05","1961","05","-8.1","","-16.4","","-12.3","","2.2","","-28.3","","2.5","","8.6","","11.2","","28","",,"",,""
"1961-06","1961","06","2.6","","-2.1","","0.3","","10.0","","-8.9","","8.1","","0.0","T","8.1","","0","",,"",,""
"1961-07","1961","07","12.2","","3.5","","7.9","","20.0","","-1.7","","46.7","","0.0","T","46.7","","0","",,"",,""
"1961-08","1961","08","5.8","","0.4","","3.1","","10.0","","-5.0","","46.0","","1.0","","47.0","","0","T",,"",,""
"1961-09","1961","09","-1.8","","-6.3","","-4.1","","1.7","S","-13.3","","10.7","","25.4","","36.1","","8","",,"",,""
"1961-10","1961","10","-11.9","","-19.0","","-15.5","","-3.3","","-27.8","S","0.0","","6.6","","6.6","","8","",,"",,""
"1961-11","1961","11","-16.6","","-26.8","","-21.7","","-8.3","S","-36.7","","0.0","","0.0","T","0.0","T","10","",,"",,""
"1961-12","1961","12","-25.6","","-33.4","","-29.5","","-10.0","","-40.0","S","0.0","","8.6","","8.6","","15","",,"",,""
"1962-01","1962","01","-33.9","","-41.3","","-37.6","","-17.2","","-48.9","S","0.0","","0.3","","0.3","","15","",,"",,""
"1962-02","1962","02","-34.5","","-40.0","","-37.3","","-23.9","S","-46.1","","0.0","","0.0","T","0.0","T","15","",,"",,""
"1962-03","1962","03","-20.7","","-30.6","","-25.7","","-1.7","","-39.4","S","0.0","","2.8","","2.8","","18","",,"",,""
"1962-04","1962","04","-18.6","","-28.3","","-23.5","","-6.7","","-37.8","","0.0","","0.0","T","0.0","T","18","",,"",,""
"1962-05","1962","05","-8.4","","-16.3","","-12.4","","2.2","","-27.8","","0.0","","7.1","","7.1","","13","",,"",,""
"1962-06","1962","06","4.6","","-1.0","","1.8","","8.9","","-12.2","","3.6","","0.0","T","3.6","","0","",,"",,""
"1962-07","1962","07","14.0","","5.5","","9.8","","23.3","","-0.6","","41.9","","0.0","T","41.9","","0","",,"",,""
"1962-08","1962","08","9.1","","1.9","","5.5","","14.4","","-1.1","","67.1","","0.0","T","67.1","","0","",,"",,""
"1962-09","1962","09","2.1","","-2.3","","-0.1","","5.6","","-6.1","","11.4","","2.5","","14.0","","0","T",,"",,""
"1962-10","1962","10","-8.1","","-14.2","","-11.2","","0.0","","-27.2","","0.0","","20.3","","20.3","","18","",,"",,""
"1962-11","1962","11","-19.9","","-27.9","","-23.9","","-11.1","","-37.8","","0.0","","0.0","T","0.0","T","18","",,"",,""
"1962-12","1962","12","-28.0","","-34.2","","-31.1","","-7.8","","-43.3","","0.0","","0.0","T","0.0","T","18","",,"",,""
"1963-01","1963","01","-31.1","","-38.3","","-34.7","","-13.3","","-45.6","","0.0","","1.5","","1.5","","20","",,"",,""
"1963-02","1963","02","-28.4","","-35.4","","-31.9","","-11.1","","-43.3","S","0.0","","3.8","","3.8","","25","",,"",,""
"1963-03","1963","03","-34.1","","-40.9","","-37.5","","-26.7","","-45.0","","0.0","","0.0","T","0.0","T","25","",,"",,""
"1963-04","1963","04","-13.6","","-23.2","","-18.4","","-5.6","S","-36.7","","0.0","","4.1","","4.1","","25","",,"",,""
"1963-05","1963","05","-8.5","","-15.7","","-12.1","","0.0","","-26.7","","0.0","","12.7","","12.7","","25","",,"",,""
"1963-06","1963","06","2.7","","-2.5","","0.1","","13.3","","-12.2","","15.2","","0.0","T","15.2","","0","T",,"",,""
"1963-07","1963","07","11.2","","3.2","","7.2","","17.8","","0.6","","57.9","","0.0","","57.9","","0","",,"",,""
"1963-08","1963","08","7.3","","1.2","","4.3","","14.4","S","-3.9","","21.1","","2.8","","23.9","","0","T",,"",,""
"1963-09","1963","09","-1.3","","-5.3","","-3.3","","5.0","","-12.2","","0.3","","10.9","","11.2","","0","T",,"",,""
"1963-10","1963","10","-6.4","","-15.6","","-11.0","","0.6","S","-26.7","","0.8","","19.8","","20.6","","18","",,"",,""
"1963-11","1963","11","-16.8","","-23.1","","-20.0","","-3.3","S","-35.6","S","0.0","","1.5","","1.5","","18","",,"",,""
"1963-12","1963","12","-25.6","","-33.7","","-29.7","","-5.6","","-40.6","","0.0","","0.0","T","0.0","T","18","",,"",,""
"1964-01","1964","01","-34.2","","-41.0","","-37.6","","-23.9","","-48.9","","0.0","","0.8","","0.8","","18","",,"",,""
"1964-02","1964","02","-33.9","","-40.3","","-37.1","","-19.4","","-46.1","","0.0","","1.3","","1.3","","20","",,"",,""
"1964-03","1964","03","-32.3","","-39.8","","-36.1","","-25.0","S","-47.8","","0.0","","0.5","","0.5","","20","",,"",,""
"1964-04","1964","04","-20.0","","-30.2","","-25.1","","-0.6","","-43.3","","0.5","","1.5","","2.0","","15","",,"",,""
"1964-05","1964","05","-3.7","","-11.4","","-7.6","","1.1","S","-25.0","","0.5","","13.5","","14.0","","10","",,"",,""
"1964-06","1964","06","1.3","","-3.4","","-1.1","","3.3","S","-11.7","","5.3","","0.8","","6.1","","3","",,"",,""
"1964-07","1964","07","9.9","","1.8","","5.9","","20.0","","-1.7","","15.5","","0.0","","15.5","","0","",,"",,""
"1964-08","1964","08","10.3","","3.3","","6.8","","17.2","","-1.1","","12.2","","0.0","","12.2","","0","",,"",,""
"1964-09","1964","09","0.6","","-4.0","","-1.7","","10.0","","-11.1","S","13.0","","13.7","","27.2","","10","",,"",,""
"1964-10","1964","10","-9.7","","-15.8","","-12.8","","-0.6","","-24.4","","0.0","","4.1","","4.1","","13","",,"",,""
"1964-11","1964","11","-17.1","","-25.1","","-21.1","","-5.0","S","-35.6","S","0.0","","4.1","","4.1","","15","",,"",,""
"1964-12","1964","12","-27.9","","-34.2","","-31.1","","-8.3","S","-45.0","","0.0","","0.8","","0.8","","15","",,"",,""
"1965-01","1965","01","-31.8","","-37.8","","-34.8","","-20.6","","-46.1","S","0.0","","0.8","","0.8","","15","",,"",,""
"1965-02","1965","02","-34.4","","-41.3","","-37.9","","-4.4","","-50.0","S","0.0","","2.5","","2.5","","18","",,"",,""
"1965-03","1965","03","-26.2","","-35.7","","-31.0","","-12.8","","-46.7","","0.0","","7.6","","7.6","","23","",,"",,""
"1965-04","1965","04","-16.8","","-26.8","","-21.8","","-7.2","","-35.0","","0.0","","0.3","","0.3","","20","",,"",,""
"1965-05","1965","05","-4.0","","-10.8","","-7.4","","0.6","S","-23.3","S","0.5","","17.3","","17.8","","13","",,"",,""
