"Station Name","GLENORA"
"Province","MANITOBA"
"Latitude","49.27"
"Longitude","-99.18"
"Elevation","457.20"
"Climate Identifier","5021055"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","166.1","","0.0","T","166.1","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","84.6","","0.0","","84.6","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","76.5","","0.0","","76.5","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","155.2","","0.0","","155.2","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","3.3","","0.0","","3.3","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","24.1","","7.6","","31.8","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","18.0","","6.4","","24.4","","3","",,"",,""
"1962-12","1962","12","","","","","","","","","","","2.5","","19.1","","21.6","","15","",,"",,""
"1963-01","1963","01","","","","","","","","","","","0.0","T","3.8","","3.8","","8","",,"",,""
"1963-02","1963","02","","","","","","","","","","","0.0","T","21.6","","21.6","","30","",,"",,""
"1963-03","1963","03","","","","","","","","","","","0.0","T","15.2","","15.2","","","M",,"",,""
"1963-04","1963","04","","","","","","","","","","","71.9","","2.5","","74.4","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","69.3","","5.1","","74.4","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","111.0","","0.0","","111.0","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","111.0","","0.0","","111.0","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","29.0","","0.0","","29.0","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","20.3","","0.0","","20.3","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","14.7","","0.0","","14.7","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","4.6","","5.1","","9.7","","0","T",,"",,""
"1963-12","1963","12","","","","","","","","","","","0.0","","30.5","","30.5","","","M",,"",,""
"1964-01","1964","01","","","","","","","","","","","0.0","","5.1","","5.1","","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","0.0","T","14.0","","14.0","","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","0.0","T","39.4","","39.4","","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","37.6","","12.7","","50.3","","0","",,"",,""
"1964-05","1964","05","","","","","","","","","","","52.3","","0.0","","52.3","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","133.1","","0.0","","133.1","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","117.9","","0.0","","117.9","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","82.6","","0.0","","82.6","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","46.7","","0.0","","46.7","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","6.4","","0.0","T","6.4","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","0.0","T","12.7","","12.7","","5","",,"",,""
"1964-12","1964","12","","","","","","","","","","","0.0","","50.8","","50.8","","30","",,"",,""
"1965-01","1965","01","","","","","","","","","","","0.0","T","11.4","","11.4","","36","",,"",,""
"1965-02","1965","02","","","","","","","","","","","0.0","T","7.6","","7.6","","20","",,"",,""
"1965-03","1965","03","","","","","","","","","","","0.0","T","17.8","","17.8","","8","",,"",,""
"1965-04","1965","04","","","","","","","","","","","24.4","","12.7","","37.1","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","92.5","E","7.6","","100.1","E","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","51.3","","0.0","","51.3","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","134.6","E","0.0","","134.6","E","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","48.3","","0.0","","48.3","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","91.4","","1.3","","92.7","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","12.7","","0.0","","12.7","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","0.0","","41.9","","41.9","","15","",,"",,""
"1965-12","1965","12","","","","","","","","","","","0.0","T","20.3","","20.3","","15","",,"",,""
"1966-01","1966","01","","","","","","","","","","","0.0","","8.9","","8.9","","20","",,"",,""
"1966-02","1966","02","","","","","","","","","","","0.0","","16.5","","16.5","","28","",,"",,""
"1966-03","1966","03","","","","","","","","","","","1.3","","19.1","","20.3","","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","1.3","","29.2","","30.5","","20","",,"",,""
"1966-05","1966","05","","","","","","","","","","","43.2","","5.1","","48.3","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","51.3","","0.0","","51.3","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","102.6","","0.0","","102.6","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","70.9","","0.0","","70.9","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","7.6","E","0.0","","7.6","E","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","5.1","","14.0","","19.1","","0","T",,"",,""
"1966-11","1966","11","","","","","","","","","","","0.0","","15.2","","15.2","","3","",,"",,""
"1966-12","1966","12","","","","","","","","","","","0.0","T","16.5","","16.5","","10","",,"",,""
