"Station Name","GOLD RIVER"
"Province","BRITISH COLUMBIA"
"Latitude","49.67"
"Longitude","-126.17"
"Elevation","3.00"
"Climate Identifier","1033230"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-02","1958","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-03","1958","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-04","1958","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-05","1958","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-06","1958","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-07","1958","07","29.4","","16.2","","22.8","","36.1","","12.2","","2.3","","0.0","","2.3","","","",,"",,""
"1958-08","1958","08","24.7","","14.2","","19.5","","35.0","","10.6","","139.2","","0.0","","139.2","","","",,"",,""
"1958-09","1958","09","17.9","","10.8","","14.4","","30.6","","3.9","","261.9","","0.0","","261.9","","","",,"",,""
"1958-10","1958","10","14.7","","8.0","","11.4","","22.8","","3.9","","618.5","","0.0","","618.5","","","",,"",,""
"1958-11","1958","11","7.5","","2.0","","4.8","","12.8","","-5.6","","","M","1.8","","","M","","",,"",,""
"1958-12","1958","12","","M","","M","","M","13.9","","","M","","M","","M","","M","","",,"",,""
"1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1959-02","1959","02","6.9","","1.6","","4.3","","11.7","","-3.9","","270.0","","3.6","","273.6","","","",,"",,""
"1959-03","1959","03","7.9","","2.2","","5.1","","12.2","S","-1.1","","487.7","","2.5","","490.2","","","",,"",,""
"1959-04","1959","04","14.8","","4.6","","9.7","","23.9","","1.1","S","271.3","","0.0","","271.3","","","",,"",,""
"1959-05","1959","05","17.0","","7.1","","12.1","","28.3","","2.8","","47.2","","0.0","","47.2","","","",,"",,""
"1959-06","1959","06","18.7","","10.0","","14.4","","26.1","","5.6","","167.9","","0.0","","167.9","","","",,"",,""
"1959-07","1959","07","24.5","","13.2","","18.9","","33.9","S","8.3","","98.3","","0.0","","98.3","","","",,"",,""
"1959-08","1959","08","21.6","","12.9","","17.3","","27.8","","9.4","","","M","0.0","","","M","","",,"",,""
