"Station Name","GOLDSTREAM RIVER BREWSTER CREEK"
"Province","BRITISH COLUMBIA"
"Latitude","51.64"
"Longitude","-118.49"
"Elevation","710.00"
"Climate Identifier","1173BDB"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1991-01","1991","01","-7.5","E","-16.1","","-11.7","E","3.0","B","-33.0","","0.5","E","79.0","E","79.5","E","83","",,"",,""
"1991-02","1991","02","3.9","","-2.4","","0.8","","7.0","S","-7.5","","","","","","","","52","",,"",,""
"1991-03","1991","03","4.6","","-7.5","","-1.5","","14.0","","-20.0","","0.0","T","64.0","E","64.0","E","50","",,"",,""
"1991-04","1991","04","12.3","","-1.7","","5.3","","20.5","","-5.5","","56.3","","0.0","","56.3","","0","",,"",,""
"1991-05","1991","05","16.8","","3.7","","10.2","","26.5","","-3.5","","66.4","E","0.0","","66.4","E","0","",,"",,""
"1991-06","1991","06","19.2","","6.0","","12.6","","27.5","","-1.0","","77.2","","0.0","","77.2","","0","",,"",,""
"1991-07","1991","07","23.0","","8.1","","15.6","","32.0","","3.5","","64.5","","0.0","","64.5","","0","",,"",,""
"1991-08","1991","08","24.2","","9.6","","17.0","","33.5","","3.0","","109.7","","0.0","","109.7","","0","",,"",,""
"1991-09","1991","09","19.1","E","3.9","E","11.4","E","26.0","E","-2.0","E","36.0","","0.0","","36.0","","0","",,"",,""
"1991-10","1991","10","9.4","E","-2.4","E","3.4","E","19.5","E","-14.0","E","46.3","E","4.5","","50.8","E","","M",,"",,""
"1991-11","1991","11","0.7","E","-4.5","E","-2.0","E","5.0","E","-16.0","E","","","","","","","49","",,"",,""
"1991-12","1991","12","-1.2","E","-6.1","E","-3.8","E","1.5","B","-16.5","E","0.0","T","98.5","E","98.5","E","53","",,"",,""
"1992-01","1992","01","-0.9","","-5.4","","-3.1","","2.5","S","-12.0","","19.0","","207.0","","226.0","","101","",,"",,""
"1992-02","1992","02","2.9","","-2.8","","0.0","","8.5","","-10.0","","4.0","","42.0","E","46.0","E","75","",,"",,""
"1992-03","1992","03","9.4","E","-3.3","E","3.1","E","13.5","E","-7.0","E","20.5","","0.5","","21.0","","30","",,"",,""
"1992-04","1992","04","11.3","","-0.5","","5.4","","18.5","","-9.0","","70.5","","7.5","","78.0","","0","",,"",,""
"1992-05","1992","05","18.4","","3.2","","10.8","","29.0","","-3.0","","44.5","E","0.0","","44.5","E","0","",,"",,""
"1992-06","1992","06","26.2","","7.5","","16.9","","34.0","","0.0","","26.3","","0.0","","26.3","","0","",,"",,""
"1992-07","1992","07","24.1","","9.0","","16.6","","36.5","","4.5","","106.2","","0.0","","106.2","","0","",,"",,""
"1992-08","1992","08","24.5","","7.0","","15.8","","33.5","","-1.5","","38.0","","0.0","","38.0","","0","",,"",,""
