"Station Name","GRAND BEND RES STN 2"
"Province","ONTARIO"
"Latitude","43.33"
"Longitude","-81.65"
"Elevation","210.30"
"Climate Identifier","612298Q"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1962-06","1962","06","23.1","","11.7","","17.4","","31.1","","3.9","","69.3","","0.0","","69.3","","0","",,"",,""
"1962-07","1962","07","25.5","","12.6","","19.1","","33.3","","5.0","","65.8","","0.0","","65.8","","0","",,"",,""
"1962-08","1962","08","25.3","","12.9","","19.1","","30.6","S","5.0","","55.9","","0.0","","55.9","","0","",,"",,""
"1962-09","1962","09","19.4","","10.2","","14.8","","30.6","","2.2","","93.0","","0.0","","93.0","","0","",,"",,""
"1962-10","1962","10","15.1","","6.3","","10.7","","25.0","S","-3.3","","","M","","M","131.3","","0","",,"",,""
"1962-11","1962","11","6.8","","0.1","","3.5","","13.3","","-5.0","","53.6","","0.3","","53.8","","0","",,"",,""
"1962-12","1962","12","0.2","","-8.1","","-4.0","","12.8","","-19.4","","32.5","","","M","","M","30","",,"",,""
"1963-01","1963","01","-6.8","","","M","","M","2.2","","-25.0","","","M","","M","","M","28","",,"",,""
"1963-02","1963","02","","M","","M","","M","3.3","S","-25.0","","","M","","M","","M","25","",,"",,""
"1963-03","1963","03","4.8","","","M","","M","19.4","","-21.1","","","M","","M","","M","0","",,"",,""
"1963-04","1963","04","12.1","","0.0","","6.1","","25.6","","-4.4","S","47.5","","9.7","","57.2","","0","",,"",,""
"1963-05","1963","05","16.6","","4.7","","10.7","","27.2","","-3.3","","62.0","","0.0","","62.0","","0","",,"",,""
"1963-06","1963","06","23.7","","10.6","","17.2","","31.7","","2.2","","35.6","","0.0","","35.6","","0","",,"",,""
"1963-07","1963","07","25.9","","13.1","","19.5","","33.3","","2.2","","41.7","","0.0","","41.7","","0","",,"",,""
"1963-08","1963","08","23.4","","10.8","","17.1","","30.6","S","5.0","","35.6","","0.0","","35.6","","0","",,"",,""
"1963-09","1963","09","20.5","","6.9","","13.7","","27.2","","-0.6","","28.4","","0.0","","28.4","","0","",,"",,""
"1963-10","1963","10","20.7","","6.4","","13.6","","30.6","","-3.3","","19.3","","0.0","T","19.3","","0","",,"",,""
"1963-11","1963","11","9.2","","3.2","","6.2","","16.1","","-4.4","","74.2","","22.9","","97.0","","3","",,"",,""
"1963-12","1963","12","-2.1","","-8.1","","-5.1","","8.9","","-19.4","S","7.6","","125.0","","132.6","","74","",,"",,""
"1964-01","1964","01","0.7","","-8.2","","-3.8","","9.4","","-19.4","","35.6","","23.9","","59.4","","","M",,"",,""
"1964-02","1964","02","-0.8","","-9.1","","-5.0","","5.0","S","-16.1","","4.6","","","M","","M","8","",,"",,""
"1964-03","1964","03","3.8","","-3.6","","0.1","","18.3","","-16.7","","40.9","","35.6","","76.5","","10","",,"",,""
"1964-04","1964","04","12.2","","2.1","","7.2","","27.2","","-9.4","","70.9","","14.2","","85.1","","0","",,"",,""
"1964-05","1964","05","20.7","","8.0","","14.4","","31.7","","1.1","S","57.2","","0.0","","57.2","","0","",,"",,""
"1964-06","1964","06","24.1","","11.0","","17.6","","33.3","S","2.2","","41.7","","0.0","","41.7","","0","",,"",,""
"1964-07","1964","07","26.7","","14.6","","20.7","","33.9","","7.2","","58.2","","0.0","","58.2","","0","",,"",,""
"1964-08","1964","08","22.2","","12.1","","17.2","","29.4","","6.1","S","188.2","","0.0","","188.2","","0","",,"",,""
"1964-09","1964","09","20.8","","10.3","","15.6","","31.1","","1.7","S","32.0","","0.0","","32.0","","0","",,"",,""
"1964-10","1964","10","13.5","","3.1","","8.3","","22.2","","-2.2","","58.9","","0.0","T","58.9","","0","",,"",,""
"1964-11","1964","11","9.3","","1.4","","5.4","","18.9","S","-8.9","","13.5","","16.3","","29.7","","0","",,"",,""
"1964-12","1964","12","0.6","","-6.1","","-2.8","","10.6","","-14.4","","52.8","","37.1","","89.9","","0","",,"",,""
"1965-01","1965","01","-2.2","","-9.3","","-5.8","","13.3","","-22.2","S","43.7","","74.4","","118.1","","20","",,"",,""
"1965-02","1965","02","-1.3","","-8.9","","-5.1","","11.1","","-18.3","","58.2","","50.3","","108.5","","20","",,"",,""
"1965-03","1965","03","0.2","","-6.4","","-3.1","","6.1","","-23.3","","18.3","","39.9","E","58.2","E","3","",,"",,""
