"Station Name","GRAND BEND RES STN 4"
"Province","ONTARIO"
"Latitude","43.30"
"Longitude","-81.57"
"Elevation","245.40"
"Climate Identifier","61229HH"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1962-06","1962","06","23.4","","12.0","","17.7","","31.7","","3.9","","66.5","","0.0","","66.5","","0","",,"",,""
"1962-07","1962","07","25.4","","12.8","","19.1","","32.2","","5.6","","57.9","","0.0","","57.9","","0","",,"",,""
"1962-08","1962","08","25.4","","13.0","","19.2","","31.1","","5.0","","70.9","","0.0","","70.9","","0","",,"",,""
"1962-09","1962","09","19.5","","9.8","","14.7","","30.6","","2.2","","88.6","","0.0","","88.6","","0","",,"",,""
"1962-10","1962","10","15.0","","5.9","","10.5","","25.0","S","-3.3","","112.8","","16.0","","128.8","","0","",,"",,""
"1962-11","1962","11","7.0","","-0.4","","3.3","","14.4","","-7.2","","73.9","","0.0","T","73.9","","0","",,"",,""
"1962-12","1962","12","-0.7","","-8.9","","-4.8","","13.3","","-20.6","","23.4","","84.3","","107.7","","41","",,"",,""
"1963-01","1963","01","-6.8","","-13.9","","-10.4","","2.2","","-25.6","","0.8","","31.8","","32.5","","53","",,"",,""
"1963-02","1963","02","-5.3","","-15.4","","-10.4","","3.3","","-25.0","","2.8","","36.1","","38.9","","","M",,"",,""
"1963-03","1963","03","4.3","","-4.8","","-0.3","","18.9","","-23.3","","41.1","","21.6","","62.7","","0","",,"",,""
"1963-04","1963","04","12.9","","0.3","","6.6","","24.4","","-5.0","","54.6","","3.8","","58.4","","0","",,"",,""
"1963-05","1963","05","17.4","","4.8","","11.1","","27.2","","-3.9","","65.8","","0.0","","65.8","","0","",,"",,""
"1963-06","1963","06","24.3","","10.7","","17.5","","32.8","","2.2","","","M","0.0","","","M","0","",,"",,""
"1963-07","1963","07","26.8","","13.6","","20.2","","33.9","","3.3","","47.8","","0.0","","47.8","","0","",,"",,""
"1963-08","1963","08","24.2","","11.7","","18.0","","31.7","","5.6","S","32.0","","0.0","","32.0","","0","",,"",,""
"1963-09","1963","09","20.9","","7.3","","14.1","","27.8","","0.6","S","50.8","","0.0","","50.8","","0","",,"",,""
"1963-10","1963","10","21.2","","6.8","","14.0","","28.9","","-2.2","","19.3","","0.0","","19.3","","0","",,"",,""
"1963-11","1963","11","9.3","","2.9","","6.1","","15.6","","-4.4","","67.1","","15.0","","82.0","","3","",,"",,""
"1963-12","1963","12","-3.1","","-9.5","","-6.3","","8.3","","-21.1","","5.6","","134.9","","140.5","","","M",,"",,""
"1964-01","1964","01","-0.4","","-8.4","","-4.4","","9.4","","-21.7","","49.5","","36.1","","85.6","","","M",,"",,""
"1964-02","1964","02","-1.1","","-9.8","","-5.5","","5.6","","-16.7","","3.8","","54.1","","57.9","","","M",,"",,""
"1964-03","1964","03","4.2","","-4.1","","0.1","","18.9","","-15.0","","41.7","","","M","","M","","M",,"",,""
"1964-04","1964","04","12.1","","1.8","","7.0","","26.1","","-10.0","","57.4","","10.7","","68.1","","0","",,"",,""
"1964-05","1964","05","20.3","","7.9","","14.1","","29.4","S","0.0","","69.1","","0.0","","69.1","","0","",,"",,""
"1964-06","1964","06","24.1","","10.9","","17.5","","32.8","","1.1","","67.3","","0.0","","67.3","","0","",,"",,""
"1964-07","1964","07","27.3","","14.7","","21.0","","34.4","","6.7","S","53.1","","0.0","","53.1","","0","",,"",,""
"1964-08","1964","08","22.6","","11.9","","17.3","","30.0","S","6.1","","234.2","","0.0","","234.2","","0","",,"",,""
"1964-09","1964","09","20.9","","9.7","","15.3","","30.6","","1.1","S","31.8","","0.0","","31.8","","0","",,"",,""
"1964-10","1964","10","13.7","","2.2","","8.0","","23.3","","-4.4","","85.1","","0.0","T","85.1","","0","",,"",,""
"1964-11","1964","11","9.4","","1.0","","5.2","","19.4","","-11.1","","15.5","","11.9","","27.4","","10","",,"",,""
"1964-12","1964","12","0.6","","-6.3","","-2.9","","11.1","","-17.2","","49.0","","39.4","","88.4","","0","",,"",,""
"1965-01","1965","01","-2.4","","-10.2","","-6.3","","13.3","","-25.0","","40.1","","77.2","","117.3","","10","",,"",,""
"1965-02","1965","02","-1.6","","-9.8","","-5.7","","11.1","","-18.3","","34.8","","39.9","","74.7","","20","",,"",,""
