"Station Name","GREAT FALLS"
"Province","MANITOBA"
"Latitude","50.47"
"Longitude","-96.00"
"Elevation","248.70"
"Climate Identifier","5031200"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1922-01","1922","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-02","1922","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-03","1922","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-04","1922","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-05","1922","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-06","1922","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-07","1922","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-08","1922","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1922-09","1922","09","21.1","","8.7","","14.9","","28.9","S","0.6","","103.1","","0.0","","103.1","","","",,"",,""
"1922-10","1922","10","10.1","","0.5","","5.3","","30.6","","-6.7","","27.2","","0.0","T","27.2","","","",,"",,""
"1922-11","1922","11","1.3","","-3.9","","-1.3","","13.3","","-16.1","","36.6","","10.2","","46.7","","","",,"",,""
"1922-12","1922","12","-12.3","","-21.9","","-17.1","","-0.6","","-35.0","","","M","","M","","M","","",,"",,""
"1923-01","1923","01","-9.8","","-25.1","","-17.5","","4.4","","-37.2","","0.0","","","M","","M","","",,"",,""
"1923-02","1923","02","-13.0","","-25.9","","-19.5","","1.7","","-38.9","","0.0","","","M","","M","","",,"",,""
"1923-03","1923","03","-7.8","","-22.2","","-15.0","","7.2","","-35.6","S","0.0","","","M","","M","","",,"",,""
"1923-04","1923","04","7.2","","-8.0","","-0.4","","25.6","","-24.4","","6.1","","0.0","T","6.1","","","",,"",,""
"1923-05","1923","05","18.8","","4.2","","11.5","","31.7","","-7.2","","22.9","","0.0","T","22.9","","","",,"",,""
"1923-06","1923","06","27.6","","12.9","","20.3","","36.1","","5.6","","46.2","","0.0","","46.2","","","",,"",,""
"1923-07","1923","07","28.9","","15.1","","22.0","","35.0","","7.2","","100.8","","0.0","","100.8","","","",,"",,""
"1923-08","1923","08","22.7","","9.6","","16.2","","28.9","","5.0","S","51.8","","0.0","","51.8","","","",,"",,""
"1923-09","1923","09","21.1","","8.3","","14.7","","28.9","","0.0","","57.4","","0.0","","57.4","","","",,"",,""
"1923-10","1923","10","13.9","","0.6","","7.3","","23.3","","-11.7","","13.2","","0.0","T","13.2","","","",,"",,""
"1923-11","1923","11","5.8","","-3.8","","1.0","","17.8","","-14.4","","3.3","","10.2","","13.5","","","",,"",,""
"1923-12","1923","12","-4.2","","-12.9","","-8.6","","5.0","","-30.6","","","M","","M","","M","","",,"",,""
"1924-01","1924","01","-15.3","","-26.2","","-20.8","","2.2","","-38.9","","0.0","","","M","","M","","",,"",,""
"1924-02","1924","02","-2.9","","-18.1","","-10.5","","8.3","","-32.8","","0.0","T","","M","","M","","",,"",,""
"1924-03","1924","03","2.1","","-11.8","","-4.9","","10.0","","-21.1","","0.0","","","M","","M","","",,"",,""
"1924-04","1924","04","6.6","","-3.3","","1.7","","16.1","","-16.1","","","M","","M","","M","","",,"",,""
"1924-05","1924","05","12.3","","0.6","","6.5","","24.4","","-6.1","","","M","","M","","M","","",,"",,""
"1924-06","1924","06","20.6","","9.1","","14.9","","26.1","","3.3","","30.2","","0.0","","30.2","","","",,"",,""
"1924-07","1924","07","24.9","","13.4","","19.2","","32.8","","6.1","","40.1","","0.0","","40.1","","","",,"",,""
"1924-08","1924","08","22.5","","12.3","","17.4","","32.8","","6.1","","55.1","","0.0","","55.1","","","",,"",,""
"1924-09","1924","09","17.8","","8.1","","13.0","","28.3","","1.1","","68.8","","0.0","","68.8","","","",,"",,""
"1924-10","1924","10","15.9","","6.3","","11.1","","23.9","","1.7","S","43.9","","0.0","","43.9","","","",,"",,""
"1924-11","1924","11","-2.6","","-8.8","","-5.7","","7.2","","-20.6","","0.0","","20.6","","20.6","","","",,"",,""
"1924-12","1924","12","-13.9","","-24.8","","-19.4","","1.1","","-36.1","","0.0","","26.4","","26.4","","","",,"",,""
"1925-01","1925","01","-12.5","","-26.0","","-19.3","","0.0","","-39.4","","0.0","","39.1","","39.1","","","",,"",,""
"1925-02","1925","02","-11.4","","-25.8","","-18.6","","4.4","","-40.6","","0.0","","19.3","","19.3","","","",,"",,""
"1925-03","1925","03","-1.9","","-16.7","","-9.3","","20.0","","-36.7","","0.8","","35.1","","35.8","","","",,"",,""
"1925-04","1925","04","11.1","","-0.5","","5.3","","22.8","","-5.0","S","10.9","","0.0","T","10.9","","","",,"",,""
"1925-05","1925","05","15.9","","2.8","","9.4","","24.4","S","-3.9","","18.8","","0.0","T","18.8","","","",,"",,""
"1925-06","1925","06","","M","","M","","M","","M","","M","131.1","","0.0","","131.1","","","",,"",,""
"1925-07","1925","07","","M","","M","","M","","M","","M","24.4","","0.0","","24.4","","","",,"",,""
"1925-08","1925","08","","M","","M","","M","","M","","M","52.1","","0.0","","52.1","","","",,"",,""
"1925-09","1925","09","","M","","M","","M","","M","","M","44.2","","0.0","","44.2","","","",,"",,""
"1925-10","1925","10","","M","","M","","M","","M","","M","4.3","","22.9","","27.2","","","",,"",,""
"1925-11","1925","11","","M","","M","","M","","M","","M","9.1","","2.5","","11.7","","","",,"",,""
"1925-12","1925","12","-7.3","","-17.6","","-12.5","","8.3","","-30.6","","0.0","T","16.0","","16.0","","","",,"",,""
"1926-01","1926","01","-8.5","","-21.5","","-15.0","","3.3","","-38.3","S","0.0","","9.1","","9.1","","","",,"",,""
"1926-02","1926","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1926-03","1926","03","-2.0","","-17.7","","-9.9","","11.7","S","-32.8","","0.0","T","20.8","","20.8","","","",,"",,""
"1926-04","1926","04","8.7","","-6.2","","1.3","","25.6","","-18.3","","0.0","T","5.1","","5.1","","","",,"",,""
"1926-05","1926","05","20.3","","6.2","","13.3","","32.2","","-6.7","","9.9","","0.0","T","9.9","","","",,"",,""
"1926-06","1926","06","19.2","","8.4","","13.8","","27.2","","2.8","S","46.7","","0.0","","46.7","","","",,"",,""
"1926-07","1926","07","25.8","","13.1","","19.5","","34.4","","3.9","","54.1","","0.0","","54.1","","","",,"",,""
