"Station Name","GRIMSBY ROCK CHAPEL"
"Province","ONTARIO"
"Latitude","43.18"
"Longitude","-79.58"
"Elevation","198.10"
"Climate Identifier","6133057"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1914-01","1914","01","","","","","","","","","","","37.8","","53.6","","91.4","","","",,"",,""
"1914-02","1914","02","","","","","","","","","","","9.4","","28.2","","37.6","","","",,"",,""
"1914-03","1914","03","","","","","","","","","","","43.9","","29.2","","73.2","","","",,"",,""
"1914-04","1914","04","","","","","","","","","","","70.6","","13.0","","83.6","","","",,"",,""
"1914-05","1914","05","","","","","","","","","","","75.2","","0.0","","75.2","","","",,"",,""
"1914-06","1914","06","","","","","","","","","","","72.9","","0.0","","72.9","","","",,"",,""
"1914-07","1914","07","","","","","","","","","","","21.1","","0.0","","21.1","","","",,"",,""
"1914-08","1914","08","","","","","","","","","","","87.9","","0.0","","87.9","","","",,"",,""
"1914-09","1914","09","","","","","","","","","","","69.9","","0.0","","69.9","","","",,"",,""
"1914-10","1914","10","","","","","","","","","","","35.6","","0.0","","35.6","","","",,"",,""
"1914-11","1914","11","","","","","","","","","","","33.5","","5.1","","38.6","","","",,"",,""
"1914-12","1914","12","","","","","","","","","","","23.1","","53.8","","77.0","","","",,"",,""
"1915-01","1915","01","","","","","","","","","","","22.4","","64.8","","87.1","","","",,"",,""
"1915-02","1915","02","","","","","","","","","","","45.7","","40.9","","86.6","","","",,"",,""
"1915-03","1915","03","","","","","","","","","","","4.3","","14.5","","18.8","","","",,"",,""
"1915-04","1915","04","","","","","","","","","","","35.1","","0.0","","35.1","","","",,"",,""
"1915-05","1915","05","","","","","","","","","","","65.3","","0.0","","65.3","","","",,"",,""
"1915-06","1915","06","","","","","","","","","","","42.7","","0.0","","42.7","","","",,"",,""
"1915-07","1915","07","","","","","","","","","","","97.5","","0.0","","97.5","","","",,"",,""
"1915-08","1915","08","","","","","","","","","","","128.5","","0.0","","128.5","","","",,"",,""
"1915-09","1915","09","","","","","","","","","","","49.5","","0.0","","49.5","","","",,"",,""
"1915-10","1915","10","","","","","","","","","","","39.9","","0.0","","39.9","","","",,"",,""
"1915-11","1915","11","","","","","","","","","","","41.9","","1.3","","43.2","","","",,"",,""
"1915-12","1915","12","","","","","","","","","","","25.4","","40.6","","66.0","","","",,"",,""
"1916-01","1916","01","2.7","","-6.7","","-2.0","","15.6","","-18.9","","72.6","","10.7","","83.3","","","",,"",,""
"1916-02","1916","02","-3.3","","-12.1","","-7.7","","12.8","","-18.9","S","0.8","","71.4","","72.1","","","",,"",,""
"1916-03","1916","03","-1.6","","-10.0","","-5.8","","9.4","","-22.8","","28.4","","74.7","","103.1","","","",,"",,""
"1916-04","1916","04","10.1","","1.7","","5.9","","21.1","","-3.3","S","92.7","","0.8","","93.5","","","",,"",,""
"1916-05","1916","05","17.7","","6.2","","12.0","","26.7","","2.2","S","145.3","","0.0","","145.3","","","",,"",,""
"1916-06","1916","06","20.4","","10.2","","15.3","","26.1","","5.6","","88.6","","0.0","","88.6","","","",,"",,""
"1916-07","1916","07","28.9","","18.3","","23.6","","37.2","","12.2","","15.5","","0.0","","15.5","","","",,"",,""
"1916-08","1916","08","28.2","","15.9","","22.1","","37.2","","7.8","","31.8","","0.0","","31.8","","","",,"",,""
"1916-09","1916","09","22.0","","10.6","","16.3","","32.2","","2.8","S","40.1","","0.0","","40.1","","","",,"",,""
"1916-10","1916","10","15.2","","3.2","","9.2","","29.4","","-1.7","","71.9","","0.0","","71.9","","","",,"",,""
"1916-11","1916","11","5.8","","-1.2","","2.3","","15.6","S","-10.6","","28.4","","20.3","","48.8","","","",,"",,""
"1916-12","1916","12","-0.2","","-7.7","","-4.0","","12.2","","-17.2","S","20.1","","45.0","","65.0","","","",,"",,""
"1917-01","1917","01","-2.5","","-10.9","","-6.7","","4.4","","-25.0","","44.2","","35.6","","79.8","","","",,"",,""
"1917-02","1917","02","-4.5","","-13.9","","-9.2","","7.2","","-24.4","","26.2","","20.6","","46.7","","","",,"",,""
"1917-03","1917","03","3.9","","-5.1","","-0.6","","19.4","","-19.4","","39.4","","23.9","","63.2","","","",,"",,""
"1917-04","1917","04","8.8","","-0.4","","4.2","","23.3","","-5.6","","79.5","","12.4","","91.9","","","",,"",,""
"1917-05","1917","05","13.4","","3.7","","8.6","","26.1","","-1.1","","74.9","","0.0","T","74.9","","","",,"",,""
"1917-06","1917","06","21.1","","9.8","","15.5","","29.4","","5.0","","147.6","","0.0","","147.6","","","",,"",,""
"1917-07","1917","07","25.3","","15.7","","20.5","","34.4","","11.1","","104.6","","0.0","","104.6","","","",,"",,""
"1917-08","1917","08","25.4","","14.1","","19.8","","36.1","S","8.3","S","31.5","","0.0","","31.5","","","",,"",,""
"1917-09","1917","09","19.7","","8.8","","14.3","","26.7","S","2.2","S","40.1","","0.0","","40.1","","","",,"",,""
"1917-10","1917","10","10.8","","2.2","","6.5","","21.1","","-2.2","S","144.3","","0.0","","144.3","","","",,"",,""
