"Station Name","GULL POND"
"Province","NEWFOUNDLAND"
"Latitude","49.20"
"Longitude","-56.15"
"Elevation","152.40"
"Climate Identifier","8402060"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-04","1964","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-05","1964","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-06","1964","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-07","1964","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-08","1964","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-09","1964","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-10","1964","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1964-11","1964","11","2.4","","-3.0","","-0.3","","7.2","S","-11.1","","41.7","","26.7","","68.3","","","",,"",,""
"1964-12","1964","12","","M","","M","","M","7.8","","-20.6","","19.8","","104.1","","124.0","","","",,"",,""
"1965-01","1965","01","","M","","M","","M","1.7","S","-22.2","","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","-26.7","","18.3","E","83.3","E","101.6","E","","M",,"",,""
"1965-03","1965","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-05","1965","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-06","1965","06","18.6","","5.8","","12.2","","29.4","","-1.1","","67.8","","0.0","","67.8","","0","",,"",,""
"1965-07","1965","07","22.6","","10.5","","16.6","","26.7","","5.0","","94.7","","0.0","","94.7","","0","",,"",,""
"1965-08","1965","08","23.2","","10.0","","16.6","","","M","3.3","","","M","0.0","","","M","0","",,"",,""
"1965-09","1965","09","16.8","","6.0","","11.4","","27.2","","-0.6","","62.7","","0.0","","62.7","","0","",,"",,""
"1965-10","1965","10","10.8","","-1.1","E","4.9","E","16.7","","","M","79.5","E","0.0","T","79.5","E","0","",,"",,""
"1965-11","1965","11","3.0","","-3.9","","-0.5","","10.6","S","-13.3","","","M","","M","","M","","M",,"",,""
"1965-12","1965","12","-1.1","","-8.9","E","-5.0","E","7.2","","","M","8.6","","71.1","","79.8","","","M",,"",,""
"1966-01","1966","01","-0.9","","-7.7","","-4.3","","2.8","S","-24.4","","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","-1.3","","-11.4","","-6.4","","3.9","","-27.8","","0.0","","45.7","","45.7","","","M",,"",,""
"1966-03","1966","03","4.4","","-6.2","","-0.9","","15.0","","-22.8","","0.0","T","28.2","","28.2","","28","",,"",,""
"1966-04","1966","04","3.8","","-2.9","","0.5","","11.1","","-11.7","","0.0","T","60.2","","60.2","","","M",,"",,""
"1966-05","1966","05","12.1","","0.8","","6.5","","24.4","","-6.1","","26.7","","0.8","","27.4","","0","",,"",,""
"1966-06","1966","06","19.7","","6.9","","13.3","","27.2","","0.6","","66.5","","0.0","","66.5","","0","",,"",,""
"1966-07","1966","07","22.8","","12.4","E","17.6","E","26.7","S","5.6","S","61.0","E","0.0","","61.0","E","0","",,"",,""
"1966-08","1966","08","20.9","","10.4","","15.7","","27.8","","5.6","","110.2","","0.0","","110.2","","0","",,"",,""
"1966-09","1966","09","16.8","","5.5","","11.2","","25.6","","-0.6","","39.1","","0.0","","39.1","","0","",,"",,""
"1966-10","1966","10","12.4","","3.9","","8.2","","15.6","S","","M","101.6","E","0.0","","101.6","E","0","",,"",,""
"1966-11","1966","11","7.9","E","-1.0","E","3.5","E","","M","-10.6","","37.3","","0.0","T","37.3","","0","",,"",,""
"1966-12","1966","12","2.2","","-4.7","","-1.3","","14.4","","-18.3","","9.7","","","M","","M","","M",,"",,""
"1967-01","1967","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","-3.8","","-15.1","","-9.5","","3.9","","-28.9","","0.0","","62.2","","62.2","","","M",,"",,""
"1967-03","1967","03","-0.7","","-12.1","","-6.4","","8.9","","-21.7","","0.0","","88.9","","88.9","","","M",,"",,""
"1967-04","1967","04","2.9","","-6.3","","-1.7","","","M","-15.6","","","M","20.3","","","M","","M",,"",,""
"1967-05","1967","05","10.8","","","M","","M","16.1","","-5.0","","","M","","M","","M","0","",,"",,""
"1967-06","1967","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-07","1967","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-08","1967","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-09","1967","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-10","1967","10","","M","","M","","M","","M","-2.2","","","M","0.0","T","","M","0","",,"",,""
"1967-11","1967","11","6.9","","-0.3","","3.3","","18.9","","-6.7","","146.3","","1.8","","148.1","","0","",,"",,""
"1967-12","1967","12","0.2","","","M","","M","10.0","","","M","","M","6.1","","","M","0","",,"",,""
"1968-01","1968","01","-2.7","E","-10.0","E","-6.4","E","5.6","S","-21.1","","0.0","","38.6","","38.6","","","M",,"",,""
"1968-02","1968","02","-2.3","","-12.1","","-7.2","","7.8","","-25.0","","10.9","","37.6","","48.5","","","M",,"",,""
"1968-03","1968","03","1.5","","-7.7","E","-3.1","E","10.6","","-23.9","","12.7","","53.1","","65.8","","","M",,"",,""
"1968-04","1968","04","6.7","","-2.4","","2.2","","17.2","","-7.8","S","14.2","","12.4","","26.7","","0","",,"",,""
"1968-05","1968","05","10.7","","0.8","","5.8","","23.9","","-3.3","","90.2","","4.3","","94.5","","0","",,"",,""
"1968-06","1968","06","14.9","","4.6","","9.8","","25.0","","0.6","","145.8","E","5.1","","150.9","E","0","",,"",,""
"1968-07","1968","07","21.3","","9.7","","15.5","","30.6","","4.4","","118.1","","0.0","","118.1","","0","",,"",,""
"1968-08","1968","08","16.4","","8.8","","12.6","","28.3","","3.3","","100.1","","0.0","","100.1","","0","",,"",,""
"1968-09","1968","09","18.3","","7.8","","13.1","","25.6","","1.7","","60.5","E","0.0","","60.5","E","0","",,"",,""
"1968-10","1968","10","11.0","","3.8","","7.4","","20.6","","-1.7","","81.5","","0.0","","81.5","","0","",,"",,""
"1968-11","1968","11","2.3","","-3.1","","-0.4","","8.9","","-11.7","","62.2","","55.6","E","117.9","E","","M",,"",,""
"1968-12","1968","12","0.5","","-5.3","","-2.4","","6.7","","","M","36.3","E","46.2","E","82.6","E","","M",,"",,""
"1969-01","1969","01","-0.1","","-7.6","","-3.9","","6.1","","-17.8","","49.5","","75.9","","125.5","","36","",,"",,""
"1969-02","1969","02","0.7","","-6.9","","-3.1","","7.2","S","-17.2","","45.5","","6.4","","51.8","","","M",,"",,""
"1969-03","1969","03","1.3","","-6.8","","-2.8","","6.7","S","-21.1","","19.1","","57.4","","76.5","","","M",,"",,""
"1969-04","1969","04","3.4","","-5.2","","-0.9","","13.9","","-14.4","","31.8","E","25.4","E","57.2","E","","M",,"",,""
"1969-05","1969","05","10.3","","2.1","","6.2","","18.3","","-2.2","","101.3","E","7.1","","108.5","E","0","",,"",,""
"1969-06","1969","06","20.7","","8.3","","14.5","","31.1","","-0.6","","63.8","","0.0","","63.8","","0","",,"",,""
"1969-07","1969","07","21.7","","10.4","","16.1","","27.8","S","4.4","","69.9","","0.0","","69.9","","0","",,"",,""
"1969-08","1969","08","21.8","","10.8","E","16.3","E","26.7","","","M","106.2","","0.0","","106.2","","0","",,"",,""
