"Station Name","HARBOUR DEEP"
"Province","NEWFOUNDLAND"
"Latitude","50.37"
"Longitude","-56.52"
"Elevation","11.00"
"Climate Identifier","8402073"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01","1990","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-03","1990","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-04","1990","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-05","1990","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-06","1990","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-07","1990","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-08","1990","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-09","1990","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-10","1990","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-11","1990","11","2.9","","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1990-12","1990","12","-1.4","","-10.4","","-5.9","","6.0","","-23.0","S","27.2","E","54.0","","81.2","E","25","",,"",,""
"1991-01","1991","01","-10.3","","-20.5","","-15.4","","-1.0","","-28.0","S","0.0","","79.0","","79.0","","65","",,"",,""
"1991-02","1991","02","-5.3","","-16.4","","-10.9","","6.5","","-29.5","","1.0","","49.0","","50.0","","72","",,"",,""
"1991-03","1991","03","0.5","","-8.5","","-4.0","","7.0","","-24.0","","29.0","E","13.0","E","42.0","E","58","",,"",,""
"1991-04","1991","04","1.9","","-6.4","","-2.2","","12.0","S","-17.0","","5.2","","53.0","","58.2","","45","",,"",,""
"1991-05","1991","05","7.6","","-0.4","","3.7","","20.0","","-6.0","","7.6","I","0.0","","7.6","I","0","",,"",,""
"1991-06","1991","06","11.3","","2.7","","7.0","","22.5","","-1.0","","70.4","","0.0","T","70.4","","0","",,"",,""
"1991-07","1991","07","16.6","","6.8","","11.7","","29.0","","2.0","","85.4","","0.0","","85.4","","0","",,"",,""
"1991-08","1991","08","18.5","","8.0","","13.3","","31.5","","2.0","","111.8","","0.0","","111.8","","0","",,"",,""
"1991-09","1991","09","14.1","","5.2","","9.7","","21.0","","0.0","","110.0","","0.0","","110.0","","0","",,"",,""
"1991-10","1991","10","9.2","","1.9","","5.6","","17.0","","-5.5","","59.4","","0.0","T","59.4","","0","",,"",,""
"1991-11","1991","11","3.8","","-1.7","","1.0","","15.0","","-9.0","S","40.0","E","5.0","","45.0","E","0","",,"",,""
"1991-12","1991","12","-5.7","","-14.4","","-10.0","","6.0","","-23.0","","7.0","","55.0","","62.0","","36","",,"",,""
"1992-01","1992","01","-6.2","","-14.2","","-10.2","","7.5","","-26.0","","7.0","","18.0","","25.0","","26","",,"",,""
"1992-02","1992","02","-7.5","","-17.7","","-12.6","","1.0","","-29.0","","0.0","","98.0","","98.0","","73","",,"",,""
"1992-03","1992","03","-1.8","","-11.4","","-6.6","","12.0","","-24.0","","6.6","","17.0","","23.6","","60","",,"",,""
"1992-04","1992","04","2.9","","-5.8","","-1.5","","14.0","","-13.0","","0.0","T","44.0","","44.0","","39","",,"",,""
"1992-05","1992","05","9.7","","-0.8","","4.5","","26.5","","-8.0","","3.4","","28.0","","31.4","","0","",,"",,""
"1992-06","1992","06","12.3","","3.7","","8.0","","23.5","","-1.0","S","59.6","","0.0","","59.6","","0","",,"",,""
"1992-07","1992","07","15.3","","6.1","","10.8","","29.0","","0.0","","70.7","","0.0","","70.7","","0","",,"",,""
"1992-08","1992","08","19.2","","9.4","","14.3","","27.0","S","3.0","","151.0","","0.0","","151.0","","0","",,"",,""
"1992-09","1992","09","16.2","","6.2","","11.3","","24.5","","-0.5","","44.2","","0.0","","44.2","","0","",,"",,""
"1992-10","1992","10","7.9","","1.8","","4.8","","16.0","","-2.5","S","190.5","","0.0","T","190.5","","0","",,"",,""
"1992-11","1992","11","0.8","","-6.1","","-2.7","","12.5","","-14.5","","22.2","","7.0","","29.2","","2","",,"",,""
"1992-12","1992","12","-3.5","","-11.4","","-7.4","","4.0","","-22.5","","0.0","","42.0","","42.0","","26","",,"",,""
"1993-01","1993","01","-7.6","","-17.7","","-12.6","","4.0","","-28.0","","0.0","","51.0","","51.0","","65","",,"",,""
"1993-02","1993","02","-8.3","","-19.4","","-13.9","","7.5","","-30.5","S","0.0","T","70.0","","70.0","","121","",,"",,""
"1993-03","1993","03","-2.1","","-12.2","","-7.2","","9.5","S","-28.5","","1.4","","38.0","","39.4","","126","",,"",,""
"1993-04","1993","04","4.2","","-4.8","","-0.3","","14.0","","-14.5","","27.4","E","6.0","","33.4","E","60","",,"",,""
"1993-05","1993","05","6.1","","-0.4","","2.9","","16.0","","-9.5","","192.8","","1.0","","193.8","","0","",,"",,""
"1993-06","1993","06","11.8","","3.1","","7.4","","27.5","","-1.0","","107.2","","0.0","","107.2","","0","",,"",,""
"1993-07","1993","07","14.0","","6.7","","10.4","","27.5","","2.0","","206.2","","0.0","","206.2","","0","",,"",,""
"1993-08","1993","08","19.3","","10.1","","14.7","","31.0","","4.0","","74.8","","0.0","","74.8","","0","",,"",,""
"1993-09","1993","09","15.2","","5.3","","10.3","","24.0","","-1.5","","76.2","","0.0","","76.2","","0","",,"",,""
"1993-10","1993","10","8.5","","0.5","","4.6","","18.5","","-7.0","","97.4","","9.0","","106.4","","0","",,"",,""
"1993-11","1993","11","2.3","","-4.6","","-1.1","","14.5","","-15.0","","61.4","","7.0","","68.4","","0","",,"",,""
