"Station Name","HARROP"
"Province","BRITISH COLUMBIA"
"Latitude","49.60"
"Longitude","-117.05"
"Elevation","538.00"
"Climate Identifier","1143338"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-02","1959","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-03","1959","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-04","1959","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-05","1959","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-06","1959","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-07","1959","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-08","1959","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-09","1959","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-10","1959","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-11","1959","11","2.2","","-4.6","","-1.2","","11.7","","-16.1","","30.2","","86.9","","117.1","","23","",,"",,""
"1959-12","1959","12","0.8","","-4.8","","-2.0","","4.4","S","-10.6","","33.5","","39.1","","72.6","","46","",,"",,""
"1960-01","1960","01","-2.3","","-9.7","","-6.0","","6.7","","-17.8","","17.8","","68.8","","86.6","","71","",,"",,""
"1960-02","1960","02","2.1","","-6.1","","-2.0","","8.9","","-18.9","","18.3","","37.6","","55.9","","71","",,"",,""
"1960-03","1960","03","5.1","","-4.9","","0.1","","11.7","","-21.7","","40.6","","47.5","","88.1","","3","",,"",,""
"1960-04","1960","04","12.5","","0.5","","6.5","","20.0","","-2.8","","35.1","","2.5","","37.6","","","M",,"",,""
"1960-05","1960","05","15.8","","3.9","","9.9","","26.1","","-2.2","","65.8","","0.0","","65.8","","","M",,"",,""
"1960-06","1960","06","22.1","","6.9","","14.5","","29.4","","1.1","","27.7","","0.0","","27.7","","","M",,"",,""
"1960-07","1960","07","29.9","","9.7","","19.8","","35.6","","6.1","","5.1","","0.0","","5.1","","","M",,"",,""
"1960-08","1960","08","23.0","","9.4","","16.2","","30.0","S","6.1","S","60.7","","0.0","","60.7","","","M",,"",,""
"1960-09","1960","09","19.7","","4.4","","12.1","","26.7","","0.6","S","58.2","","0.0","","58.2","","","M",,"",,""
"1960-10","1960","10","13.0","","2.8","","7.9","","20.0","","-2.8","","74.7","","0.0","","74.7","","","M",,"",,""
"1960-11","1960","11","4.7","","-1.9","","1.4","","11.7","","-6.1","","77.5","","47.2","","124.7","","","M",,"",,""
"1960-12","1960","12","0.4","","-3.7","","-1.7","","5.6","","-11.7","","","M","","M","","M","","M",,"",,""
"1961-01","1961","01","1.4","","-4.1","","-1.4","","8.9","","-11.7","","48.8","","36.6","","85.3","","18","",,"",,""
"1961-02","1961","02","4.6","","-1.0","","1.8","","7.8","","-7.2","","67.3","","56.9","","124.2","","15","",,"",,""
"1961-03","1961","03","8.1","","-1.8","","3.2","","17.8","","-12.2","","31.0","","8.9","","39.9","","0","",,"",,""
"1961-04","1961","04","12.1","","1.1","","6.6","","16.7","S","-4.4","S","32.3","","0.5","","32.8","","","M",,"",,""
"1961-05","1961","05","17.7","","4.6","","11.2","","26.7","S","0.6","","82.8","","0.0","","82.8","","","M",,"",,""
"1961-06","1961","06","25.8","","8.8","","17.3","","31.7","S","5.6","","37.6","","0.0","","37.6","","","M",,"",,""
"1961-07","1961","07","26.6","","10.4","","18.5","","31.1","S","3.9","","48.8","","0.0","","48.8","","","M",,"",,""
"1961-08","1961","08","","M","","M","","M","33.3","","","M","","M","0.0","","","M","","M",,"",,""
"1961-09","1961","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1961-10","1961","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1961-11","1961","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1961-12","1961","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
