"Station Name","HARROW AUTOMATIC CLIMATE STATION"
"Province","ONTARIO"
"Latitude","42.03"
"Longitude","-82.90"
"Elevation","190.50"
"Climate Identifier","613CC60"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01","1992","01","0.8","","-5.3","","-2.2","","7.2","","-16.7","","","M","","M","60.2","","","M",,"",,""
"1992-02","1992","02","2.3","","-3.9","","-0.8","","9.0","","-14.6","","","M","","M","53.9","","","M",,"",,""
"1992-03","1992","03","5.3","","-3.2","","1.1","","14.2","","-12.3","","","M","","M","76.3","","","M",,"",,""
"1992-04","1992","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-05","1992","05","19.6","","7.9","","13.7","","29.2","","0.7","","","M","","M","33.0","","","M",,"",,""
"1992-06","1992","06","23.3","","12.2","","17.7","","31.1","","5.5","","31.8","","","M","31.8","","","M",,"",,""
"1992-07","1992","07","25.1","E","16.8","","21.0","E","29.8","","10.4","","","M","","M","126.6","","0","",,"",,""
"1992-08","1992","08","24.1","","14.8","","19.5","","32.4","","9.9","","","M","","M","108.0","","0","",,"",,""
"1992-09","1992","09","21.5","","12.5","","17.0","","27.0","S","2.8","S","","M","","M","186.6","","0","",,"",,""
"1992-10","1992","10","14.4","","5.5","","10.0","","24.2","","-2.0","","","M","","M","57.9","","0","",,"",,""
"1992-11","1992","11","6.9","","2.4","","4.7","","14.9","","-3.7","","","M","","M","120.9","","","M",,"",,""
"1992-12","1992","12","2.9","","-2.1","","0.4","","11.8","","-10.8","","54.7","","8.0","","59.7","","","",,"",,""
"1993-01","1993","01","1.0","","-4.8","","-1.9","","11.2","","-12.7","","65.9","","8.2","","74.1","","","",,"",,""
"1993-02","1993","02","-1.7","","-8.3","","-5.0","","8.6","","-19.5","","10.0","","28.1","","38.1","","","",,"",,""
"1993-03","1993","03","3.0","","-3.2","","-0.1","","16.4","","-13.6","","41.4","E","50.8","E","89.0","E","","",,"",,""
"1993-04","1993","04","12.6","","3.3","","8.0","","21.6","","-2.5","","64.2","","0.5","E","64.7","E","0","",,"",,""
"1993-05","1993","05","20.3","","9.0","","14.7","","28.8","","3.5","","50.0","","0.0","","50.0","","0","",,"",,""
"1993-06","1993","06","23.5","","15.0","","19.3","","30.6","","5.6","","125.9","","0.0","","125.9","","0","",,"",,""
"1993-07","1993","07","28.1","","18.8","","23.5","","33.6","","12.6","","51.5","","0.0","","51.5","","0","",,"",,""
"1993-08","1993","08","27.6","","17.3","","22.5","","33.6","","10.0","","39.9","","0.0","","39.9","","0","",,"",,""
"1993-09","1993","09","19.7","","11.5","","15.6","","28.7","","0.2","","105.0","","0.0","","105.0","","0","",,"",,""
"1993-10","1993","10","14.4","","5.6","","10.0","","25.8","","-1.5","","53.6","","0.4","","54.0","","0","",,"",,""
"1993-11","1993","11","7.6","","1.0","","4.3","","15.1","","-5.6","","36.0","","0.0","T","36.0","","","",,"",,""
"1993-12","1993","12","1.5","","-3.7","","-1.1","","11.5","","-17.6","","12.3","E","10.8","E","20.1","E","","",,"",,""
"1994-01","1994","01","-5.2","","-11.9","","-8.6","","4.4","","-27.2","","27.5","","36.8","E","63.3","","","M",,"",,""
"1994-02","1994","02","-1.6","","-9.3","","-5.5","","12.3","","-21.7","","9.1","","31.8","E","34.7","","","M",,"",,""
"1994-03","1994","03","5.5","","-2.1","","1.7","","19.5","","-11.0","","52.0","E","30.9","E","82.9","E","","M",,"",,""
"1994-04","1994","04","14.3","","4.2","","9.3","","28.5","","-6.5","","96.0","E","9.8","E","105.8","E","","",,"",,""
"1994-05","1994","05","19.5","","7.8","","13.7","","29.8","","0.9","","25.0","E","0.0","","25.0","E","0","",,"",,""
"1994-06","1994","06","26.4","","15.3","","20.9","","33.3","","5.2","","94.4","","0.0","","94.4","","0","",,"",,""
"1994-07","1994","07","27.6","","17.9","","22.8","","31.5","S","11.0","","27.6","","0.0","","27.6","","0","",,"",,""
"1994-08","1994","08","24.6","","15.7","","20.2","","30.1","","8.5","","145.9","","0.0","","145.9","","0","",,"",,""
"1994-09","1994","09","23.3","","13.1","","18.2","","29.5","","4.3","","62.0","","0.0","","62.0","","0","",,"",,""
"1994-10","1994","10","16.5","","7.8","","12.2","","23.3","S","1.4","","32.8","","0.0","","32.8","","0","",,"",,""
"1994-11","1994","11","10.7","","3.6","","7.2","","16.6","S","-7.2","","52.8","","0.0","T","52.8","","0","",,"",,""
