"Station Name","HAUT SHIPPAGAN"
"Province","NEW BRUNSWICK"
"Latitude","47.75"
"Longitude","-64.77"
"Elevation","6.00"
"Climate Identifier","8102206"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1986-01","1986","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-05","1986","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-06","1986","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-07","1986","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-08","1986","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-09","1986","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-10","1986","10","9.9","","2.9","","6.4","","16.0","S","-5.5","","62.3","","0.0","T","62.3","","0","",,"",,""
"1986-11","1986","11","1.9","","-4.5","","-1.3","","10.5","","-11.5","S","39.2","","61.5","","100.7","","29","",,"",,""
"1986-12","1986","12","-2.3","","-9.5","","-5.9","","5.5","S","-19.5","","41.4","","23.6","","65.0","","35","",,"",,""
"1987-01","1987","01","-5.5","","-14.7","","-10.1","","3.0","","-26.5","","0.0","T","64.9","","64.9","","79","",,"",,""
"1987-02","1987","02","-4.9","","-13.3","","-9.1","","4.0","","-25.0","","0.0","","69.4","","69.4","","105","",,"",,""
"1987-03","1987","03","0.6","","-7.8","","-3.6","","9.5","","-20.5","","10.0","","34.2","","44.2","","60","",,"",,""
"1987-04","1987","04","7.8","","-0.6","","3.6","","27.0","","-7.0","","58.2","","31.0","","89.2","","0","T",,"",,""
"1987-05","1987","05","15.1","","4.2","","9.7","","25.5","","-3.5","","52.4","","0.0","","52.4","","0","",,"",,""
"1987-06","1987","06","19.0","","9.7","","14.4","","25.0","S","4.0","","94.3","","0.0","","94.3","","0","",,"",,""
"1987-07","1987","07","23.8","","14.5","","19.2","","31.5","","9.0","S","76.6","","0.0","","76.6","","0","",,"",,""
"1987-08","1987","08","22.0","","12.0","","17.0","","28.5","","6.0","","67.7","","0.0","","67.7","","0","",,"",,""
"1987-09","1987","09","17.0","","9.5","","13.3","","27.0","S","0.5","","53.8","","0.0","","53.8","","0","",,"",,""
"1987-10","1987","10","11.8","","3.5","","7.7","","16.0","S","-3.0","","99.7","","0.0","T","99.7","","0","",,"",,""
"1987-11","1987","11","3.5","","-3.0","","0.3","","17.0","","-7.5","S","49.3","","9.2","","58.5","","0","T",,"",,""
"1987-12","1987","12","-1.9","","-7.7","","-4.8","","6.5","","-17.5","S","40.1","","96.4","","136.5","","40","",,"",,""
"1988-01","1988","01","-5.0","","-14.2","","-9.6","","3.5","","-24.0","S","25.7","","85.8","","111.5","","71","",,"",,""
"1988-02","1988","02","-4.1","","-16.5","","-10.3","","4.5","S","-30.0","","10.1","","96.6","","106.7","","102","",,"",,""
"1988-03","1988","03","1.2","","-8.0","","-3.4","","7.5","S","-17.5","","6.9","","23.4","","30.3","","70","",,"",,""
"1988-04","1988","04","4.6","","-1.1","","1.8","","9.5","","-7.0","S","39.1","","59.3","","98.4","","4","",,"",,""
"1988-05","1988","05","14.9","","5.2","","10.1","","24.0","","0.0","","69.0","","0.0","","69.0","","0","",,"",,""
"1988-06","1988","06","17.5","","8.9","","13.2","","31.0","","3.5","","90.9","","0.0","","90.9","","0","",,"",,""
"1988-07","1988","07","23.2","","14.5","","18.9","","32.5","","8.5","","51.0","","0.0","","51.0","","0","",,"",,""
"1988-08","1988","08","22.6","","14.5","","18.6","","29.5","","6.5","","184.6","","0.0","","184.6","","0","",,"",,""
"1988-09","1988","09","16.3","","8.8","","12.6","","24.0","","3.5","","53.7","","0.0","","53.7","","0","",,"",,""
"1988-10","1988","10","9.9","","2.8","","6.4","","24.0","","-3.5","","150.8","","3.8","","154.6","","0","",,"",,""
"1988-11","1988","11","5.0","","0.1","","2.6","","11.0","","-7.0","","99.8","","31.6","","131.4","","8","",,"",,""
"1988-12","1988","12","-3.4","","-11.8","","-7.6","","5.0","","-22.0","","2.6","","119.5","","122.1","","52","",,"",,""
"1989-01","1989","01","-3.9","","-14.3","","-9.1","","4.0","S","-23.5","","11.2","","98.6","","109.8","","73","",,"",,""
"1989-02","1989","02","-6.1","","-15.9","","-11.0","","7.0","","-26.0","","9.1","","68.3","","77.4","","90","",,"",,""
"1989-03","1989","03","-0.9","","-10.9","","-5.9","","11.5","","-23.5","","17.0","","34.6","","51.6","","63","",,"",,""
"1989-04","1989","04","5.9","","-1.5","","2.2","","13.5","","-7.0","","40.1","","31.8","","71.9","","0","T",,"",,""
"1989-05","1989","05","15.0","","5.9","","10.5","","25.0","","0.5","","86.5","","0.0","","86.5","","0","",,"",,""
"1989-06","1989","06","19.0","","10.7","","14.9","","26.5","","3.5","","60.7","","0.0","","60.7","","0","",,"",,""
"1989-07","1989","07","23.6","","13.4","","18.5","","31.0","S","7.5","","119.6","","0.0","","119.6","","0","",,"",,""
"1989-08","1989","08","22.6","","13.8","","18.2","","29.0","","4.0","","150.4","","0.0","","150.4","","0","",,"",,""
"1989-09","1989","09","18.2","","9.7","","14.0","","28.0","","0.0","","56.5","","0.2","","56.7","","0","",,"",,""
"1989-10","1989","10","11.5","","2.4","","7.0","","21.0","","-4.0","","38.8","","0.6","","39.4","","0","",,"",,""
"1989-11","1989","11","3.4","","-3.1","","0.2","","17.0","","-15.0","","73.9","","47.5","","121.4","","22","",,"",,""
"1989-12","1989","12","-8.0","","-14.3","","-11.2","","-0.5","","-25.0","","3.6","","118.2","","121.8","","54","",,"",,""
"1990-01","1990","01","-3.8","","-13.2","","-8.5","","7.0","","-23.0","","40.9","","117.9","","158.8","","104","",,"",,""
"1990-02","1990","02","-6.2","","-16.5","","-11.4","","10.0","","-28.0","","0.4","","72.8","","73.2","","108","",,"",,""
"1990-03","1990","03","0.0","","-10.0","","-5.0","","7.5","","-22.5","","9.6","","20.6","","30.2","","80","",,"",,""
"1990-04","1990","04","5.5","","-1.6","","2.0","","14.5","","-7.5","","58.6","","18.4","","77.0","","0","T",,"",,""
"1990-05","1990","05","11.1","","2.6","","6.9","","20.0","","-2.5","","98.2","","13.0","","111.2","","0","",,"",,""
"1990-06","1990","06","20.2","","10.4","","15.3","","28.5","S","3.0","","38.2","","0.0","","38.2","","0","",,"",,""
"1990-07","1990","07","23.6","","14.0","","18.8","","30.5","","7.0","","158.2","","0.0","","158.2","","0","",,"",,""
"1990-08","1990","08","24.4","","15.4","","19.9","","28.5","S","9.0","","188.5","","0.0","","188.5","","0","",,"",,""
"1990-09","1990","09","17.3","","9.5","","13.4","","24.0","","3.5","S","51.2","","0.0","","51.2","","0","",,"",,""
"1990-10","1990","10","11.9","","5.0","","8.5","","21.0","S","-4.0","","173.9","","0.0","T","173.9","","0","",,"",,""
"1990-11","1990","11","3.1","","-1.2","","1.0","","8.0","","-5.5","","77.0","","69.0","","146.0","","0","T",,"",,""
"1990-12","1990","12","-0.9","","-8.8","","-4.9","","8.0","","-22.5","","56.9","","106.2","","163.1","","60","",,"",,""
"1991-01","1991","01","-8.7","","-18.5","","-13.6","","2.5","","-27.0","S","14.0","","129.2","","143.2","","92","",,"",,""
"1991-02","1991","02","-3.5","","-16.4","","-10.0","","6.0","","-26.5","","1.4","","41.0","","42.4","","102","",,"",,""
"1991-03","1991","03","1.8","","-7.2","","-2.7","","10.5","","-19.5","","50.0","","82.2","","132.2","","89","",,"",,""
"1991-04","1991","04","6.1","","-3.4","","1.3","","16.5","","-12.0","","62.3","","16.6","","78.9","","0","T",,"",,""
"1991-05","1991","05","14.6","","4.3","","9.5","","22.5","S","-1.0","S","72.5","","0.0","","72.5","","0","",,"",,""
"1991-06","1991","06","20.9","","10.4","","15.7","","31.0","","5.0","S","67.8","","0.0","","67.8","","0","",,"",,""
"1991-07","1991","07","23.7","","13.5","","18.6","","33.0","","7.0","S","19.8","","0.0","","19.8","","0","",,"",,""
"1991-08","1991","08","23.4","","14.2","","18.8","","31.5","","7.5","","156.9","","0.0","","156.9","","0","",,"",,""
"1991-09","1991","09","17.0","","8.4","","12.8","","27.0","","2.5","","151.5","","0.0","T","151.5","","0","",,"",,""
"1991-10","1991","10","12.0","","5.2","","8.6","","20.0","","-2.0","","135.2","","0.0","T","135.2","","0","",,"",,""
"1991-11","1991","11","5.4","","-0.2","","2.6","","14.0","","-7.5","","61.5","","19.4","","80.9","","0","T",,"",,""
"1991-12","1991","12","-3.3","","-11.3","","-7.3","","6.5","","-20.5","","8.8","","87.2","","96.0","","35","",,"",,""
"1992-01","1992","01","-6.7","","-14.0","","-10.4","","6.5","","-22.5","","94.6","","34.2","","128.8","","23","",,"",,""
"1992-02","1992","02","-6.5","","-15.1","","-10.8","","-0.5","S","-24.0","","0.4","","124.8","","125.2","","94","",,"",,""
"1992-03","1992","03","-1.8","","-11.4","","-6.6","","5.5","","-23.5","","28.3","","16.2","","44.5","","55","",,"",,""
"1992-04","1992","04","5.1","","-3.4","","0.9","","17.0","","-11.5","","32.6","","29.2","","61.8","","0","T",,"",,""
"1992-05","1992","05","14.3","","3.8","","9.1","","26.0","","-3.5","","14.7","","8.8","","23.5","","0","",,"",,""
"1992-06","1992","06","18.0","","9.9","","13.9","","26.5","","1.0","","91.7","","0.0","","91.7","","0","",,"",,""
"1992-07","1992","07","20.2","","11.8","","16.0","","29.0","","6.5","","93.1","","0.0","","93.1","","0","",,"",,""
"1992-08","1992","08","22.3","","13.4","","17.9","","28.0","","9.0","","105.3","","0.0","","105.3","","0","",,"",,""
"1992-09","1992","09","19.0","","9.9","","14.5","","25.0","","3.0","","45.4","","0.0","","45.4","","0","",,"",,""
"1992-10","1992","10","10.4","","3.5","","7.0","","17.0","S","-3.5","","107.7","","3.4","","111.1","","0","",,"",,""
"1992-11","1992","11","2.5","","-4.0","","-0.7","","11.0","","-11.0","","37.9","","17.6","","55.5","","0","T",,"",,""
"1992-12","1992","12","-1.9","","-8.2","","-5.0","","8.5","","-18.5","","12.6","","74.8","","87.4","","27","",,"",,""
"1993-01","1993","01","-7.2","","-15.8","","-11.5","","4.5","S","-27.0","","56.0","","47.4","","103.4","","40","",,"",,""
"1993-02","1993","02","-8.8","","-18.6","","-13.7","","3.0","","-27.5","","27.8","","67.4","","95.2","","79","",,"",,""
"1993-03","1993","03","0.0","","-10.3","","-5.2","","15.0","","-23.0","","0.0","T","59.8","","59.8","","63","",,"",,""
"1993-04","1993","04","5.6","","-2.3","","1.7","","14.0","","-10.5","","29.1","","8.0","","37.1","","0","T",,"",,""
"1993-05","1993","05","12.2","","3.6","","7.9","","21.5","","-2.5","","92.7","","0.2","","92.9","","0","",,"",,""
