"Station Name","HAY RIVER CLIMATE"
"Province","NORTHWEST TERRITORIES"
"Latitude","60.84"
"Longitude","-115.78"
"Elevation","164.00"
"Climate Identifier","2202402"
"WMO Identifier","71361"
"TC Identifier","ZHY"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-08","2003","08","20.0","I","9.8","I","14.9","I","30.7","I","2.2","I","36.2","I","0.0","I","36.2","I","","",,"",,""
"2003-09","2003","09","13.2","","3.5","","8.4","","24.1","","-3.3","","20.6","","0.0","","20.6","","0","",,"",,""
"2003-10","2003","10","6.8","","-0.9","","3.0","","25.2","","-13.4","","36.3","","18.1","E","53.7","","8","",,"",,""
"2003-11","2003","11","-7.3","","-15.8","","-11.6","","5.1","","-26.0","","0.0","","22.3","E","11.7","","10","",,"",,""
"2003-12","2003","12","-11.1","","-19.1","","-15.1","","4.0","","-29.9","","0.0","","17.0","E","14.8","","17","",,"",,""
"2004-01","2004","01","-21.7","","-29.0","","-25.4","","-8.2","","-41.3","","0.0","","31.1","E","23.7","","27","",,"",,""
"2004-02","2004","02","-13.8","E","-23.9","","-18.8","E","-0.6","","-34.1","","0.0","","17.8","E","18.2","E","42","",,"",,""
"2004-03","2004","03","-9.1","","-21.3","","-15.2","","14.7","","-37.7","","0.0","","14.0","","14.3","","28","",,"",,""
"2004-04","2004","04","1.2","","-8.6","","-3.7","","11.5","","-16.5","S","10.7","","3.6","","14.3","","1","",,"",,""
"2004-05","2004","05","5.8","","-4.6","","0.6","","22.2","","-11.8","","7.0","","3.2","","10.2","","1","",,"",,""
"2004-06","2004","06","17.0","","4.5","","10.8","","28.1","","-2.1","","8.0","","0.0","","8.0","","0","",,"",,""
"2004-07","2004","07","21.9","","10.7","","16.3","","30.8","","4.3","","10.4","","0.0","","10.4","","0","",,"",,""
"2004-08","2004","08","17.6","","7.1","","12.4","","29.6","","0.0","","13.0","","0.0","","13.0","","0","",,"",,""
"2004-09","2004","09","12.0","","1.4","","6.7","","20.8","","-4.5","","42.4","","0.0","","42.4","","0","",,"",,""
"2004-10","2004","10","1.7","","-5.8","","-2.0","","11.8","","-17.5","","10.7","","10.4","","17.1","","3","",,"",,""
"2004-11","2004","11","-6.4","","-14.4","","-10.5","","6.2","","-26.4","","0.0","","17.1","","11.3","","5","",,"",,""
"2004-12","2004","12","-17.7","","-26.4","","-22.1","","-4.7","","-37.2","","0.0","","26.1","","23.4","","6","",,"",,""
"2005-01","2005","01","-17.9","","-27.1","","-22.5","","-7.5","","-38.0","","0.0","","38.2","","30.6","","27","",,"",,""
"2005-02","2005","02","-13.6","","-24.2","","-18.9","","-1.3","","-39.8","S","0.0","","37.3","","24.2","","24","",,"",,""
"2005-03","2005","03","-6.5","","-18.6","","-12.6","","7.6","","-32.8","","0.0","","20.9","","16.5","","25","",,"",,""
"2005-04","2005","04","4.7","","-5.0","","-0.1","","20.9","","-17.6","","1.8","","10.5","","12.2","","0","",,"",,""
"2005-05","2005","05","10.1","","-0.5","","4.8","","30.8","","-11.8","","8.1","","0.0","","8.1","","0","",,"",,""
"2005-06","2005","06","16.0","","5.7","","10.9","","28.8","","0.3","","35.9","","0.0","","35.9","","0","",,"",,""
"2005-07","2005","07","20.0","","10.8","","15.4","","28.0","","5.9","","84.6","","0.0","","84.6","","0","",,"",,""
"2005-08","2005","08","18.3","","8.7","","13.5","","30.3","","2.1","","66.0","","0.0","","66.0","","0","",,"",,""
"2005-09","2005","09","11.3","","3.8","","7.5","","22.3","","-2.1","","21.2","","0.7","","21.9","","0","",,"",,""
"2005-10","2005","10","6.2","","-1.4","","2.4","","17.3","","-7.1","","22.7","","4.5","","27.2","","0","",,"",,""
"2005-11","2005","11","-4.4","","-10.8","","-7.6","","11.7","","-26.2","","0.8","","26.0","","26.6","","5","",,"",,""
"2005-12","2005","12","-7.2","","-12.7","","-10.0","","2.0","","-23.3","","0.0","","16.4","","16.2","","9","",,"",,""
"2006-01","2006","01","-15.5","","-23.6","","-19.6","","-3.8","","-36.9","","0.0","","27.3","","22.3","","14","",,"",,""
"2006-02","2006","02","-9.5","","-20.9","","-15.2","","3.0","","-34.6","","8.2","","11.8","","18.1","","17","",,"",,""
"2006-03","2006","03","-6.1","","-16.1","","-11.1","","5.9","","-27.5","","6.0","","13.5","","18.1","","21","",,"",,""
"2006-04","2006","04","7.3","","-4.4","","1.5","","22.3","","-25.4","","9.8","","12.9","","22.7","","","M",,"",,""
"2006-05","2006","05","12.4","","3.0","","7.8","","19.2","","-2.3","","16.6","","0.0","","16.6","","","",,"",,""
"2006-06","2006","06","20.5","","10.2","","15.4","","31.0","","2.1","","55.0","","1.8","","57.0","","0","",,"",,""
"2006-07","2006","07","20.5","","10.6","","15.6","","31.2","","6.1","","29.2","","0.0","","29.2","","0","",,"",,""
"2006-08","2006","08","20.3","","9.6","","15.0","","27.0","","5.2","","23.0","","0.0","","23.0","","0","",,"",,""
"2006-09","2006","09","15.7","","6.4","","11.1","","26.8","","-0.2","","78.8","","0.0","","78.8","","0","",,"",,""
"2006-10","2006","10","4.4","","-2.5","","1.0","","12.9","","-7.8","","2.0","","2.4","","4.4","","0","T",,"",,""
"2006-11","2006","11","-13.0","","-20.5","","-16.7","","-3.4","","-33.9","","0.0","","80.3","","53.4","","14","",,"",,""
"2006-12","2006","12","-6.9","","-16.8","","-11.9","","5.5","","-33.5","","1.0","","13.3","","9.6","E","17","",,"",,""
"2007-01","2007","01","-13.2","","-22.3","","-17.8","","1.9","","-36.9","","0.0","","7.7","","7.7","","19","",,"",,""
"2007-02","2007","02","-18.8","","-28.4","","-23.6","","-7.5","","-37.1","","0.0","","15.5","","15.3","","30","",,"",,""
"2007-03","2007","03","-11.9","","-23.0","","-17.4","","7.2","","-36.7","","2.6","","18.3","","20.9","","36","",,"",,""
"2007-04","2007","04","4.4","","-5.9","","-0.8","","18.1","","-27.8","","4.0","","6.8","","10.8","","","M",,"",,""
"2007-05","2007","05","11.2","","0.7","","6.0","","25.6","","-5.2","","39.5","","2.1","","41.6","","","",,"",,""
"2007-06","2007","06","18.2","","7.0","","12.6","","26.6","S","0.8","","6.0","","0.0","","6.0","","0","",,"",,""
"2007-07","2007","07","22.4","","13.0","","17.7","","29.3","S","6.4","","57.0","","0.0","","57.0","","0","",,"",,""
"2007-08","2007","08","16.5","","7.0","","11.8","","25.5","","-0.8","","17.6","","0.0","","17.6","","0","",,"",,""
"2007-09","2007","09","9.2","","2.1","","5.7","","18.9","","-2.6","","66.8","E","21.0","E","87.8","E","","M",,"",,""
"2007-10","2007","10","","","","","","","","","","","","","","","","","","",,"",,""
"2007-11","2007","11","-6.9","","-13.8","","-10.4","","2.7","","-28.5","","2.6","I","15.7","I","17.5","I","12","",,"",,""
