"Station Name","HIGHLAND VALLEY LORNEX"
"Province","BRITISH COLUMBIA"
"Latitude","50.47"
"Longitude","-121.02"
"Elevation","1268.00"
"Climate Identifier","1123469"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01","1967","01","-2.6","","-9.3","","-6.0","","1.1","S","-20.6","","0.0","","66.8","","66.8","","71","",,"",,""
"1967-02","1967","02","0.3","","-7.7","","-3.7","","5.6","S","-16.1","","0.0","","37.1","","37.1","","69","",,"",,""
"1967-03","1967","03","-1.0","","-11.2","","-6.1","","8.9","","-22.8","","0.0","","62.7","","62.7","","86","",,"",,""
"1967-04","1967","04","3.8","","-7.1","","-1.7","","12.8","","-15.0","","0.0","T","28.2","","28.2","","84","",,"",,""
"1967-05","1967","05","10.2","","-0.8","","4.7","","16.7","","-4.4","","26.2","","11.2","","37.3","","0","",,"",,""
"1967-06","1967","06","18.3","","4.1","","11.2","","24.4","","-0.6","S","88.4","","0.0","","88.4","","0","",,"",,""
"1967-07","1967","07","19.9","","","M","","M","28.9","","","M","13.7","","0.0","","13.7","","0","",,"",,""
"1967-08","1967","08","23.7","","6.1","","14.9","","29.4","","-1.1","","23.9","","0.0","","23.9","","0","",,"",,""
"1967-09","1967","09","18.3","","3.3","","10.8","","27.8","","-3.3","","19.8","","0.0","","19.8","","0","",,"",,""
"1967-10","1967","10","4.6","","-2.1","","1.3","","11.7","","-9.4","","50.0","","64.8","","114.8","","","M",,"",,""
"1967-11","1967","11","0.5","","-7.4","","-3.5","","5.6","S","-21.1","","5.3","","19.1","","24.4","","","M",,"",,""
"1967-12","1967","12","-3.1","E","-11.0","E","-7.1","E","2.2","","-28.9","S","0.0","","68.6","E","68.6","E","","M",,"",,""
"1968-01","1968","01","-3.6","","-12.8","","-8.2","","8.3","","-31.7","","0.0","","92.7","","92.7","","","M",,"",,""
"1968-02","1968","02","4.9","","-9.9","","-2.5","","12.2","","-19.4","","0.0","","22.9","","22.9","","0","",,"",,""
"1968-03","1968","03","2.8","","-5.9","","-1.6","","10.0","","-13.3","","21.1","","22.6","","43.7","","","M",,"",,""
"1968-04","1968","04","3.7","","-5.5","","-0.9","","12.8","","-16.7","","1.0","","27.7","","28.7","","0","",,"",,""
"1968-05","1968","05","10.6","","-1.4","","4.6","","20.6","","-5.6","","38.9","","18.8","","57.7","","0","",,"",,""
"1968-06","1968","06","12.4","","1.6","","7.0","","21.1","","-2.8","","31.0","","0.0","","31.0","","0","",,"",,""
"1968-07","1968","07","20.0","","5.3","","12.7","","27.8","","0.6","S","24.9","","0.0","","24.9","","0","",,"",,""
"1968-08","1968","08","16.3","","3.8","","10.1","","25.6","","-1.1","","38.9","","0.0","","38.9","","0","",,"",,""
"1968-09","1968","09","13.9","","2.4","","8.2","","22.2","","-2.8","S","24.6","","1.3","","25.9","","0","",,"",,""
