"Station Name","HILBRE"
"Province","MANITOBA"
"Latitude","51.50"
"Longitude","-98.60"
"Elevation","251.50"
"Climate Identifier","5041B9B"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1982-04","1982","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1982-05","1982","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","","","","","","","","","","","39.6","","0.0","","39.6","","0","",,"",,""
"1982-07","1982","07","","","","","","","","","","","76.7","E","0.0","","76.7","E","0","",,"",,""
"1982-08","1982","08","","","","","","","","","","","55.2","E","0.0","","55.2","E","0","",,"",,""
"1982-09","1982","09","","","","","","","","","","","29.2","","0.0","","29.2","","0","",,"",,""
"1982-10","1982","10","","","","","","","","","","","55.8","","1.6","","57.4","","","M",,"",,""
"1982-11","1982","11","","","","","","","","","","","0.0","T","19.0","","19.0","","","M",,"",,""
"1982-12","1982","12","","","","","","","","","","","0.0","T","17.3","E","17.3","E","","M",,"",,""
"1983-01","1983","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-02","1983","02","","","","","","","","","","","0.0","T","22.4","E","22.4","E","","M",,"",,""
"1983-03","1983","03","","","","","","","","","","","5.0","E","18.8","E","23.8","E","","M",,"",,""
"1983-04","1983","04","","","","","","","","","","","1.0","","0.0","T","1.0","","0","",,"",,""
"1983-05","1983","05","","","","","","","","","","","57.4","","0.0","","57.4","","0","",,"",,""
"1983-06","1983","06","","","","","","","","","","","129.9","","0.0","","129.9","","0","",,"",,""
"1983-07","1983","07","","","","","","","","","","","62.6","","0.0","","62.6","","0","",,"",,""
"1983-08","1983","08","","","","","","","","","","","42.8","E","0.0","","42.8","E","0","",,"",,""
"1983-09","1983","09","","","","","","","","","","","27.6","","0.0","","27.6","","0","",,"",,""
"1983-10","1983","10","","","","","","","","","","","34.3","","0.0","","34.3","","0","",,"",,""
"1983-11","1983","11","","","","","","","","","","","5.3","","30.9","","36.2","","","M",,"",,""
"1983-12","1983","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
