"Station Name","HODGEVILLE 2"
"Province","SASKATCHEWAN"
"Latitude","49.98"
"Longitude","-106.93"
"Elevation","723.90"
"Climate Identifier","4023263"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-07","1962","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-08","1962","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-09","1962","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-10","1962","10","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","1.8","","1.8","","3.6","","0","",,"",,""
"1962-12","1962","12","","","","","","","","","","","0.0","T","10.9","","10.9","","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","0.0","","15.2","","15.2","","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","0.0","","13.7","","13.7","","","M",,"",,""
"1963-03","1963","03","","","","","","","","","","","0.3","","8.9","","9.1","","0","",,"",,""
"1963-04","1963","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","","","","","","","","","","","26.2","","9.1","","35.3","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","135.9","","0.0","","135.9","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","44.7","","0.0","","44.7","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","26.2","","0.0","","26.2","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","13.7","","0.0","","13.7","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","9.7","","0.0","","9.7","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","0.0","T","1.3","","1.3","","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","0.0","","13.5","","13.5","","","M",,"",,""
"1964-01","1964","01","","","","","","","","","","","0.0","","16.5","","16.5","","","M",,"",,""
"1964-02","1964","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","","","","","","","","","","0.0","","5.1","","5.1","","","M",,"",,""
"1964-04","1964","04","","","","","","","","","","","0.0","T","6.4","","6.4","","0","",,"",,""
"1964-05","1964","05","","","","","","","","","","","37.1","","0.0","","37.1","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","40.9","","0.0","","40.9","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","52.8","","0.0","","52.8","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","29.2","","0.0","","29.2","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","24.6","","0.0","","24.6","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","0.0","","0.0","","0.0","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","0.0","","11.7","","11.7","","","M",,"",,""
"1964-12","1964","12","","","","","","","","","","","0.0","","","M","","M","","M",,"",,""
"1965-01","1965","01","","","","","","","","","","","0.0","T","21.6","E","21.6","E","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","0.0","","21.6","","21.6","","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","0.0","","16.5","","16.5","","","M",,"",,""
"1965-04","1965","04","","","","","","","","","","","7.1","","0.0","T","7.1","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","59.4","","0.0","","59.4","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","57.7","","0.0","","57.7","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","49.0","","0.0","","49.0","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","118.9","","0.0","","118.9","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","44.5","","25.9","","70.4","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1965-12","1965","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-01","1966","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1966-06","1966","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","20.8","","0.0","","20.8","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","90.2","","0.0","","90.2","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","0.0","T","0.0","","0.0","T","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","9.9","","0.0","","9.9","","0","",,"",,""
"1966-11","1966","11","","","","","","","","","","","0.0","","17.8","","17.8","","","M",,"",,""
"1966-12","1966","12","","","","","","","","","","","0.0","","3.8","","3.8","","","M",,"",,""
"1967-01","1967","01","","","","","","","","","","","0.0","T","38.1","","38.1","","","M",,"",,""
"1967-02","1967","02","","","","","","","","","","","0.0","","24.1","","24.1","","","M",,"",,""
"1967-03","1967","03","","","","","","","","","","","0.0","T","46.5","","46.5","","","M",,"",,""
"1967-04","1967","04","","","","","","","","","","","19.3","","17.8","","37.1","","","M",,"",,""
"1967-05","1967","05","","","","","","","","","","","9.4","","0.0","T","9.4","","0","",,"",,""
