"Station Name","HOLBERG PUMP HOUSE"
"Province","BRITISH COLUMBIA"
"Latitude","50.65"
"Longitude","-128.00"
"Elevation","41.80"
"Climate Identifier","1033485"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-02","1958","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-03","1958","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-04","1958","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1958-05","1958","05","19.8","","9.0","","14.4","","33.3","","2.8","","73.2","","0.0","","73.2","","","",,"",,""
"1958-06","1958","06","23.4","","11.7","","17.6","","33.9","S","6.7","","42.7","","0.0","","42.7","","","",,"",,""
"1958-07","1958","07","25.1","","12.9","","19.0","","32.2","","7.8","S","7.6","","0.0","","7.6","","","",,"",,""
"1958-08","1958","08","21.9","","12.2","","17.1","","28.9","","6.7","","241.6","","0.0","","241.6","","","",,"",,""
"1958-09","1958","09","15.6","","10.4","","13.0","","22.2","","5.0","S","353.3","","0.0","","353.3","","","",,"",,""
"1958-10","1958","10","15.6","","10.7","","13.2","","21.7","","3.3","","415.5","","0.0","","415.5","","","",,"",,""
"1958-11","1958","11","7.2","","1.4","","4.3","","17.8","","-4.4","","447.8","","2.5","","450.3","","","",,"",,""
"1958-12","1958","12","7.8","","3.7","","5.8","","12.8","","-2.2","","759.7","","19.3","","779.0","","","",,"",,""
"1959-01","1959","01","4.0","","0.3","","2.2","","8.3","S","-8.3","","500.9","","8.9","","509.8","","","M",,"",,""
"1959-02","1959","02","5.2","","0.6","","2.9","","10.0","","-5.6","","369.3","","1.3","","370.6","","","M",,"",,""
"1959-03","1959","03","6.6","","1.9","","4.3","","9.4","","-1.7","S","584.5","","9.7","","594.1","","","M",,"",,""
"1959-04","1959","04","11.1","","3.2","","7.2","","20.6","","-1.1","","348.0","","0.0","","348.0","","","M",,"",,""
"1959-05","1959","05","13.1","","5.0","","9.1","","22.8","","0.0","","230.4","","0.0","","230.4","","","M",,"",,""
"1959-06","1959","06","16.1","","8.3","","12.2","","24.4","","3.9","S","281.4","","0.0","","281.4","","","M",,"",,""
"1959-07","1959","07","19.4","","10.3","","14.9","","26.1","S","5.0","","100.8","","0.0","","100.8","","","M",,"",,""
