"Station Name","HOPE (AUT)"
"Province","BRITISH COLUMBIA"
"Latitude","49.37"
"Longitude","-121.50"
"Elevation","39.00"
"Climate Identifier","1113541"
"WMO Identifier","71114"
"TC Identifier","ZHE"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-02","2005","02","9.7","E","0.8","","5.3","E","16.8","E","-2.2","","","","","","25.0","I","","",,"",,""
"2005-03","2005","03","12.8","E","3.8","E","8.3","E","19.3","E","0.6","","","","","","153.0","E","","",,"",,""
"2005-04","2005","04","16.6","","5.4","E","11.0","E","28.0","","-0.4","","","","","","117.5","","","",,"",,""
"2005-05","2005","05","","","","","","","","","","","","","","","","","","",,"",,""
"2005-06","2005","06","19.6","","12.0","","15.8","","28.3","","8.0","S","","","","","66.0","","","",,"",,""
"2005-07","2005","07","24.0","","12.8","","18.4","","29.6","","10.1","","","","","","62.5","","","",,"",,""
"2005-08","2005","08","26.0","","13.3","","19.7","","31.0","","9.0","","","","","","26.5","","","",,"",,""
"2005-09","2005","09","19.9","","9.6","","14.8","","25.4","","5.2","","","","","","107.0","","","",,"",,""
"2005-10","2005","10","14.2","","8.1","","11.1","","19.7","","2.3","","","","","","227.0","","","",,"",,""
"2005-11","2005","11","","","","","","","","","","","","","","","","","","",,"",,""
"2005-12","2005","12","4.5","","0.6","","2.6","","11.1","","-4.0","","","","","","146.5","","","",,"",,""
"2006-01","2006","01","7.0","","2.9","","5.0","","10.2","","0.7","","","","","","416.0","","","",,"",,""
"2006-02","2006","02","6.7","","0.2","","3.5","","10.1","","-5.0","","","","","","147.5","","","",,"",,""
"2006-03","2006","03","11.2","","1.7","","6.5","","18.8","","-2.3","","","","","","51.5","","","",,"",,""
"2006-04","2006","04","15.2","","4.6","","9.9","","27.7","","0.6","","","","","","103.0","E","","",,"",,""
"2006-05","2006","05","19.6","","8.1","","13.9","","32.9","","1.9","","","","","","59.5","E","","",,"",,""
"2006-06","2006","06","22.3","","12.2","","17.3","","32.3","","7.4","","","","","","121.0","","","",,"",,""
"2006-07","2006","07","25.4","E","13.7","","19.5","E","37.0","E","9.0","","","","","","8.5","","","",,"",,""
"2006-08","2006","08","25.3","","12.4","","18.9","","30.7","","10.1","S","","","","","9.5","","","",,"",,""
"2006-09","2006","09","22.9","","10.6","","16.8","","32.5","","6.7","","","","","","38.5","E","","",,"",,""
"2006-10","2006","10","15.7","E","6.8","","11.2","E","23.3","E","-1.5","","","","","","82.5","E","","",,"",,""
"2006-11","2006","11","5.7","","1.0","","3.4","","17.3","","-14.3","","","","","","424.5","I","","",,"",,""
"2006-12","2006","12","4.5","","0.3","","2.4","","10.5","","-4.5","","","","","","273.5","E","","",,"",,""
"2007-01","2007","01","4.5","","-0.8","","1.8","","14.1","","-11.1","","","","","","190.5","I","","",,"",,""
"2007-02","2007","02","7.7","","1.9","","4.8","","13.8","","-2.8","","","","","","170.0","","","",,"",,""
