"Station Name","HORNBY TRAFALGAR TS"
"Province","ONTARIO"
"Latitude","43.53"
"Longitude","-79.73"
"Elevation","182.90"
"Climate Identifier","6153552"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1982-02","1982","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1982-03","1982","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1982-04","1982","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1982-05","1982","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1982-06","1982","06","","","","","","","","","","","155.5","","0.0","","155.5","","","",,"",,""
"1982-07","1982","07","","","","","","","","","","","36.3","","0.0","","36.3","","","",,"",,""
"1982-08","1982","08","","","","","","","","","","","124.8","","0.0","","124.8","","","",,"",,""
"1982-09","1982","09","","","","","","","","","","","143.6","","0.0","","143.6","","","",,"",,""
"1982-10","1982","10","","","","","","","","","","","35.9","","0.0","","35.9","","","",,"",,""
"1982-11","1982","11","","","","","","","","","","","89.9","","2.0","","91.9","","","",,"",,""
"1982-12","1982","12","","","","","","","","","","","61.0","","26.5","","87.5","","","",,"",,""
"1983-01","1983","01","","","","","","","","","","","15.8","","8.0","","23.8","","","M",,"",,""
"1983-02","1983","02","","","","","","","","","","","38.8","","9.0","","47.8","","","M",,"",,""
"1983-03","1983","03","","","","","","","","","","","50.0","","18.8","","68.8","","","M",,"",,""
"1983-04","1983","04","","","","","","","","","","","96.6","","0.0","T","96.6","","0","",,"",,""
"1983-05","1983","05","","","","","","","","","","","116.2","","0.0","","116.2","","0","",,"",,""
"1983-06","1983","06","","","","","","","","","","","48.3","","0.0","","48.3","","0","",,"",,""
"1983-07","1983","07","","","","","","","","","","","26.1","","0.0","","26.1","","0","",,"",,""
"1983-08","1983","08","","","","","","","","","","","114.1","","0.0","","114.1","","0","",,"",,""
"1983-09","1983","09","","","","","","","","","","","62.9","","0.0","","62.9","","0","",,"",,""
"1983-10","1983","10","","","","","","","","","","","63.8","","0.0","","63.8","","0","",,"",,""
"1983-11","1983","11","","","","","","","","","","","83.6","","6.5","","90.1","","","M",,"",,""
"1983-12","1983","12","","","","","","","","","","","51.3","","20.8","","72.1","","","M",,"",,""
"1984-01","1984","01","","","","","","","","","","","4.0","","35.2","","39.2","","","M",,"",,""
"1984-02","1984","02","","","","","","","","","","","58.4","","33.4","","91.8","","","M",,"",,""
"1984-03","1984","03","","","","","","","","","","","42.5","","21.6","","64.1","","","M",,"",,""
"1984-04","1984","04","","","","","","","","","","","69.2","","0.0","","69.2","","0","",,"",,""
"1984-05","1984","05","","","","","","","","","","","113.8","","0.0","","113.8","","0","",,"",,""
"1984-06","1984","06","","","","","","","","","","","83.2","","0.0","","83.2","","0","",,"",,""
"1984-07","1984","07","","","","","","","","","","","89.2","","0.0","","89.2","","0","",,"",,""
"1984-08","1984","08","","","","","","","","","","","45.4","","0.0","","45.4","","0","",,"",,""
"1984-09","1984","09","","","","","","","","","","","70.7","","0.0","","70.7","","","M",,"",,""
"1984-10","1984","10","","","","","","","","","","","19.7","","0.0","","19.7","","0","",,"",,""
"1984-11","1984","11","","","","","","","","","","","58.5","","0.0","T","58.5","","0","",,"",,""
"1984-12","1984","12","","","","","","","","","","","39.1","","14.5","","53.6","","","M",,"",,""
"1985-01","1985","01","","","","","","","","","","","19.3","","34.4","","53.7","","","M",,"",,""
"1985-02","1985","02","","","","","","","","","","","24.2","","31.7","","55.9","","","M",,"",,""
"1985-03","1985","03","","","","","","","","","","","54.5","","13.2","","67.7","","0","",,"",,""
"1985-04","1985","04","","","","","","","","","","","23.1","","5.5","","28.6","","0","",,"",,""
"1985-05","1985","05","","","","","","","","","","","55.9","","0.0","","55.9","","0","",,"",,""
"1985-06","1985","06","","","","","","","","","","","39.5","","0.0","","39.5","","0","",,"",,""
"1985-07","1985","07","","","","","","","","","","","55.8","","0.0","","55.8","","0","",,"",,""
"1985-08","1985","08","","","","","","","","","","","161.0","","0.0","","161.0","","0","",,"",,""
"1985-09","1985","09","","","","","","","","","","","65.6","","0.0","","65.6","","0","",,"",,""
"1985-10","1985","10","","","","","","","","","","","62.9","","0.0","","62.9","","0","",,"",,""
"1985-11","1985","11","","","","","","","","","","","166.3","","6.6","","172.9","","","M",,"",,""
"1985-12","1985","12","","","","","","","","","","","21.4","","22.8","","44.2","","","M",,"",,""
"1986-01","1986","01","","","","","","","","","","","14.4","","10.4","","24.8","","","M",,"",,""
"1986-02","1986","02","","","","","","","","","","","15.2","","14.8","","30.0","","","M",,"",,""
"1986-03","1986","03","","","","","","","","","","","43.1","","12.8","","55.9","","0","",,"",,""
"1986-04","1986","04","","","","","","","","","","","58.3","","3.4","","61.7","","","M",,"",,""
"1986-05","1986","05","","","","","","","","","","","79.4","","0.0","","79.4","","0","",,"",,""
"1986-06","1986","06","","","","","","","","","","","72.2","","0.0","","72.2","","0","",,"",,""
"1986-07","1986","07","","","","","","","","","","","88.1","","0.0","","88.1","","0","",,"",,""
"1986-08","1986","08","","","","","","","","","","","95.0","","0.0","","95.0","","0","",,"",,""
"1986-09","1986","09","","","","","","","","","","","230.8","","0.0","","230.8","","0","",,"",,""
"1986-10","1986","10","","","","","","","","","","","62.9","","0.0","","62.9","","0","",,"",,""
"1986-11","1986","11","","","","","","","","","","","38.1","","13.8","","51.9","","","M",,"",,""
"1986-12","1986","12","","","","","","","","","","","89.2","","10.6","","99.8","","","M",,"",,""
"1987-01","1987","01","","","","","","","","","","","10.8","","49.8","","60.6","","","M",,"",,""
"1987-02","1987","02","","","","","","","","","","","12.1","","7.6","E","19.7","E","","M",,"",,""
"1987-03","1987","03","","","","","","","","","","","34.6","","7.6","","42.2","","","M",,"",,""
"1987-04","1987","04","","","","","","","","","","","53.7","","0.0","T","53.7","","0","",,"",,""
"1987-05","1987","05","","","","","","","","","","","23.3","","0.0","","23.3","","0","",,"",,""
"1987-06","1987","06","","","","","","","","","","","72.5","E","0.0","","72.5","E","0","",,"",,""
"1987-07","1987","07","","","","","","","","","","","139.4","","0.0","","139.4","","0","",,"",,""
"1987-08","1987","08","","","","","","","","","","","53.5","","0.0","","53.5","","0","",,"",,""
"1987-09","1987","09","","","","","","","","","","","76.6","E","0.0","","76.6","E","0","",,"",,""
"1987-10","1987","10","","","","","","","","","","","48.0","","0.0","","48.0","","0","",,"",,""
"1987-11","1987","11","","","","","","","","","","","71.2","","0.5","","71.7","","","M",,"",,""
"1987-12","1987","12","","","","","","","","","","","46.6","E","13.8","E","60.4","E","","M",,"",,""
"1988-01","1988","01","","","","","","","","","","","17.7","E","1.4","","19.1","E","0","",,"",,""
"1988-02","1988","02","","","","","","","","","","","14.5","","43.0","E","57.5","E","","M",,"",,""
"1988-03","1988","03","","","","","","","","","","","24.1","E","1.2","E","25.3","E","0","",,"",,""
"1988-04","1988","04","","","","","","","","","","","67.4","E","0.0","T","67.4","E","0","",,"",,""
"1988-05","1988","05","","","","","","","","","","","42.4","E","0.0","","42.4","E","0","",,"",,""
"1988-06","1988","06","","","","","","","","","","","26.1","E","0.0","","26.1","E","0","",,"",,""
"1988-07","1988","07","","","","","","","","","","","76.6","E","0.0","","76.6","E","0","",,"",,""
"1988-08","1988","08","","","","","","","","","","","75.4","E","0.0","","75.4","E","0","",,"",,""
"1988-09","1988","09","","","","","","","","","","","101.4","E","0.0","","101.4","E","0","",,"",,""
"1988-10","1988","10","","","","","","","","","","","86.3","","0.0","T","86.3","","0","",,"",,""
"1988-11","1988","11","","","","","","","","","","","80.2","","0.0","T","80.2","","0","",,"",,""
"1988-12","1988","12","","","","","","","","","","","25.8","E","12.6","","37.0","E","","M",,"",,""
"1989-01","1989","01","","","","","","","","","","","21.7","","8.0","","29.7","","0","",,"",,""
"1989-02","1989","02","","","","","","","","","","","8.5","","17.2","","25.7","","","M",,"",,""
"1989-03","1989","03","","","","","","","","","","","10.4","E","15.2","","25.6","E","0","",,"",,""
"1989-04","1989","04","","","","","","","","","","","55.8","E","0.0","T","55.8","E","0","",,"",,""
"1989-05","1989","05","","","","","","","","","","","84.0","","0.0","T","84.0","","0","",,"",,""
"1989-06","1989","06","","","","","","","","","","","86.2","","0.0","","86.2","","0","",,"",,""
"1989-07","1989","07","","","","","","","","","","","19.0","","0.0","","19.0","","0","",,"",,""
"1989-08","1989","08","","","","","","","","","","","59.8","","0.0","","59.8","","0","",,"",,""
"1989-09","1989","09","","","","","","","","","","","40.4","","0.0","","40.4","","0","",,"",,""
"1989-10","1989","10","","","","","","","","","","","73.3","","0.0","T","73.3","","0","",,"",,""
"1989-11","1989","11","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1989-12","1989","12","","","","","","","","","","","2.0","E","45.8","E","47.8","E","","M",,"",,""
"1990-01","1990","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","","","","","","","","","","","30.6","E","36.0","E","66.6","E","","M",,"",,""
"1990-03","1990","03","","","","","","","","","","","23.1","","2.0","","25.1","","","M",,"",,""
"1990-04","1990","04","","","","","","","","","","","52.7","","0.0","T","52.7","","0","",,"",,""
"1990-05","1990","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-06","1990","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1990-07","1990","07","","","","","","","","","","","74.1","E","0.0","","74.1","E","0","",,"",,""
"1990-08","1990","08","","","","","","","","","","","110.0","E","0.0","","110.0","E","0","",,"",,""
"1990-09","1990","09","","","","","","","","","","","43.0","","0.0","","43.0","","0","",,"",,""
