"Station Name","HUNTER RIVER"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.35"
"Longitude","-63.33"
"Elevation","61.00"
"Climate Identifier","8300439"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1971-01","1971","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-05","1971","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-06","1971","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-07","1971","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-08","1971","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-09","1971","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-10","1971","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-11","1971","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-12","1971","12","-1.8","","-9.3","","-5.6","","5.6","S","-21.1","","35.6","E","54.9","","90.4","E","20","",,"",,""
"1972-01","1972","01","-2.4","","-12.3","","-7.4","","9.4","","-23.3","S","41.9","E","50.8","E","92.7","E","5","",,"",,""
"1972-02","1972","02","-4.8","","-14.2","","-9.5","","7.2","S","-25.6","","25.7","E","35.6","","61.2","E","36","",,"",,""
"1972-03","1972","03","-1.4","","-10.1","","-5.8","","10.0","","-20.0","","17.8","","99.1","","116.8","","43","",,"",,""
"1972-04","1972","04","3.5","","-3.9","","-0.2","","13.3","","-10.0","S","7.1","","73.7","","80.8","","8","",,"",,""
"1972-05","1972","05","14.7","","2.8","","8.8","","28.9","","-6.7","","120.9","","0.0","","120.9","","","M",,"",,""
"1972-06","1972","06","20.5","","11.2","","15.9","","27.8","","0.6","","90.9","","0.0","","90.9","","0","",,"",,""
"1972-07","1972","07","22.6","","13.8","","18.2","","30.0","","8.3","","64.5","","0.0","","64.5","","0","",,"",,""
"1972-08","1972","08","21.8","","12.6","","17.2","","26.1","","7.2","","59.9","","0.0","","59.9","","0","",,"",,""
"1972-09","1972","09","18.1","","9.5","","13.8","","26.7","","1.1","","68.6","","0.0","","68.6","","0","",,"",,""
"1972-10","1972","10","10.3","","3.1","","6.7","","21.1","","-2.8","","163.6","","10.2","","173.7","","0","T",,"",,""
"1972-11","1972","11","3.3","","-2.2","","0.6","","14.4","","-12.2","","148.1","","21.6","","169.7","","","M",,"",,""
"1972-12","1972","12","-2.8","","-11.0","","-6.9","","12.8","","-17.8","","","M","","M","","M","64","",,"",,""
"1973-01","1973","01","-3.4","","-11.8","","-7.6","","8.9","","-22.8","","27.9","E","47.0","","74.9","E","15","",,"",,""
"1973-02","1973","02","-3.9","","-11.9","","-7.9","","10.0","","-23.9","S","27.9","","66.0","","94.0","","53","",,"",,""
"1973-03","1973","03","2.8","","-5.8","","-1.5","","12.2","","-21.1","","","M","21.6","","","M","0","T",,"",,""
"1973-04","1973","04","6.6","","-0.5","","3.1","","19.4","","-6.1","S","75.4","","15.2","","90.7","","","M",,"",,""
"1973-05","1973","05","12.7","","3.8","","8.3","","21.7","","-0.6","","59.9","","0.0","","59.9","","0","",,"",,""
"1973-06","1973","06","20.9","","12.0","","16.5","","27.2","S","2.8","","85.6","","0.0","","85.6","","0","",,"",,""
"1973-07","1973","07","24.4","","16.2","","20.3","","29.4","","8.3","","101.6","","0.0","","101.6","","0","",,"",,""
"1973-08","1973","08","22.6","","14.1","","18.4","","27.8","S","7.8","S","74.4","","0.0","","74.4","","0","",,"",,""
"1973-09","1973","09","17.0","","8.2","","12.6","","25.0","","1.1","","50.3","","0.0","","50.3","","0","",,"",,""
"1973-10","1973","10","10.7","","3.8","","7.3","","19.4","","-2.8","S","62.2","","0.0","","62.2","","","M",,"",,""
"1973-11","1973","11","3.9","","-1.9","","1.0","","13.9","","-7.8","","77.5","E","10.2","","87.6","E","0","T",,"",,""
"1973-12","1973","12","4.1","","-3.6","","0.3","","14.4","","-11.7","","120.1","","0.0","T","120.1","","0","T",,"",,""
"1974-01","1974","01","-4.4","","-13.4","","-8.9","","7.8","","-25.6","","0.0","","87.6","","87.6","","20","",,"",,""
"1974-02","1974","02","-4.0","","-12.4","","-8.2","","8.9","S","-21.7","","46.2","","54.6","","100.8","","18","",,"",,""
"1974-03","1974","03","0.7","","-6.9","","-3.1","","8.3","","-17.2","","87.9","","40.6","","128.5","","","M",,"",,""
