"Station Name","IDA"
"Province","ONTARIO"
"Latitude","44.25"
"Longitude","-78.43"
"Elevation","251.50"
"Climate Identifier","6153678"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1967-01","1967","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-03","1967","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-04","1967","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-05","1967","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-06","1967","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-07","1967","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-08","1967","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-09","1967","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-10","1967","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1967-11","1967","11","","","","","","","","","","","","M","","M","","M","3","",,"",,""
"1967-12","1967","12","","","","","","","","","","","46.7","","27.7","E","74.4","E","13","",,"",,""
"1968-01","1968","01","","","","","","","","","","","22.6","","55.9","","78.5","","28","",,"",,""
"1968-02","1968","02","","","","","","","","","","","16.3","","44.5","","60.7","","30","",,"",,""
"1968-03","1968","03","","","","","","","","","","","42.9","","27.9","","70.9","","0","",,"",,""
"1968-04","1968","04","","","","","","","","","","","22.6","","0.0","T","22.6","","0","",,"",,""
"1968-05","1968","05","","","","","","","","","","","93.5","","0.0","","93.5","","0","",,"",,""
"1968-06","1968","06","","","","","","","","","","","58.7","","0.0","","58.7","","0","",,"",,""
"1968-07","1968","07","","","","","","","","","","","49.5","E","0.0","","49.5","E","0","",,"",,""
"1968-08","1968","08","","","","","","","","","","","54.9","","0.0","","54.9","","0","",,"",,""
"1968-09","1968","09","","","","","","","","","","","65.0","","0.0","","65.0","","0","",,"",,""
"1968-10","1968","10","","","","","","","","","","","55.4","","0.0","T","55.4","","0","",,"",,""
"1968-11","1968","11","","","","","","","","","","","91.4","","22.9","","114.3","","8","",,"",,""
"1968-12","1968","12","","","","","","","","","","","5.6","","69.9","","75.4","","28","",,"",,""
"1969-01","1969","01","","","","","","","","","","","30.7","","25.4","","56.1","","18","",,"",,""
"1969-02","1969","02","","","","","","","","","","","0.0","T","19.1","","19.1","","15","",,"",,""
"1969-03","1969","03","","","","","","","","","","","27.4","","8.9","","36.3","","3","",,"",,""
"1969-04","1969","04","","","","","","","","","","","81.0","E","2.5","","83.6","E","0","",,"",,""
"1969-05","1969","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-06","1969","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-07","1969","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-08","1969","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-09","1969","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-10","1969","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-11","1969","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-12","1969","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
