"Station Name","IMPERIAL"
"Province","SASKATCHEWAN"
"Latitude","51.37"
"Longitude","-105.53"
"Elevation","556.30"
"Climate Identifier","4013440"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1911-01","1911","01","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-02","1911","02","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-03","1911","03","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-04","1911","04","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-05","1911","05","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-06","1911","06","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-07","1911","07","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-08","1911","08","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-09","1911","09","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-10","1911","10","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1911-11","1911","11","","M","","M","","M","","","","","0.0","","7.6","","7.6","","","",,"",,""
"1911-12","1911","12","-6.8","","-17.4","","-12.1","","","","","","0.0","","15.2","","15.2","","","",,"",,""
"1912-01","1912","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1912-02","1912","02","-8.2","","-24.5","","-16.4","","1.1","","-38.3","","","M","","M","","M","","",,"",,""
"1912-03","1912","03","-7.3","","-25.5","","-16.4","","6.7","","-38.9","","0.0","","","M","","M","","",,"",,""
"1912-04","1912","04","12.8","","-3.8","","4.5","","20.6","","-11.7","","0.0","","2.5","","2.5","","","",,"",,""
"1912-05","1912","05","16.7","","3.3","","10.0","","28.3","","-2.2","","149.9","","0.0","","149.9","","","",,"",,""
"1912-06","1912","06","24.7","","8.4","","16.6","","35.6","","1.1","S","86.6","","0.0","","86.6","","","",,"",,""
"1912-07","1912","07","21.8","","9.6","","15.7","","27.2","","2.8","","54.4","","0.0","","54.4","","","",,"",,""
"1912-08","1912","08","22.0","","9.8","","15.9","","28.3","","3.9","","43.9","","0.0","","43.9","","","",,"",,""
"1912-09","1912","09","15.6","","1.6","","8.6","","24.4","","-6.1","S","48.0","","0.0","","48.0","","","",,"",,""
"1912-10","1912","10","10.7","","-1.3","","4.7","","26.1","","-7.2","","13.2","","0.0","T","13.2","","","",,"",,""
"1912-11","1912","11","3.9","","-7.2","","-1.7","","11.7","","-20.6","","3.3","","1.3","","4.6","","","",,"",,""
"1912-12","1912","12","-4.2","","-16.2","","-10.2","","4.4","S","-26.7","","0.0","","22.9","","22.9","","","",,"",,""
"1913-01","1913","01","-17.6","","-28.6","","-23.1","","3.9","","-43.3","","0.0","","10.2","","10.2","","","",,"",,""
"1913-02","1913","02","-11.8","","-22.5","","-17.2","","3.9","","-36.1","","0.0","","27.9","","27.9","","","",,"",,""
"1913-03","1913","03","-6.6","","-19.7","","-13.2","","6.7","","-32.8","","0.0","","15.2","","15.2","","","",,"",,""
"1913-04","1913","04","12.5","","-1.0","","5.8","","26.7","","-9.4","","0.0","","16.8","","16.8","","","",,"",,""
"1913-05","1913","05","16.2","","1.7","","9.0","","28.9","S","-6.1","","24.6","","0.0","T","24.6","","","",,"",,""
"1913-06","1913","06","22.4","","9.6","","16.0","","29.4","","0.6","","62.2","","0.0","","62.2","","","",,"",,""
"1913-07","1913","07","23.1","","9.1","","16.1","","28.3","S","4.4","","97.8","","0.0","","97.8","","","",,"",,""
"1913-08","1913","08","24.2","","9.2","","16.7","","30.0","","4.4","S","75.4","","0.0","","75.4","","","",,"",,""
