"Station Name","INGENIKA POINT"
"Province","BRITISH COLUMBIA"
"Latitude","56.80"
"Longitude","-124.90"
"Elevation","679.70"
"Climate Identifier","1183651"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-06","1972","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-07","1972","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-08","1972","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-09","1972","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-10","1972","10","4.7","","-3.2","","0.8","","15.0","S","-13.9","","16.0","","5.1","","21.1","","0","",,"",,""
"1972-11","1972","11","-1.1","","-5.9","","-3.5","","3.3","","-17.2","","5.6","","29.2","","34.8","","18","",,"",,""
"1972-12","1972","12","-13.7","","-23.6","","-18.7","","-1.7","","-34.4","","0.0","","58.2","","58.2","","41","",,"",,""
"1973-01","1973","01","-10.3","","-19.9","","-15.1","","5.0","","-35.0","","1.3","","27.7","","29.0","","41","",,"",,""
"1973-02","1973","02","-6.1","","-16.8","","-11.5","","5.0","S","-32.2","","0.5","","32.5","","33.0","","61","",,"",,""
"1973-03","1973","03","1.7","","-9.7","","-4.0","","8.3","","-21.7","","1.5","","18.5","","20.1","","41","",,"",,""
"1973-04","1973","04","8.1","","-3.5","","2.3","","14.4","","-11.1","","6.1","","2.3","","8.4","","0","",,"",,""
"1973-05","1973","05","14.7","","1.4","","8.1","","27.8","","-4.4","","38.4","","2.5","","40.9","","0","",,"",,""
"1973-06","1973","06","16.8","","5.6","","11.2","","23.3","","2.2","S","66.0","","0.0","","66.0","","0","",,"",,""
"1973-07","1973","07","20.0","","7.2","","13.6","","27.8","","1.7","","46.7","","0.0","","46.7","","0","",,"",,""
"1973-08","1973","08","18.8","","6.5","","12.7","","26.1","S","0.0","S","23.1","","0.0","","23.1","","0","",,"",,""
"1973-09","1973","09","13.0","","3.0","","8.0","","22.8","","-3.9","","52.6","","0.0","","52.6","","0","",,"",,""
"1973-10","1973","10","6.2","","-1.8","","2.2","","10.6","S","-6.1","","17.0","","9.7","","26.7","","0","",,"",,""
"1973-11","1973","11","-11.4","","-20.4","","-15.9","","0.6","","-31.7","","0.0","","66.8","","66.8","","38","",,"",,""
"1973-12","1973","12","-10.1","","-17.2","","-13.7","","1.7","","-31.7","","1.5","","46.2","","47.8","","46","",,"",,""
"1974-01","1974","01","-16.9","","-28.0","","-22.5","","-2.2","","-44.4","","0.0","","50.3","","50.3","","71","",,"",,""
"1974-02","1974","02","-4.3","","-14.8","","-9.6","","5.6","","-32.2","","0.0","T","35.1","","35.1","","76","",,"",,""
"1974-03","1974","03","-3.5","","-14.4","","-9.0","","6.1","","-29.4","","2.0","","35.8","","37.8","","69","",,"",,""
"1974-04","1974","04","7.8","","-3.6","","2.1","","15.0","","-10.6","","19.1","","11.9","","31.0","","0","T",,"",,""
"1974-05","1974","05","11.9","","0.2","","6.1","","18.3","","-3.9","","59.9","","2.5","","62.5","","0","",,"",,""
"1974-06","1974","06","16.9","","4.9","","10.9","","24.4","S","1.1","S","32.0","","0.0","","32.0","","0","",,"",,""
"1974-07","1974","07","17.6","","6.9","","12.3","","23.9","","2.8","","88.9","","0.0","","88.9","","0","",,"",,""
"1974-08","1974","08","20.5","","7.3","","13.9","","27.8","","3.3","","23.4","","0.0","","23.4","","0","",,"",,""
"1974-09","1974","09","13.5","","3.4","","8.5","","22.2","S","-5.6","","55.6","","11.2","","66.8","","0","",,"",,""
"1974-10","1974","10","7.5","","-0.2","","3.7","","13.3","","-5.0","","36.6","","7.1","","43.7","","0","",,"",,""
"1974-11","1974","11","-0.8","","-7.3","","-4.1","","6.1","","-17.8","","1.0","","23.1","","24.1","","8","",,"",,""
"1974-12","1974","12","-2.7","","-10.1","","-6.4","","2.8","","-25.6","","1.5","","52.8","","54.4","","25","",,"",,""
