"Station Name","INUVIK AWOS A"
"Province","NORTHWEST TERRITORIES"
"Latitude","68.30"
"Longitude","-133.48"
"Elevation","67.70"
"Climate Identifier","2202575"
"WMO Identifier","71957"
"TC Identifier","YEV"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-06","2006","06","19.6","","7.1","","13.4","","28.3","","-4.5","","","","","","66.5","","0","",,"",,""
"2006-07","2006","07","20.0","","9.0","","14.5","","28.9","","1.6","","","","","","28.0","","0","",,"",,""
"2006-08","2006","08","17.2","","8.0","","12.6","","25.3","","0.6","","","","","","37.5","","0","",,"",,""
"2006-09","2006","09","11.6","","3.9","","7.8","","22.4","","-5.2","","","","","","16.0","","0","",,"",,""
"2006-10","2006","10","-0.9","","-6.2","","-3.6","","8.0","","-20.9","","","","","","22.5","","","M",,"",,""
"2006-11","2006","11","-16.8","","-23.8","","-20.3","","-9.9","","-31.5","","","","","","12.0","","","",,"",,""
"2006-12","2006","12","-14.9","","-22.0","","-18.5","","-6.6","","-32.0","","","","","","10.5","","","",,"",,""
"2007-01","2007","01","-20.3","","-27.2","","-23.8","","-6.4","","-40.0","","","","","","17.5","","","",,"",,""
"2007-02","2007","02","-24.2","","-33.5","","-28.9","","-14.2","","-43.0","","","","","","3.0","","","",,"",,""
"2007-03","2007","03","-22.0","","-32.5","E","-27.3","E","-7.3","","-40.5","","","","","","6.5","","","",,"",,""
"2007-04","2007","04","-4.3","E","-13.2","E","-8.8","E","4.8","E","-21.0","E","","","","","1.5","","","",,"",,""
"2007-05","2007","05","1.2","E","-6.9","","-3.3","E","15.9","E","-20.5","","","","","","7.0","","","",,"",,""
"2007-06","2007","06","18.8","I","6.2","I","12.1","I","26.3","I","-0.2","I","","","","","4.5","","0","",,"",,""
"2007-07","2007","07","21.0","I","11.5","I","16.3","I","28.1","I","6.9","I","","","","","12.0","","0","",,"",,""
"2007-08","2007","08","16.2","","6.2","","11.3","","23.9","","-0.1","","","","","","41.0","","0","",,"",,""
