"Station Name","IQALUIT UA"
"Province","NUNAVUT"
"Latitude","63.75"
"Longitude","-68.55"
"Elevation","21.90"
"Climate Identifier","2402594"
"WMO Identifier","71909"
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1997-04","1997","04","-11.4","","-19.3","","-15.4","","1.8","","-34.2","","0.0","","9.3","","9.3","","","",,"",,""
"1997-05","1997","05","1.4","E","-3.6","","-1.1","E","6.5","","-12.7","","0.0","T","36.6","","36.6","","","",,"",,""
"1997-06","1997","06","9.0","","1.9","","5.5","","15.7","","-2.5","","60.1","","0.0","","60.1","","0","",,"",,""
"1997-07","1997","07","12.1","","4.1","","8.1","","17.4","","-0.1","","56.9","","0.0","","56.9","","0","",,"",,""
"1997-08","1997","08","11.2","","3.1","","7.2","","19.5","S","-0.5","","72.6","","0.0","","72.6","","0","",,"",,""
"1997-09","1997","09","5.1","","-0.3","","2.4","","14.0","","-11.2","","20.4","","2.6","","23.0","","1","",,"",,""
"1997-10","1997","10","-0.5","","-5.4","","-3.0","","3.6","S","-12.3","S","5.6","","24.0","","29.6","","","",,"",,""
"1997-11","1997","11","-7.3","","-14.3","","-10.8","","-1.2","","-21.8","","0.0","","26.9","","26.9","","","",,"",,""
"1997-12","1997","12","-14.6","","-23.7","","-19.1","","3.1","","-33.9","","0.0","T","65.8","","65.8","","","",,"",,""
"1998-01","1998","01","-24.6","E","-33.3","E","-28.9","E","-3.4","","-39.2","","0.0","","16.6","","16.6","","","",,"",,""
"1998-02","1998","02","-25.5","","-34.9","","-30.2","","-7.0","","-42.2","","0.0","","9.8","","9.8","","","",,"",,""
"1998-03","1998","03","-20.7","","-30.9","","-25.8","","-7.9","","-39.8","","0.0","","8.6","","8.6","","","",,"",,""
"1998-04","1998","04","-8.6","","-17.0","E","-12.9","E","1.5","","-26.8","","0.0","","23.4","","23.4","","0","",,"",,""
"1998-05","1998","05","-0.4","","-5.2","","-2.8","","5.8","","-16.3","","5.8","","20.2","","26.0","","","",,"",,""
"1998-06","1998","06","9.3","","2.2","","5.8","","17.4","S","-0.4","","16.6","","0.0","","16.6","","0","",,"",,""
"1998-07","1998","07","10.3","","3.6","","7.0","","19.0","S","1.2","","29.0","","0.0","","29.0","","0","",,"",,""
"1998-08","1998","08","12.1","","4.7","","8.4","","19.5","","1.1","","28.4","","0.0","","28.4","","0","",,"",,""
"1998-09","1998","09","6.0","","1.9","","3.9","","9.8","","0.1","","11.2","","0.0","","11.2","","0","",,"",,""
"1998-10","1998","10","-0.2","","-6.7","","-3.5","","8.2","","-15.4","S","0.8","","20.8","","21.6","","","",,"",,""
"1998-11","1998","11","-5.8","","-12.9","","-9.4","","0.7","S","-23.8","","0.0","","7.6","","7.4","","","",,"",,""
