"Station Name","IRON CREEK"
"Province","YUKON TERRITORY"
"Latitude","60.02"
"Longitude","-127.85"
"Elevation","868.70"
"Climate Identifier","2100650"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-02","1958","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-03","1958","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-04","1958","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-05","1958","05","16.1","","1.4","","8.8","","25.6","","-5.6","","12.2","","0.0","T","12.2","","","M",,"",,""
"1958-06","1958","06","22.6","","6.6","","14.6","","29.4","S","0.6","","27.2","","0.0","","27.2","","","M",,"",,""
"1958-07","1958","07","23.6","","8.4","","16.0","","30.0","","4.4","","45.5","","0.0","","45.5","","","M",,"",,""
"1958-08","1958","08","18.3","","4.8","","11.6","","23.9","","-2.2","","55.1","","0.0","","55.1","","","M",,"",,""
"1958-09","1958","09","11.3","","-0.1","","5.6","","20.0","","-5.6","","58.9","","15.2","","74.2","","0","",,"",,""
"1958-10","1958","10","3.5","","-5.3","","-0.9","","16.7","","-13.9","S","23.6","","36.8","","60.5","","13","",,"",,""
"1958-11","1958","11","-8.7","","-17.0","","-12.9","","3.3","","-33.9","","0.0","","46.5","","46.5","","33","",,"",,""
"1958-12","1958","12","-18.9","","-25.7","","-22.3","","-1.7","","-37.2","","0.0","","56.6","","56.6","","58","",,"",,""
"1959-01","1959","01","-27.4","","-35.1","","-31.3","","-13.3","","-50.0","","0.0","","43.7","","43.7","","79","",,"",,""
"1959-02","1959","02","-10.9","","-25.2","","-18.1","","3.9","","-38.9","","0.0","","23.6","","23.6","","76","",,"",,""
"1959-03","1959","03","-0.9","","-14.9","","-7.9","","6.1","","-34.4","","0.0","","34.3","","34.3","","","M",,"",,""
"1959-04","1959","04","6.3","","-6.5","","-0.1","","18.3","","-17.8","","4.6","","30.2","","34.8","","20","",,"",,""
"1959-05","1959","05","12.0","","-0.8","","5.6","","24.4","","-10.6","","18.8","","0.0","T","18.8","","","M",,"",,""
"1959-06","1959","06","20.1","","4.7","","12.4","","24.4","","-2.2","","25.7","","0.0","","25.7","","","M",,"",,""
"1959-07","1959","07","21.2","","7.6","","14.4","","28.9","","0.6","","25.4","","0.0","","25.4","","","M",,"",,""
"1959-08","1959","08","14.8","","4.1","","9.5","","21.1","","-2.8","","98.6","","0.0","","98.6","","","M",,"",,""
"1959-09","1959","09","10.8","","1.1","","6.0","","17.8","","-3.9","S","44.7","","0.0","","44.7","","","M",,"",,""
"1959-10","1959","10","0.8","","-8.2","","-3.7","","13.3","","-18.3","","16.5","","25.9","","42.4","","","M",,"",,""
"1959-11","1959","11","-8.7","","-18.4","","-13.6","","2.2","","-37.8","","0.0","","31.8","","31.8","","","M",,"",,""
"1959-12","1959","12","-10.7","","-20.1","","-15.4","","-0.6","","-28.9","","0.0","","47.8","","47.8","","","M",,"",,""
"1960-01","1960","01","","M","","M","","M","","M","","M","0.0","","","M","","M","","",,"",,""
"1960-02","1960","02","-9.2","","-20.6","","-14.9","","0.6","","-30.0","","0.0","","42.4","","42.4","","","",,"",,""
"1960-03","1960","03","-6.5","","-18.9","","-12.7","","6.7","","-33.3","","0.0","","53.8","","53.8","","","",,"",,""
"1960-04","1960","04","9.4","","-5.6","","1.9","","16.1","","-15.0","","0.0","","2.5","","2.5","","","",,"",,""
"1960-05","1960","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-06","1960","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-07","1960","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-08","1960","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-09","1960","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-10","1960","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-11","1960","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-12","1960","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
