"Station Name","IROQUOIS FALLS"
"Province","ONTARIO"
"Latitude","48.75"
"Longitude","-80.67"
"Elevation","259.10"
"Climate Identifier","6073810"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1913-01","1913","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1913-02","1913","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1913-03","1913","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1913-04","1913","04","8.9","","-5.5","","1.7","","29.4","","-17.2","","13.0","","53.3","","66.3","","","",,"",,""
"1913-05","1913","05","13.6","","-0.4","","6.6","","29.4","","-6.7","","58.9","","8.1","","67.1","","","",,"",,""
"1913-06","1913","06","24.0","","5.9","","15.0","","35.6","","-3.9","","43.9","","0.0","","43.9","","","",,"",,""
"1913-07","1913","07","22.8","","8.3","","15.6","","28.9","S","0.6","","115.1","","0.0","","115.1","","","",,"",,""
"1913-08","1913","08","21.9","","8.8","","15.4","","32.2","","-1.1","","73.7","","0.0","","73.7","","","",,"",,""
"1913-09","1913","09","17.1","","3.6","","10.4","","28.3","","-3.3","","67.1","","0.0","","67.1","","","",,"",,""
"1913-10","1913","10","9.6","","0.6","","5.1","","23.9","","-12.2","","49.8","","10.4","","60.2","","","",,"",,""
"1913-11","1913","11","2.7","","-5.0","","-1.2","","11.7","","-15.0","","55.1","","36.8","","91.9","","","",,"",,""
"1913-12","1913","12","-3.8","","-14.4","","-9.1","","2.8","S","-30.6","S","9.4","","42.2","","51.6","","","",,"",,""
"1914-01","1914","01","-8.6","","-22.3","","-15.5","","7.8","","-37.8","","0.0","","50.5","","50.5","","","",,"",,""
"1914-02","1914","02","-12.9","","-27.6","","-20.3","","8.3","","-45.6","","0.0","","38.9","","38.9","","","",,"",,""
"1914-03","1914","03","-1.7","","-17.3","","-9.5","","11.1","","-28.9","S","7.1","","18.0","","25.1","","","",,"",,""
"1914-04","1914","04","5.5","","-8.6","","-1.6","","15.6","","-23.9","","8.1","","16.0","","24.1","","","",,"",,""
"1914-05","1914","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1914-06","1914","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1914-07","1914","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1914-08","1914","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1914-09","1914","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1914-10","1914","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1914-11","1914","11","-2.8","","-11.7","","-7.3","","10.6","","-27.2","","45.0","","57.2","","102.1","","","",,"",,""
"1914-12","1914","12","-8.4","","-20.3","","-14.4","","5.0","","-37.8","","15.2","","32.8","","48.0","","","",,"",,""
"1915-01","1915","01","-9.3","","-20.8","","-15.1","","2.8","S","-36.7","S","12.2","","58.2","","70.4","","","",,"",,""
"1915-02","1915","02","-5.4","","-20.3","","-12.9","","7.2","","-33.3","S","0.0","T","38.4","","38.4","","","",,"",,""
"1915-03","1915","03","-2.5","","-17.2","","-9.9","","6.7","","-25.0","","0.0","","29.2","","29.2","","","",,"",,""
"1915-04","1915","04","12.6","","-2.2","","5.2","","28.9","","-20.6","","33.0","","0.3","","33.3","","","",,"",,""
"1915-05","1915","05","13.3","","-0.1","","6.6","","22.2","","-5.0","S","73.7","","0.0","T","73.7","","","",,"",,""
"1915-06","1915","06","20.7","","6.4","","13.6","","28.3","S","-2.2","","161.3","","0.0","T","161.3","","","",,"",,""
"1915-07","1915","07","23.7","","8.1","","15.9","","30.6","","2.2","","34.5","","0.0","","34.5","","","",,"",,""
"1915-08","1915","08","21.9","","8.6","","15.3","","31.1","","0.0","","53.3","","0.0","","53.3","","","",,"",,""
"1915-09","1915","09","17.4","","5.9","","11.7","","30.0","","-3.3","","123.2","","0.0","T","123.2","","","",,"",,""
"1915-10","1915","10","8.8","","1.3","","5.1","","18.9","","-5.0","","97.5","","0.3","","97.8","","","",,"",,""
"1915-11","1915","11","1.3","","-4.9","","-1.8","","10.0","","-14.4","","52.8","","31.2","","84.1","","","",,"",,""
"1915-12","1915","12","-8.2","","-15.2","","-11.7","","-4.4","S","-29.4","","0.0","","92.5","","92.5","","","",,"",,""
"1916-01","1916","01","-9.3","","-22.8","","-16.1","","7.8","","-38.9","","7.6","","145.0","","152.7","","","",,"",,""
"1916-02","1916","02","-13.2","","-27.6","","-20.4","","1.1","S","-36.7","","1.0","","41.9","","42.9","","","",,"",,""
"1916-03","1916","03","-5.0","","-19.9","","-12.5","","19.4","","-31.7","","36.3","","11.2","","47.5","","","",,"",,""
"1916-04","1916","04","8.0","","-4.3","","1.9","","20.6","","-17.2","","34.8","","13.0","","47.8","","","",,"",,""
"1916-05","1916","05","14.6","","1.9","","8.3","","26.1","","-6.7","S","31.5","","0.0","T","31.5","","","",,"",,""
"1916-06","1916","06","19.6","","7.9","","13.8","","28.3","S","-1.1","","61.0","","0.0","","61.0","","","",,"",,""
"1916-07","1916","07","28.9","","12.7","","20.8","","41.1","","2.2","","35.8","","0.0","","35.8","","","",,"",,""
"1916-08","1916","08","24.7","","11.4","","18.1","","33.9","S","2.2","","75.4","","0.0","","75.4","","","",,"",,""
"1916-09","1916","09","19.4","","5.1","","12.3","","26.1","S","-1.7","","83.6","","0.0","","83.6","","","",,"",,""
"1916-10","1916","10","11.4","","-1.1","","5.2","","26.1","","-7.8","","72.9","","29.5","","102.4","","","",,"",,""
"1916-11","1916","11","-3.4","","-10.2","","-6.8","","5.0","","-28.3","","17.0","","18.3","","35.3","","","",,"",,""
"1916-12","1916","12","-10.0","","-22.3","","-16.2","","4.4","","-33.9","S","14.2","","11.9","","26.2","","","",,"",,""
"1917-01","1917","01","-15.4","","-29.7","","-22.6","","0.0","","-38.9","S","0.0","","7.1","","7.1","","","",,"",,""
"1917-02","1917","02","-12.6","","-29.1","","-20.9","","-1.1","","-39.4","","0.0","","56.1","","56.1","","","",,"",,""
"1917-03","1917","03","-1.1","","-17.9","","-9.5","","15.6","S","-35.6","","6.4","","125.2","","131.6","","","",,"",,""
"1917-04","1917","04","8.7","","-6.1","","1.3","","18.3","","-16.1","S","27.4","","18.8","","46.2","","","",,"",,""
"1917-05","1917","05","14.9","","-0.6","","7.2","","25.6","S","-5.6","","42.4","","9.7","","52.1","","","",,"",,""
"1917-06","1917","06","18.1","","5.9","","12.0","","26.7","","0.0","","93.0","","0.0","T","93.0","","","",,"",,""
"1917-07","1917","07","25.5","","10.3","","17.9","","35.0","","2.2","","201.2","","0.0","","201.2","","","",,"",,""
"1917-08","1917","08","24.0","","7.1","","15.6","","31.7","","-3.3","","105.9","","0.0","","105.9","","","",,"",,""
"1917-09","1917","09","19.3","","3.0","","11.2","","26.7","","-3.9","","51.1","","0.0","T","51.1","","","",,"",,""
"1917-10","1917","10","8.1","","-4.9","","1.6","","14.4","","-13.3","","62.0","","17.3","","79.2","","","",,"",,""
"1917-11","1917","11","-0.9","","-10.4","","-5.7","","8.3","","-27.2","","1.3","","13.7","","15.0","","","",,"",,""
"1917-12","1917","12","-18.4","","-28.7","","-23.6","","0.0","","-46.1","","0.0","","62.2","","62.2","","","",,"",,""
"1918-01","1918","01","-17.7","","-30.5","","-24.1","","-5.6","S","-47.2","","0.0","","46.7","","46.7","","","",,"",,""
"1918-02","1918","02","-17.8","","-27.6","","-22.7","","1.7","","-45.0","","0.5","","46.0","","46.5","","","",,"",,""
"1918-03","1918","03","-4.6","","-19.8","","-12.2","","12.8","","-42.2","","7.4","","29.2","","36.6","","","",,"",,""
"1918-04","1918","04","6.3","","-8.4","","-1.1","","18.9","","-22.2","","15.2","","0.8","","16.0","","","",,"",,""
"1918-05","1918","05","11.6","","1.4","","6.5","","28.9","","-6.7","S","98.0","","3.3","","101.3","","","",,"",,""
"1918-06","1918","06","17.3","","3.7","","10.5","","28.9","","-3.9","","108.5","","0.0","T","108.5","","","",,"",,""
"1918-07","1918","07","24.9","","9.7","","17.3","","33.9","","0.0","","87.4","","0.0","","87.4","","","",,"",,""
"1918-08","1918","08","24.0","","8.4","","16.2","","28.9","","0.0","","49.5","","0.0","","49.5","","","",,"",,""
"1918-09","1918","09","13.3","","2.0","","7.7","","23.3","","-5.0","","110.7","","0.0","T","110.7","","","",,"",,""
"1918-10","1918","10","10.6","","1.3","","6.0","","17.8","S","-5.6","","79.8","","0.0","T","79.8","","","",,"",,""
"1918-11","1918","11","2.8","","-6.4","","-1.8","","11.1","","-26.7","","64.5","","14.2","","78.7","","","",,"",,""
"1918-12","1918","12","-4.8","","-16.1","","-10.5","","7.2","","-30.6","S","17.3","","24.9","","42.2","","","",,"",,""
"1919-01","1919","01","-8.1","","-18.7","","-13.4","","1.1","S","-35.0","S","0.0","T","44.5","","44.5","","","",,"",,""
"1919-02","1919","02","-3.8","","-16.3","","-10.1","","2.2","","-28.3","","0.0","T","53.3","","53.3","","","",,"",,""
"1919-03","1919","03","-0.5","","-15.3","","-7.9","","12.8","","-30.6","","9.1","","30.5","","39.6","","","",,"",,""
"1919-04","1919","04","7.6","","-7.4","","0.1","","24.4","","-21.7","","20.8","","19.1","","39.9","","","",,"",,""
"1919-05","1919","05","17.6","","2.8","","10.2","","31.7","","-7.2","","81.8","","1.5","","83.3","","","",,"",,""
"1919-06","1919","06","26.8","","10.7","","18.8","","34.4","S","-1.1","","39.1","","0.0","","39.1","","","",,"",,""
"1919-07","1919","07","24.9","","11.9","","18.4","","35.0","S","1.1","","100.8","","0.0","","100.8","","","",,"",,""
"1919-08","1919","08","21.2","","9.9","","15.6","","30.6","","3.3","S","143.8","","0.0","","143.8","","","",,"",,""
"1919-09","1919","09","16.1","","4.4","","10.3","","23.9","S","-1.7","S","92.2","","0.0","T","92.2","","","",,"",,""
"1919-10","1919","10","6.8","","-2.8","","2.0","","20.6","","-9.4","S","58.2","","20.3","","78.5","","","",,"",,""
"1919-11","1919","11","-2.4","","-10.6","","-6.5","","7.2","","-27.2","","34.3","","59.2","","93.5","","","",,"",,""
"1919-12","1919","12","-11.9","","-23.3","","-17.6","","-0.6","","-38.9","","0.0","","85.3","","85.3","","","",,"",,""
