"Station Name","ISLAND FALLS"
"Province","ONTARIO"
"Latitude","49.58"
"Longitude","-81.38"
"Elevation","213.00"
"Climate Identifier","6073840"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01","1955","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-02","1955","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1955-03","1955","03","-5.5","","-20.3","","-12.9","","14.4","","-37.8","","0.0","","57.9","","57.9","","43","",,"",,""
"1955-04","1955","04","11.6","","-2.4","","4.6","","22.2","","-15.6","","42.7","","0.0","T","42.7","","","M",,"",,""
"1955-05","1955","05","15.6","","3.2","","9.4","","30.6","","-5.6","","104.9","","0.0","T","104.9","","","M",,"",,""
"1955-06","1955","06","24.6","","10.8","","17.7","","32.2","","3.3","S","37.6","","0.0","","37.6","","","M",,"",,""
"1955-07","1955","07","27.0","","13.3","","20.2","","35.6","","4.4","","41.4","","0.0","","41.4","","","M",,"",,""
"1955-08","1955","08","23.8","","11.3","","17.6","","31.1","","3.3","","89.2","","0.0","","89.2","","","M",,"",,""
"1955-09","1955","09","15.3","","4.8","","10.1","","26.1","","-2.2","","83.3","","0.0","","83.3","","","M",,"",,""
"1955-10","1955","10","11.2","","1.8","","6.5","","20.0","","-10.0","","140.5","","7.6","","148.1","","","M",,"",,""
"1955-11","1955","11","-1.6","","-6.6","","-4.1","","8.9","","-17.2","","4.6","","71.9","","76.5","","0","",,"",,""
"1955-12","1955","12","-10.8","","-20.8","","-15.8","","-2.2","S","-36.7","S","0.0","","47.5","","47.5","","66","",,"",,""
"1956-01","1956","01","-10.7","","-20.9","","-15.8","","-3.3","","-31.1","","0.0","T","12.2","","12.2","","81","",,"",,""
"1956-02","1956","02","-6.8","","-23.8","","-15.3","","1.1","","-35.0","","0.0","","28.4","","28.4","","0","",,"",,""
"1956-03","1956","03","-4.3","","-24.2","","-14.3","","6.7","","-36.1","S","0.0","","6.9","","6.9","","0","",,"",,""
"1956-04","1956","04","4.4","","-7.1","","-1.4","","12.2","","-17.2","","12.7","","17.0","","29.7","","30","",,"",,""
"1956-05","1956","05","9.1","","-2.0","","3.6","","20.0","","-9.4","","79.5","","24.6","","104.1","","","M",,"",,""
"1956-06","1956","06","21.7","","6.9","","14.3","","35.0","","0.6","S","70.4","","0.0","","70.4","","0","",,"",,""
"1956-07","1956","07","20.7","","9.2","","15.0","","27.2","","3.3","S","86.1","","0.0","","86.1","","0","",,"",,""
