"Station Name","JASPER WARDEN"
"Province","ALBERTA"
"Latitude","52.93"
"Longitude","-118.03"
"Elevation","1020.00"
"Climate Identifier","3053536"
"WMO Identifier","71486"
"TC Identifier","WJW"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-01","1996","01","-11.4","E","-25.5","E","-18.5","E","7.2","E","-44.2","","1.4","E","60.7","E","36.2","E","40","",,"",,""
"1996-02","1996","02","1.5","E","-13.3","E","-5.9","E","11.2","","-32.7","E","2.0","","4.7","E","7.0","E","34","",,"",,""
"1996-03","1996","03","1.5","E","-11.0","E","-4.7","E","14.1","","-26.7","","1.6","","4.2","","5.8","","","M",,"",,""
"1996-04","1996","04","11.0","E","-3.0","E","4.0","E","17.2","","-14.6","","11.8","E","14.8","E","25.0","E","0","E",,"",,""
"1996-05","1996","05","12.2","","-0.8","","5.7","","19.5","","-7.9","","55.6","","7.0","E","62.6","E","0","",,"",,""
"1996-06","1996","06","17.9","E","4.4","E","11.2","E","23.4","","-1.7","","12.6","E","0.0","","12.6","E","0","E",,"",,""
"1996-07","1996","07","23.2","E","7.2","E","15.2","E","33.2","","3.4","","21.8","E","0.0","","21.8","E","0","",,"",,""
"1996-08","1996","08","24.7","","5.6","","15.2","","34.4","","0.3","","34.0","","0.0","","34.0","","0","E",,"",,""
"1996-09","1996","09","15.3","E","1.3","E","8.3","E","29.0","","-6.3","","30.4","E","0.0","","30.4","E","","",,"",,""
"1996-10","1996","10","9.2","E","-3.1","E","3.1","E","20.6","","-16.2","","14.9","E","6.9","E","21.8","E","","",,"",,""
"1996-11","1996","11","-5.3","","-14.0","","-9.7","","7.0","S","-36.3","","0.6","","56.4","E","57.0","E","14","",,"",,""
"1996-12","1996","12","-9.8","E","-22.1","E","-16.0","E","2.2","","-41.9","","0.0","","31.0","E","31.0","E","28","E",,"",,""
"1997-01","1997","01","-5.8","E","-19.1","E","-12.5","E","6.6","","-44.8","","1.8","","44.9","E","34.3","E","45","",,"",,""
"1997-02","1997","02","3.3","","-9.6","","-3.2","","11.3","","-22.7","","0.0","","6.8","","6.4","","30","",,"",,""
"1997-03","1997","03","2.2","E","-8.4","E","-3.1","E","10.6","","-23.4","","1.2","","27.9","E","29.1","E","12","",,"",,""
"1997-04","1997","04","9.8","E","-5.5","E","2.2","E","19.0","","-14.8","E","15.3","E","3.5","E","18.8","E","0","E",,"",,""
"1997-05","1997","05","16.2","","1.4","","8.8","","25.5","","-4.7","S","25.8","","15.1","E","40.9","E","0","",,"",,""
"1997-06","1997","06","18.7","E","4.2","E","11.5","E","26.9","","-2.2","","117.4","E","0.0","","117.4","E","0","",,"",,""
"1997-07","1997","07","21.5","E","6.2","E","13.9","E","30.5","","1.5","","76.6","","0.0","","76.6","","0","",,"",,""
"1997-08","1997","08","22.4","E","6.4","E","14.4","E","34.2","","0.4","","75.6","E","0.0","","75.6","E","0","",,"",,""
"1997-09","1997","09","18.5","E","3.1","E","10.9","E","27.3","","-2.5","","75.6","E","0.0","","75.6","E","0","",,"",,""
"1997-10","1997","10","8.5","E","-1.1","E","3.8","E","14.3","","-6.6","","32.6","","5.0","E","37.6","E","0","E",,"",,""
"1997-11","1997","11","4.3","","-6.8","","-1.3","","11.9","","-14.1","","2.8","","5.0","","7.8","","","",,"",,""
"1997-12","1997","12","0.8","E","-9.9","E","-4.6","E","9.7","","-17.6","","0.0","","6.4","E","6.4","E","0","",,"",,""
