"Station Name","JOE RICH CREEK"
"Province","BRITISH COLUMBIA"
"Latitude","49.86"
"Longitude","-119.13"
"Elevation","874.80"
"Climate Identifier","1123750"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1928-01","1928","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-02","1928","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-03","1928","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-04","1928","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-05","1928","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-06","1928","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-07","1928","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-08","1928","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-09","1928","09","","","","","","","","","","","8.4","","0.0","","8.4","","","",,"",,""
"1928-10","1928","10","","","","","","","","","","","20.8","","0.0","","20.8","","","",,"",,""
"1928-11","1928","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1928-12","1928","12","","","","","","","","","","","4.3","","28.4","","32.8","","","",,"",,""
"1929-01","1929","01","","","","","","","","","","","0.0","","63.2","","63.2","","","",,"",,""
"1929-02","1929","02","","","","","","","","","","","0.0","","15.7","","15.7","","","",,"",,""
"1929-03","1929","03","","","","","","","","","","","39.6","","5.1","","44.7","","","",,"",,""
"1929-04","1929","04","","","","","","","","","","","38.9","","0.0","T","38.9","","","",,"",,""
"1929-05","1929","05","","","","","","","","","","","57.9","","0.0","","57.9","","","",,"",,""
"1929-06","1929","06","","","","","","","","","","","59.4","","0.0","","59.4","","","",,"",,""
"1929-07","1929","07","","","","","","","","","","","7.1","","0.0","","7.1","","","",,"",,""
"1929-08","1929","08","","","","","","","","","","","33.5","","0.0","","33.5","","","",,"",,""
"1929-09","1929","09","","","","","","","","","","","31.5","","0.0","","31.5","","","",,"",,""
"1929-10","1929","10","","","","","","","","","","","28.4","","0.0","","28.4","","","",,"",,""
"1929-11","1929","11","","","","","","","","","","","0.0","","25.1","","25.1","","","",,"",,""
"1929-12","1929","12","","","","","","","","","","","2.5","","73.9","","76.5","","","",,"",,""
