"Station Name","KAGAWONG"
"Province","ONTARIO"
"Latitude","45.92"
"Longitude","-82.27"
"Elevation","179.80"
"Climate Identifier","6093900"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01","1951","01","","","","","","","","","","","0.0","","33.3","","33.3","","53","",,"",,""
"1951-02","1951","02","","","","","","","","","","","21.8","","22.6","","44.5","","43","",,"",,""
"1951-03","1951","03","","","","","","","","","","","24.1","","42.9","","67.1","","23","",,"",,""
"1951-04","1951","04","","","","","","","","","","","58.7","","22.9","","81.5","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","26.9","","0.0","","26.9","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","44.5","","0.0","","44.5","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","80.5","","0.0","","80.5","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","101.3","","0.0","","101.3","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","107.4","","0.0","","107.4","","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","153.9","","0.0","T","153.9","","0","",,"",,""
"1951-11","1951","11","","","","","","","","","","","32.8","","31.8","","64.5","","","M",,"",,""
"1951-12","1951","12","","","","","","","","","","","14.7","","60.7","","75.4","","15","",,"",,""
"1952-01","1952","01","","","","","","","","","","","26.2","","32.8","","58.9","","56","",,"",,""
"1952-02","1952","02","","","","","","","","","","","5.6","","17.5","","23.1","","56","",,"",,""
