"Station Name","KANANASKIS LO"
"Province","ALBERTA"
"Latitude","50.62"
"Longitude","-115.07"
"Elevation","2072.60"
"Climate Identifier","3053605"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","120.7","","0.0","","120.7","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","27.9","","0.0","","27.9","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","57.7","","0.0","","57.7","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","20.8","","0.0","","20.8","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-02","1959","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-03","1959","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-05","1959","05","","","","","","","","","","","48.0","","0.0","","48.0","","","M",,"",,""
"1959-06","1959","06","","","","","","","","","","","","M","","M","73.7","","","M",,"",,""
"1959-07","1959","07","","","","","","","","","","","48.5","","0.0","","48.5","","","M",,"",,""
"1959-08","1959","08","","","","","","","","","","","74.9","","0.0","","74.9","","","M",,"",,""
"1959-09","1959","09","","","","","","","","","","","44.5","","0.0","T","44.5","","0","",,"",,""
"1959-10","1959","10","","","","","","","","","","","12.7","","22.9","","35.6","","","M",,"",,""
"1959-11","1959","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1959-12","1959","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-01","1960","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-02","1960","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-03","1960","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-04","1960","04","","","","","","","","","","","0.0","T","50.3","","50.3","","10","",,"",,""
"1960-05","1960","05","","","","","","","","","","","34.5","","1.5","","36.1","","","M",,"",,""
"1960-06","1960","06","","","","","","","","","","","67.1","","0.0","T","67.1","","","M",,"",,""
"1960-07","1960","07","","","","","","","","","","","7.4","","0.0","","7.4","","","M",,"",,""
"1960-08","1960","08","","","","","","","","","","","98.6","","0.0","","98.6","","","M",,"",,""
"1960-09","1960","09","","","","","","","","","","","29.5","","0.0","","29.5","","","M",,"",,""
"1960-10","1960","10","","","","","","","","","","","6.4","","20.3","","26.7","","","M",,"",,""
"1960-11","1960","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1960-12","1960","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-01","1961","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-02","1961","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-03","1961","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-04","1961","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-05","1961","05","","","","","","","","","","","81.8","","0.0","","81.8","","","",,"",,""
"1961-06","1961","06","","","","","","","","","","","26.7","","0.0","","26.7","","","",,"",,""
"1961-07","1961","07","","","","","","","","","","","113.3","","0.0","","113.3","","","",,"",,""
"1961-08","1961","08","","","","","","","","","","","72.1","","0.0","","72.1","","","",,"",,""
"1961-09","1961","09","","","","","","","","","","","","M","","M","56.9","","","",,"",,""
"1961-10","1961","10","","","","","","","","","","","11.2","","38.4","","49.5","","","",,"",,""
"1961-11","1961","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1961-12","1961","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-07","1962","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-08","1962","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-09","1962","09","11.4","","2.2","","6.8","","20.0","","-8.3","","21.8","","62.0","","83.8","","0","",,"",,""
"1962-10","1962","10","6.0","","-1.8","","2.1","","20.0","","-6.7","","10.9","","26.2","","37.1","","","M",,"",,""
"1962-11","1962","11","","M","","M","","M","18.3","S","","M","","M","","M","","M","","M",,"",,""
"1962-12","1962","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-01","1963","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-03","1963","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1963-06","1963","06","","M","","M","","M","","M","","M","94.5","","117.3","","211.8","","0","",,"",,""
"1963-07","1963","07","","M","","M","","M","","M","","M","62.0","","0.0","T","62.0","","0","",,"",,""
"1963-08","1963","08","16.9","","7.1","","12.0","","25.6","","2.2","","41.4","","0.0","","41.4","","0","",,"",,""
"1963-09","1963","09","15.8","","6.3","","11.1","","24.4","","-1.7","","46.5","","6.9","","53.3","","0","",,"",,""
"1963-10","1963","10","6.6","","-0.4","","3.1","","15.6","S","-11.1","","7.9","","42.9","","50.8","","25","",,"",,""
"1963-11","1963","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-12","1963","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
