"Station Name","KEATS POINT"
"Province","NORTHWEST TERRITORIES"
"Latitude","69.67"
"Longitude","-121.67"
"Elevation","330.20"
"Climate Identifier","2202663"
"WMO Identifier","71058"
"TC Identifier","WKP"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-06","2006","06","12.1","","3.1","","7.7","","20.2","","-6.5","","0.0","","0.0","","0.0","","0","",,"",,""
"2006-07","2006","07","12.1","E","5.7","E","8.9","E","21.2","","-2.6","","0.0","","0.0","","0.0","","0","",,"",,""
