"Station Name","KEELEY LAKE"
"Province","SASKATCHEWAN"
"Latitude","54.87"
"Longitude","-108.17"
"Elevation","457.20"
"Climate Identifier","4063650"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-10","1996","10","6.2","E","-3.0","E","1.8","E","23.0","E","-18.5","","21.5","","5.7","","27.2","","0","T",,"",,""
"1996-11","1996","11","-7.7","E","-15.8","E","-11.9","E","4.0","B","-27.0","S","0.0","","68.2","","68.2","","23","",,"",,""
"1996-12","1996","12","-15.2","","-27.5","","-21.4","","-3.5","","-42.0","S","0.0","","14.6","","14.6","","36","",,"",,""
"1997-01","1997","01","-15.2","","-29.4","","-22.3","","5.0","","-43.0","","0.0","","36.5","","36.5","","61","",,"",,""
"1997-02","1997","02","-3.4","I","-20.0","I","-12.4","I","11.0","I","-31.5","I","0.0","T","10.0","I","10.0","I","53","",,"",,""
"1997-03","1997","03","-1.5","","-17.0","","-9.3","","11.0","S","-33.5","S","3.0","","11.0","","14.0","","31","",,"",,""
"1997-04","1997","04","6.7","E","-6.5","E","0.1","E","17.0","B","-21.0","E","0.0","T","10.0","","10.0","","0","",,"",,""
