"Station Name","KENOGAMI"
"Province","QUEBEC"
"Latitude","48.42"
"Longitude","-71.25"
"Elevation","115.50"
"Climate Identifier","7063400"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1916-01","1916","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1916-02","1916","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1916-03","1916","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1916-04","1916","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1916-05","1916","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1916-06","1916","06","","","","","","","","","","","32.8","","0.0","","32.8","","","",,"",,""
"1916-07","1916","07","","","","","","","","","","","29.2","","0.0","","29.2","","","",,"",,""
"1916-08","1916","08","","","","","","","","","","","62.0","","0.0","","62.0","","","",,"",,""
"1916-09","1916","09","","","","","","","","","","","120.4","","0.0","T","120.4","","","",,"",,""
"1916-10","1916","10","","","","","","","","","","","66.5","","16.5","","83.1","","","",,"",,""
"1916-11","1916","11","","","","","","","","","","","40.9","","22.9","","63.8","","","",,"",,""
"1916-12","1916","12","","","","","","","","","","","16.8","","55.9","","72.6","","","",,"",,""
"1917-01","1917","01","","","","","","","","","","","0.0","","62.2","","62.2","","","",,"",,""
"1917-02","1917","02","","","","","","","","","","","0.0","","47.0","","47.0","","","",,"",,""
"1917-03","1917","03","","","","","","","","","","","2.0","","7.6","","9.7","","","",,"",,""
"1917-04","1917","04","","","","","","","","","","","21.3","","0.0","","21.3","","","",,"",,""
"1917-05","1917","05","","","","","","","","","","","34.3","","0.0","","34.3","","","",,"",,""
"1917-06","1917","06","","","","","","","","","","","162.6","","0.0","","162.6","","","",,"",,""
"1917-07","1917","07","","","","","","","","","","","86.6","","0.0","","86.6","","","",,"",,""
"1917-08","1917","08","","","","","","","","","","","65.5","","0.0","","65.5","","","",,"",,""
"1917-09","1917","09","","","","","","","","","","","48.3","","0.0","","48.3","","","",,"",,""
"1917-10","1917","10","","","","","","","","","","","127.8","","1.3","","129.0","","","",,"",,""
"1917-11","1917","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1917-12","1917","12","","","","","","","","","","","0.0","","43.2","","43.2","","","",,"",,""
"1918-01","1918","01","","","","","","","","","","","0.0","","50.8","","50.8","","","",,"",,""
"1918-02","1918","02","","","","","","","","","","","0.0","","61.0","","61.0","","","",,"",,""
"1918-03","1918","03","","","","","","","","","","","0.0","","20.3","","20.3","","","",,"",,""
"1918-04","1918","04","","","","","","","","","","","37.8","","0.0","","37.8","","","",,"",,""
"1918-05","1918","05","","","","","","","","","","","61.0","","0.0","","61.0","","","",,"",,""
"1918-06","1918","06","","","","","","","","","","","63.2","","0.0","","63.2","","","",,"",,""
"1918-07","1918","07","","","","","","","","","","","69.1","","0.0","","69.1","","","",,"",,""
"1918-08","1918","08","","","","","","","","","","","70.4","","0.0","","70.4","","","",,"",,""
"1918-09","1918","09","","","","","","","","","","","150.4","","0.0","","150.4","","","",,"",,""
"1918-10","1918","10","","","","","","","","","","","69.9","","0.0","","69.9","","","",,"",,""
"1918-11","1918","11","","","","","","","","","","","48.5","","43.2","","91.7","","","",,"",,""
"1918-12","1918","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1919-01","1919","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1919-02","1919","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1919-03","1919","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1919-04","1919","04","","","","","","","","","","","31.5","","2.5","","34.0","","","",,"",,""
"1919-05","1919","05","","","","","","","","","","","25.1","","0.0","","25.1","","","",,"",,""
"1919-06","1919","06","","","","","","","","","","","21.3","","0.0","","21.3","","","",,"",,""
"1919-07","1919","07","","","","","","","","","","","105.4","","0.0","","105.4","","","",,"",,""
"1919-08","1919","08","","","","","","","","","","","91.9","","0.0","","91.9","","","",,"",,""
"1919-09","1919","09","","","","","","","","","","","71.9","","0.0","","71.9","","","",,"",,""
"1919-10","1919","10","","","","","","","","","","","68.1","","10.2","","78.2","","","",,"",,""
"1919-11","1919","11","","","","","","","","","","","0.0","","45.7","","45.7","","","",,"",,""
"1919-12","1919","12","","","","","","","","","","","0.0","","64.8","","64.8","","","",,"",,""
"1920-01","1920","01","","","","","","","","","","","0.0","","86.4","","86.4","","","",,"",,""
"1920-02","1920","02","","","","","","","","","","","0.0","","58.4","","58.4","","","",,"",,""
"1920-03","1920","03","","","","","","","","","","","20.3","","53.3","","73.7","","","",,"",,""
"1920-04","1920","04","","","","","","","","","","","67.3","","12.7","","80.0","","","",,"",,""
"1920-05","1920","05","","","","","","","","","","","136.7","","0.0","","136.7","","","",,"",,""
"1920-06","1920","06","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1920-07","1920","07","","","","","","","","","","","181.9","","0.0","","181.9","","","",,"",,""
"1920-08","1920","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1920-09","1920","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1920-10","1920","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1920-11","1920","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1920-12","1920","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1921-01","1921","01","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-02","1921","02","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-03","1921","03","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-04","1921","04","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-05","1921","05","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-06","1921","06","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-07","1921","07","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-08","1921","08","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1921-09","1921","09","19.6","","7.1","","13.4","","","","","","114.0","","0.0","","114.0","","","",,"",,""
