"Station Name","KETTLE GS"
"Province","MANITOBA"
"Latitude","56.38"
"Longitude","-94.65"
"Elevation","145.40"
"Climate Identifier","5061460"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1966-01","1966","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-06","1966","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-07","1966","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-08","1966","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-09","1966","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-10","1966","10","2.6","","-4.1","","-0.8","","15.0","","-17.8","","0.3","","35.6","","35.8","","13","",,"",,""
"1966-11","1966","11","-12.7","","-22.7","","-17.7","","1.7","","-33.9","","0.0","","22.9","","22.9","","28","",,"",,""
"1966-12","1966","12","-18.8","","-25.8","","-22.3","","-12.8","S","-41.1","","0.0","","26.2","","26.2","","38","",,"",,""
"1967-01","1967","01","-21.9","","-28.9","","-25.4","","-7.8","","-40.0","","0.0","","21.3","","21.3","","58","",,"",,""
"1967-02","1967","02","-21.1","","-31.3","","-26.2","","-5.6","","-41.1","S","0.0","","12.7","","12.7","","","M",,"",,""
"1967-03","1967","03","-11.5","","-23.3","","-17.4","","3.3","","-40.6","","0.0","","23.1","","23.1","","","M",,"",,""
"1967-04","1967","04","-4.0","","-16.3","","-10.2","","8.3","","-28.3","","2.5","","37.3","","39.9","","","M",,"",,""
"1967-05","1967","05","7.7","","-4.1","","1.8","","27.8","","-18.3","","5.8","","2.0","","7.9","","0","",,"",,""
"1967-06","1967","06","17.9","","5.1","","11.5","","30.0","","-6.1","S","57.4","","13.5","","70.9","","0","",,"",,""
"1967-07","1967","07","20.8","","9.9","","15.4","","29.4","","1.7","S","83.6","","0.0","","83.6","","0","",,"",,""
"1967-08","1967","08","21.4","","8.4","","14.9","","35.0","","-1.7","","63.2","","0.0","","63.2","","0","",,"",,""
"1967-09","1967","09","16.8","","4.4","","10.6","","32.2","","-7.8","","15.5","","0.0","T","15.5","","0","",,"",,""
"1967-10","1967","10","1.9","","-4.4","","-1.3","","11.7","","-13.9","S","8.9","","17.8","","26.7","","13","",,"",,""
