"Station Name","KINDERSLEY KY"
"Province","SASKATCHEWAN"
"Latitude","51.47"
"Longitude","-109.17"
"Elevation","683.40"
"Climate Identifier","4043920"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-02","1958","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-03","1958","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-04","1958","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-05","1958","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-06","1958","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1958-07","1958","07","25.4","","9.3","","17.4","","33.3","","2.2","","47.2","","0.0","","47.2","","0","",,"",,""
"1958-08","1958","08","27.1","","11.2","","19.2","","35.6","","3.3","","11.7","","0.0","","11.7","","0","",,"",,""
"1958-09","1958","09","18.6","","5.0","","11.8","","32.8","","-2.8","","55.4","","0.0","T","55.4","","0","",,"",,""
"1958-10","1958","10","14.1","","-0.6","","6.8","","22.8","","-10.6","","0.0","T","0.0","","0.0","T","0","",,"",,""
"1958-11","1958","11","-0.1","","-10.7","","-5.4","","17.2","","-26.7","","5.3","","25.9","","31.2","","28","",,"",,""
"1958-12","1958","12","-6.5","","-17.4","","-12.0","","6.1","","-30.0","S","2.5","","7.9","","10.4","","8","",,"",,""
"1959-01","1959","01","-13.5","","-24.2","","-18.9","","2.8","","-41.7","","0.0","","14.2","","14.2","","20","",,"",,""
"1959-02","1959","02","-8.9","","-21.6","","-15.3","","3.9","","-34.4","","0.0","T","9.7","","9.7","","13","",,"",,""
"1959-03","1959","03","4.2","","-5.8","","-0.8","","13.9","","-17.8","","0.0","T","5.1","","5.1","","5","",,"",,""
"1959-04","1959","04","11.6","","-2.5","","4.6","","23.9","","-13.3","","3.0","","3.6","","6.6","","0","",,"",,""
"1959-05","1959","05","16.2","","0.3","","8.3","","30.0","","-7.2","S","14.2","","0.0","T","14.2","","0","",,"",,""
"1959-06","1959","06","23.0","","8.1","","15.6","","31.1","S","2.8","","56.9","","0.0","","56.9","","0","",,"",,""
"1959-07","1959","07","27.2","","9.7","","18.5","","33.3","S","4.4","","22.9","","0.0","","22.9","","0","",,"",,""
"1959-08","1959","08","23.6","","7.8","","15.7","","35.0","","1.7","","37.6","","0.0","","37.6","","0","",,"",,""
