"Station Name","KISKA LO"
"Province","ALBERTA"
"Latitude","52.30"
"Longitude","-116.18"
"Elevation","2072.60"
"Climate Identifier","3053649"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1966-01","1966","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-02","1966","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-03","1966","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-04","1966","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-05","1966","05","9.1","","0.5","","4.8","","18.3","S","-6.7","","9.4","","51.8","","61.2","","0","",,"",,""
"1966-06","1966","06","10.5","","2.0","","6.3","","20.0","","-2.8","","58.4","E","12.7","","71.1","E","0","",,"",,""
"1966-07","1966","07","13.7","","5.2","","9.5","","20.6","","-0.6","","172.2","","6.4","","178.6","","0","",,"",,""
"1966-08","1966","08","13.4","","5.7","","9.6","","24.4","","-1.7","S","119.4","","5.1","","124.5","","0","",,"",,""
"1966-09","1966","09","12.8","","4.2","","8.5","","21.1","","-2.8","","19.1","","7.6","","26.7","","0","",,"",,""
"1966-10","1966","10","","M","","M","","M","12.2","","","M","","M","","M","","M","","M",,"",,""
"1966-11","1966","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1966-12","1966","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-01","1967","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-02","1967","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-03","1967","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-04","1967","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-05","1967","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-06","1967","06","","M","","M","","M","16.1","","-6.1","","50.5","","12.4","","63.0","","0","",,"",,""
"1967-07","1967","07","17.0","","6.2","","11.6","","24.4","","-1.1","","52.6","","4.6","","57.2","","0","",,"",,""
"1967-08","1967","08","18.8","E","7.8","E","13.3","E","25.6","","","M","29.0","","0.0","","29.0","","0","",,"",,""
"1967-09","1967","09","16.6","","6.3","","11.5","","23.9","S","-1.1","","9.4","","0.0","","9.4","","0","",,"",,""
"1967-10","1967","10","4.5","","-2.6","","1.0","","12.8","","-8.3","","23.4","","","M","","M","","M",,"",,""
"1967-11","1967","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1967-12","1967","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
