"Station Name","KIVITOO"
"Province","NUNAVUT"
"Latitude","67.97"
"Longitude","-64.92"
"Elevation","442.00"
"Climate Identifier","2402675"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1959-01","1959","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-02","1959","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-03","1959","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-04","1959","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-05","1959","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-06","1959","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1959-07","1959","07","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1959-08","1959","08","4.2","","-0.8","","1.7","","8.3","","-5.0","","1.5","","3.3","","4.8","","3","",,"",,""
"1959-09","1959","09","0.6","","-3.7","","-1.6","","7.8","","-8.3","","1.3","","35.1","","36.3","","8","",,"",,""
"1959-10","1959","10","-8.4","","-13.2","","-10.8","","-2.2","","-22.8","","0.0","","90.4","","90.4","","33","",,"",,""
"1959-11","1959","11","-12.4","","-15.6","","-14.0","","-1.1","","-20.0","","0.0","","20.3","","20.3","","41","",,"",,""
"1959-12","1959","12","-16.3","","-20.4","","-18.4","","-7.2","","-27.8","","0.0","","2.5","","2.5","","","M",,"",,""
"1960-01","1960","01","-19.1","","-23.7","","-21.4","","-3.3","","-35.0","","0.0","","0.8","","0.8","","","M",,"",,""
"1960-02","1960","02","-16.4","","-20.9","","-18.7","","0.0","","-29.4","S","0.0","","0.5","","0.5","","","M",,"",,""
"1960-03","1960","03","-21.3","","-27.3","","-24.3","","-3.3","","-35.6","","0.0","","0.5","","0.5","","46","",,"",,""
"1960-04","1960","04","-15.0","","-22.3","","-18.7","","-3.3","","-28.9","","0.0","","0.8","","0.8","","","M",,"",,""
"1960-05","1960","05","-4.0","","-9.9","","-7.0","","0.6","","-14.4","","0.0","","3.3","","3.3","","","M",,"",,""
"1960-06","1960","06","1.8","","-3.1","","-0.7","","7.8","","-7.2","","4.6","","0.8","","5.3","","","M",,"",,""
"1960-07","1960","07","9.6","","2.7","","6.2","","18.3","","-2.8","","2.8","","0.0","","2.8","","","M",,"",,""
"1960-08","1960","08","5.4","","0.6","","3.0","","13.9","","-2.8","","32.5","","0.5","","33.0","","","M",,"",,""
"1960-09","1960","09","0.4","","-4.2","","-1.9","","8.3","","-11.7","","26.4","","22.9","","49.3","","","M",,"",,""
"1960-10","1960","10","-3.7","","-8.0","","-5.9","","0.6","","-13.3","","0.0","","42.4","","42.4","","20","",,"",,""
"1960-11","1960","11","-9.8","","-13.4","","-11.6","","-5.0","","-21.1","","0.0","","28.4","","28.4","","48","",,"",,""
"1960-12","1960","12","-21.3","","-25.9","","-23.6","","-15.0","","-32.2","","","M","","M","","M","","M",,"",,""
"1961-01","1961","01","-28.0","","-31.8","","-29.9","","-18.9","","-42.8","","0.0","","0.0","","0.0","","58","",,"",,""
"1961-02","1961","02","-26.2","","-31.3","","-28.8","","-15.0","","-41.1","","0.0","","1.5","","1.5","","58","",,"",,""
"1961-03","1961","03","-29.2","","-34.6","","-31.9","","-15.6","","-40.0","S","0.0","","0.3","","0.3","","51","",,"",,""
"1961-04","1961","04","-11.4","","-17.3","","-14.4","","-3.9","","-28.9","","0.0","","2.5","","2.5","","18","",,"",,""
"1961-05","1961","05","-8.9","","-13.2","","-11.1","","1.7","","-19.4","","0.0","","9.7","","9.7","","23","",,"",,""
"1961-06","1961","06","3.2","","-1.4","","0.9","","12.8","","-8.3","","","M","","M","","M","0","T",,"",,""
"1961-07","1961","07","9.7","","3.5","","6.6","","21.7","","-1.1","S","0.5","","0.0","","0.5","","0","",,"",,""
"1961-08","1961","08","6.1","","2.2","","4.2","","16.1","","-2.2","","0.0","T","17.8","","17.8","","3","",,"",,""
"1961-09","1961","09","-2.2","","-4.4","","-3.3","","4.4","","-8.9","","0.8","","58.4","","59.2","","46","",,"",,""
"1961-10","1961","10","-7.7","","-11.1","","-9.4","","0.6","","-18.9","","0.0","T","47.0","","47.0","","","M",,"",,""
"1961-11","1961","11","-17.1","","-20.8","","-19.0","","-9.4","S","-26.1","","0.0","","2.5","","2.5","","86","",,"",,""
"1961-12","1961","12","-15.3","","-22.1","","-18.7","","-4.4","S","-32.8","","0.0","","8.9","","8.9","","86","",,"",,""
"1962-01","1962","01","-22.9","","-29.2","","-26.1","","-11.7","","-36.1","","0.0","","3.0","","3.0","","76","",,"",,""
"1962-02","1962","02","-26.8","","-32.2","","-29.5","","-18.3","S","-36.7","","0.0","","0.0","T","0.0","T","58","",,"",,""
"1962-03","1962","03","-13.4","","-19.3","","-16.4","","0.0","","-24.4","S","0.0","","11.4","","11.4","","64","",,"",,""
"1962-04","1962","04","-13.6","","-19.4","","-16.5","","-6.7","","-25.0","","0.0","","18.0","","18.0","","66","",,"",,""
"1962-05","1962","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","1.8","","-3.1","","-0.7","","7.2","","-7.2","S","0.0","T","15.2","","15.2","","0","",,"",,""
"1962-07","1962","07","10.4","","3.4","","6.9","","17.2","S","-3.9","","24.1","","0.0","","24.1","","0","",,"",,""
"1962-08","1962","08","7.1","","0.6","","3.9","","12.2","S","-2.8","S","31.2","","0.0","","31.2","","0","",,"",,""
"1962-09","1962","09","1.0","","-2.8","","-0.9","","8.9","","-7.2","S","0.0","","5.3","","5.3","","","M",,"",,""
"1962-10","1962","10","-7.5","","-10.2","","-8.9","","-1.7","","-14.4","S","0.0","","2.5","","2.5","","","M",,"",,""
"1962-11","1962","11","-13.1","","-15.8","","-14.5","","-7.8","S","-21.1","","0.0","","27.9","","27.9","","38","",,"",,""
"1962-12","1962","12","-18.0","","-21.4","","-19.7","","-14.4","","-26.1","","0.0","","17.8","","17.8","","56","",,"",,""
"1963-01","1963","01","-21.6","","-26.1","","-23.9","","-10.0","S","-34.4","","0.0","","7.6","","7.6","","66","",,"",,""
"1963-02","1963","02","-13.4","","-18.5","","-16.0","","5.6","","-27.8","","0.0","","0.0","","0.0","","","M",,"",,""
"1963-03","1963","03","-20.3","","-26.1","","-23.2","","-14.4","S","-33.9","","0.0","","0.0","","0.0","","48","",,"",,""
"1963-04","1963","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-05","1963","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-06","1963","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-07","1963","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-08","1963","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-09","1963","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-10","1963","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
