"Station Name","KYLE CDA EPF"
"Province","SASKATCHEWAN"
"Latitude","50.73"
"Longitude","-108.02"
"Elevation","685.80"
"Climate Identifier","4024120"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1954-01","1954","01","","","","","","","","","","","0.0","","34.3","","34.3","","","",,"",,""
"1954-02","1954","02","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1954-03","1954","03","","","","","","","","","","","0.0","","13.2","","13.2","","","",,"",,""
"1954-04","1954","04","","","","","","","","","","","0.0","","20.8","","20.8","","","",,"",,""
"1954-05","1954","05","","","","","","","","","","","57.4","","0.0","","57.4","","","",,"",,""
"1954-06","1954","06","","","","","","","","","","","77.7","","0.0","","77.7","","","",,"",,""
"1954-07","1954","07","","","","","","","","","","","53.8","","0.0","","53.8","","","",,"",,""
"1954-08","1954","08","","","","","","","","","","","68.6","","0.0","","68.6","","","",,"",,""
"1954-09","1954","09","","","","","","","","","","","87.6","","7.6","","95.3","","","",,"",,""
"1954-10","1954","10","","","","","","","","","","","11.4","","3.0","","14.5","","","",,"",,""
"1954-11","1954","11","","","","","","","","","","","3.8","","3.8","","7.6","","","",,"",,""
"1954-12","1954","12","","","","","","","","","","","0.0","","2.5","","2.5","","","",,"",,""
"1955-01","1955","01","","","","","","","","","","","0.0","","12.7","","12.7","","","",,"",,""
"1955-02","1955","02","","","","","","","","","","","0.0","","5.1","","5.1","","","",,"",,""
"1955-03","1955","03","","","","","","","","","","","0.0","","19.1","","19.1","","","",,"",,""
"1955-04","1955","04","","","","","","","","","","","40.9","","15.2","","56.1","","","",,"",,""
"1955-05","1955","05","","","","","","","","","","","67.6","","0.0","T","67.6","","","",,"",,""
"1955-06","1955","06","","","","","","","","","","","27.2","","0.0","","27.2","","","",,"",,""
"1955-07","1955","07","","","","","","","","","","","89.9","","0.0","","89.9","","","",,"",,""
"1955-08","1955","08","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1955-09","1955","09","","","","","","","","","","","24.9","","0.0","","24.9","","","",,"",,""
"1955-10","1955","10","","","","","","","","","","","0.0","","2.0","","2.0","","","",,"",,""
"1955-11","1955","11","","","","","","","","","","","0.0","","19.1","","19.1","","","",,"",,""
"1955-12","1955","12","","","","","","","","","","","0.0","","24.1","","24.1","","","",,"",,""
"1956-01","1956","01","","","","","","","","","","","0.0","","20.3","","20.3","","","",,"",,""
"1956-02","1956","02","","","","","","","","","","","0.0","","29.2","","29.2","","","",,"",,""
"1956-03","1956","03","","","","","","","","","","","0.0","","17.8","","17.8","","","",,"",,""
"1956-04","1956","04","","","","","","","","","","","0.0","","14.0","","14.0","","","",,"",,""
"1956-05","1956","05","","","","","","","","","","","12.4","","1.3","","13.7","","","",,"",,""
"1956-06","1956","06","","","","","","","","","","","88.4","","0.0","","88.4","","","",,"",,""
"1956-07","1956","07","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1956-08","1956","08","","","","","","","","","","","66.3","","0.0","","66.3","","","",,"",,""
"1956-09","1956","09","","","","","","","","","","","8.4","","0.0","","8.4","","","",,"",,""
"1956-10","1956","10","","","","","","","","","","","31.8","","11.4","","43.2","","","",,"",,""
"1956-11","1956","11","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1956-12","1956","12","","","","","","","","","","","0.0","","11.4","","11.4","","","",,"",,""
"1957-01","1957","01","","","","","","","","","","","0.0","","8.9","","8.9","","","",,"",,""
"1957-02","1957","02","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1957-03","1957","03","","","","","","","","","","","0.0","","18.3","","18.3","","","",,"",,""
"1957-04","1957","04","","","","","","","","","","","19.3","","0.0","","19.3","","","",,"",,""
"1957-05","1957","05","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1957-06","1957","06","","","","","","","","","","","31.8","","0.0","","31.8","","","",,"",,""
"1957-07","1957","07","","","","","","","","","","","45.2","","0.0","","45.2","","","",,"",,""
"1957-08","1957","08","","","","","","","","","","","14.5","","0.0","","14.5","","","",,"",,""
"1957-09","1957","09","","","","","","","","","","","2.3","","0.0","","2.3","","","",,"",,""
"1957-10","1957","10","","","","","","","","","","","17.3","","27.9","","45.2","","","",,"",,""
"1957-11","1957","11","","","","","","","","","","","2.8","","6.4","","9.1","","","",,"",,""
"1957-12","1957","12","","","","","","","","","","","0.0","","2.5","","2.5","","","",,"",,""
"1958-01","1958","01","","","","","","","","","","","0.0","","2.5","","2.5","","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","0.0","","20.3","","20.3","","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","0.0","","2.5","","2.5","","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","15.2","","0.0","","15.2","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","19.1","","0.0","","19.1","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","17.3","","0.0","","17.3","","","",,"",,""
