"Station Name","LAC BROMONT"
"Province","QUEBEC"
"Latitude","45.27"
"Longitude","-72.67"
"Elevation","137.20"
"Climate Identifier","7023568"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1968-01","1968","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-03","1968","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-04","1968","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-05","1968","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-06","1968","06","","","","","","","","","","","84.8","","0.0","","84.8","","0","",,"",,""
"1968-07","1968","07","","","","","","","","","","","146.1","","0.0","","146.1","","0","",,"",,""
"1968-08","1968","08","","","","","","","","","","","47.0","","0.0","","47.0","","0","",,"",,""
"1968-09","1968","09","","","","","","","","","","","78.0","","0.0","","78.0","","0","",,"",,""
"1968-10","1968","10","","","","","","","","","","","87.9","","0.0","","87.9","","0","",,"",,""
"1968-11","1968","11","","","","","","","","","","","108.2","","42.7","","150.9","","","M",,"",,""
"1968-12","1968","12","","","","","","","","","","","21.6","","117.3","","138.9","","43","",,"",,""
"1969-01","1969","01","","","","","","","","","","","45.5","","94.2","","139.7","","41","",,"",,""
"1969-02","1969","02","","","","","","","","","","","0.0","","66.5","","66.5","","69","",,"",,""
"1969-03","1969","03","","","","","","","","","","","39.1","","54.9","","94.0","","56","",,"",,""
"1969-04","1969","04","","","","","","","","","","","48.0","E","8.1","","56.1","E","0","",,"",,""
"1969-05","1969","05","","","","","","","","","","","121.7","","0.0","","121.7","","0","",,"",,""
"1969-06","1969","06","","","","","","","","","","","145.3","","0.0","","145.3","","0","",,"",,""
"1969-07","1969","07","","","","","","","","","","","49.3","","0.0","","49.3","","0","",,"",,""
"1969-08","1969","08","","","","","","","","","","","83.8","","0.0","","83.8","","0","",,"",,""
"1969-09","1969","09","","","","","","","","","","","43.7","","0.0","","43.7","","0","",,"",,""
"1969-10","1969","10","","","","","","","","","","","79.8","","2.5","","82.3","","0","",,"",,""
"1969-11","1969","11","","","","","","","","","","","125.0","","20.1","","145.0","","","M",,"",,""
"1969-12","1969","12","","","","","","","","","","","34.0","","82.8","","116.8","","53","",,"",,""
"1970-01","1970","01","","","","","","","","","","","1.0","","29.0","","30.0","","51","",,"",,""
"1970-02","1970","02","","","","","","","","","","","12.7","","30.5","","43.2","","61","",,"",,""
"1970-03","1970","03","","","","","","","","","","","21.1","","34.3","","55.4","","51","",,"",,""
"1970-04","1970","04","","","","","","","","","","","60.7","","9.4","","70.1","","0","",,"",,""
"1970-05","1970","05","","","","","","","","","","","148.3","","5.1","","153.4","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","94.5","","0.0","","94.5","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","57.2","","0.0","","57.2","","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","123.7","","0.0","","123.7","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","142.2","","0.0","","142.2","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","80.3","","0.0","","80.3","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","52.1","","12.7","","64.8","","0","",,"",,""
"1970-12","1970","12","","","","","","","","","","","0.0","","135.4","","135.4","","66","",,"",,""
"1971-01","1971","01","","","","","","","","","","","7.6","","52.1","","59.7","","64","",,"",,""
"1971-02","1971","02","","","","","","","","","","","22.6","","53.8","","76.5","","56","",,"",,""
"1971-03","1971","03","","","","","","","","","","","15.2","","120.4","","135.6","","56","",,"",,""
"1971-04","1971","04","","","","","","","","","","","64.0","","4.1","","68.1","","0","",,"",,""
"1971-05","1971","05","","","","","","","","","","","75.4","","0.0","","75.4","","0","",,"",,""
"1971-06","1971","06","","","","","","","","","","","95.3","","0.0","","95.3","","0","",,"",,""
"1971-07","1971","07","","","","","","","","","","","146.1","","0.0","","146.1","","0","",,"",,""
"1971-08","1971","08","","","","","","","","","","","238.3","","0.0","","238.3","","0","",,"",,""
"1971-09","1971","09","","","","","","","","","","","133.6","","0.0","","133.6","","0","",,"",,""
"1971-10","1971","10","","","","","","","","","","","49.5","","0.0","","49.5","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","36.8","","56.1","","93.0","","30","",,"",,""
"1971-12","1971","12","","","","","","","","","","","53.8","","44.2","","98.0","","13","",,"",,""
"1972-01","1972","01","","","","","","","","","","","24.1","","50.8","","74.9","","8","",,"",,""
"1972-02","1972","02","","","","","","","","","","","0.0","T","76.7","","76.7","","30","",,"",,""
"1972-03","1972","03","","","","","","","","","","","40.1","","71.4","","111.5","","20","",,"",,""
"1972-04","1972","04","","","","","","","","","","","55.9","","16.8","","72.6","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","77.5","E","0.0","","77.5","E","","M",,"",,""
"1972-06","1972","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","155.4","","0.0","","155.4","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","145.3","E","0.0","","145.3","E","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","63.5","E","0.0","","63.5","E","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","107.2","","0.0","T","107.2","","","M",,"",,""
"1972-11","1972","11","","","","","","","","","","","103.9","","27.9","","131.8","","","M",,"",,""
"1972-12","1972","12","","","","","","","","","","","85.6","","","M","","M","","M",,"",,""
"1973-01","1973","01","","","","","","","","","","","52.1","","66.5","","118.6","","41","",,"",,""
"1973-02","1973","02","","","","","","","","","","","30.5","","62.5","","93.0","","28","",,"",,""
"1973-03","1973","03","","","","","","","","","","","80.5","","23.4","","103.9","","0","",,"",,""
"1973-04","1973","04","","","","","","","","","","","52.1","","11.9","","64.0","","","M",,"",,""
"1973-05","1973","05","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-07","1973","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-08","1973","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-09","1973","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-10","1973","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-11","1973","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
