"Station Name","LAC CARDINAL"
"Province","ALBERTA"
"Latitude","56.27"
"Longitude","-117.77"
"Elevation","649.20"
"Climate Identifier","3073677"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01","1989","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-03","1989","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-04","1989","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-05","1989","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-06","1989","06","21.2","E","6.8","E","14.0","E","","M","","M","","M","0.0","","","M","0","",,"",,""
"1989-07","1989","07","23.5","","9.1","","16.3","","30.0","","3.0","","66.7","","0.0","","66.7","","0","",,"",,""
"1989-08","1989","08","20.8","E","9.7","E","15.3","E","28.5","","0.0","","129.4","","0.0","","129.4","","0","",,"",,""
"1989-09","1989","09","14.7","","1.8","","8.3","","23.0","","-3.5","","54.6","","5.5","","60.1","","0","",,"",,""
"1989-10","1989","10","7.5","","-4.6","","1.5","","19.5","","-14.0","","4.0","","11.0","","15.0","","","M",,"",,""
"1989-11","1989","11","-2.3","E","-14.5","E","-8.4","E","7.0","S","-30.0","","22.0","","21.6","","41.6","","","M",,"",,""
"1989-12","1989","12","-4.3","","-14.8","","-9.6","","7.5","","-38.0","S","4.0","","18.0","","22.0","","","M",,"",,""
"1990-01","1990","01","-5.9","E","-17.7","E","-11.8","E","","M","","M","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","-9.4","","-25.3","","-17.4","","8.0","","-41.5","","0.0","","27.0","","27.0","","","M",,"",,""
"1990-03","1990","03","3.2","","-11.2","","-4.0","","9.5","","-25.5","","0.0","","16.0","","16.0","","","M",,"",,""
"1990-04","1990","04","8.1","","-4.1","","2.0","","16.5","","-13.0","S","6.5","","11.0","","17.5","","","M",,"",,""
"1990-05","1990","05","16.9","E","2.5","","9.7","E","26.0","S","-6.0","","20.3","","0.0","","20.3","","0","",,"",,""
"1990-06","1990","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-07","1990","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-08","1990","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-09","1990","09","18.6","","2.3","E","10.5","E","26.0","","-3.5","","11.6","","0.0","","11.6","","0","",,"",,""
"1990-10","1990","10","4.8","","-5.3","","-0.3","","12.5","","-15.0","","24.0","","24.0","","48.0","","2","E",,"",,""
"1990-11","1990","11","-9.5","","-21.5","","-15.5","","5.0","","-38.5","","0.0","","38.0","E","38.0","E","","M",,"",,""
"1990-12","1990","12","-11.8","","-25.5","","-18.7","","5.5","","-43.0","S","0.0","","16.0","","16.0","","","",,"",,""
"1991-01","1991","01","-8.6","","-21.4","","-15.0","","5.0","S","-43.0","","0.0","","7.0","","7.0","","","",,"",,""
"1991-02","1991","02","-0.7","E","-13.1","","-6.9","E","8.5","E","-32.0","","0.0","I","17.0","","17.0","I","","",,"",,""
"1991-03","1991","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-04","1991","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-05","1991","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-06","1991","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-07","1991","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-08","1991","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-09","1991","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-10","1991","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-11","1991","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-12","1991","12","","","","","","","","","","","","","","","","","","",,"",,""
"1992-01","1992","01","","","","","","","","","","","","","","","","","","",,"",,""
"1992-02","1992","02","","","","","","","","","","","","","","","","","","",,"",,""
"1992-03","1992","03","","","","","","","","","","","","","","","","","","",,"",,""
"1992-04","1992","04","","","","","","","","","","","","","","","","","","",,"",,""
"1992-05","1992","05","","","","","","","","","","","","","","","","","","",,"",,""
"1992-06","1992","06","","","","","","","","","","","","","","","","","","",,"",,""
"1992-07","1992","07","","","","","","","","","","","","","","","","","","",,"",,""
"1992-08","1992","08","","","","","","","","","","","","","","","","","","",,"",,""
"1992-09","1992","09","","","","","","","","","","","","","","","","","","",,"",,""
"1992-10","1992","10","","","","","","","","","","","","","","","","","","",,"",,""
"1992-11","1992","11","","","","","","","","","","","","","","","","","","",,"",,""
"1992-12","1992","12","","","","","","","","","","","","","","","","","","",,"",,""
"1993-01","1993","01","-10.5","","-24.7","","-17.6","","10.0","","-38.0","","0.0","","27.0","","27.0","","","",,"",,""
"1993-02","1993","02","-5.5","","-18.9","E","-12.2","E","7.5","","-31.0","","0.0","","21.0","","21.0","","","",,"",,""
"1993-03","1993","03","4.3","E","-7.6","","-1.3","E","10.0","B","-26.0","S","2.0","E","2.0","","4.0","E","","",,"",,""
"1993-04","1993","04","10.4","","-2.7","","3.9","","19.0","","-7.0","","3.0","","18.0","","21.0","","","M",,"",,""
"1993-05","1993","05","17.8","","3.4","","10.6","","25.5","","-4.0","","28.0","","0.0","","28.0","","0","",,"",,""
"1993-06","1993","06","19.6","E","6.0","E","12.8","E","27.0","E","2.0","E","103.0","","0.0","","103.0","","0","",,"",,""
"1993-07","1993","07","20.1","E","8.0","E","13.9","E","24.0","B","2.0","E","70.8","","0.0","","70.8","","0","",,"",,""
"1993-08","1993","08","20.4","E","5.7","E","12.9","E","27.0","E","-1.0","E","39.5","","0.0","","39.5","","0","",,"",,""
"1993-09","1993","09","16.2","","1.6","E","8.9","E","25.0","","-6.0","","57.4","","0.0","","57.4","","0","",,"",,""
"1993-10","1993","10","9.3","E","-4.1","E","2.5","E","23.0","E","-12.0","E","6.0","I","0.0","I","6.0","I","","",,"",,""
"1993-11","1993","11","1.0","I","-8.1","I","-3.2","I","7.0","I","-15.0","I","3.0","I","4.0","I","7.0","I","","",,"",,""
"1993-12","1993","12","-2.4","","-13.6","","-8.0","","4.0","S","-25.0","","0.0","","18.0","","18.0","","","",,"",,""
"1994-01","1994","01","-16.3","E","-25.5","E","-21.7","I","3.0","E","-43.0","E","0.0","","75.0","E","75.0","E","","M",,"",,""
"1994-02","1994","02","-17.2","E","-29.7","","-23.5","E","5.0","","-43.0","S","0.0","","35.0","","35.0","","","M",,"",,""
"1994-03","1994","03","4.0","E","-9.3","E","-2.6","E","12.0","","-27.0","","0.0","","4.0","","4.0","","","M",,"",,""
"1994-04","1994","04","9.4","E","-3.6","","2.9","E","21.0","","-13.5","","0.0","T","0.0","T","0.0","T","","M",,"",,""
"1994-05","1994","05","17.5","","2.2","","9.9","","25.5","","-2.5","","24.2","","0.0","","24.2","","0","",,"",,""
"1994-06","1994","06","20.0","I","6.9","I","13.4","I","27.0","I","1.0","I","51.9","I","0.0","","51.9","I","0","",,"",,""
"1994-07","1994","07","25.9","I","11.1","I","18.6","I","30.0","I","5.5","I","12.8","I","0.0","","12.8","I","0","",,"",,""
"1994-08","1994","08","22.9","E","7.8","E","15.3","E","30.0","","1.0","","51.1","","0.0","","51.1","","0","",,"",,""
"1994-09","1994","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-10","1994","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-11","1994","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-12","1994","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1995-01","1995","01","-10.6","I","-21.4","E","-16.1","I","-1.0","I","-32.0","B","0.0","","1.0","I","1.0","I","","",,"",,""
"1995-02","1995","02","-10.0","E","-22.9","E","-16.5","E","-2.0","S","-36.5","E","0.0","","20.0","","20.0","","","",,"",,""
"1995-03","1995","03","-2.6","","-17.2","E","-9.9","E","10.0","","-41.0","","0.0","","10.0","","10.0","","","",,"",,""
"1995-04","1995","04","7.3","","-3.9","","1.7","","15.0","","-17.0","","2.0","I","21.0","I","23.0","I","0","",,"",,""
"1995-05","1995","05","17.9","E","1.4","","9.7","E","29.0","","-5.0","","25.9","","0.0","","25.9","","0","",,"",,""
"1995-06","1995","06","21.5","E","6.4","E","14.0","E","27.5","","3.0","S","42.3","","0.0","","42.3","","0","",,"",,""
"1995-07","1995","07","20.4","E","7.5","E","14.0","E","26.0","S","2.5","","81.5","","0.0","","81.5","","0","",,"",,""
"1995-08","1995","08","18.8","E","3.6","","11.2","E","23.5","","-2.0","","30.2","","0.0","","30.2","","0","",,"",,""
"1995-09","1995","09","19.5","E","0.9","E","10.2","E","27.0","","-10.0","","4.0","E","0.0","","4.0","E","0","",,"",,""
"1995-10","1995","10","7.9","E","-4.0","E","2.0","E","18.0","","-15.0","E","4.0","","15.5","E","19.5","E","","",,"",,""
"1995-11","1995","11","-7.5","I","-17.4","I","-12.1","I","2.0","I","-33.5","I","3.5","E","27.0","I","30.5","I","","",,"",,""
"1995-12","1995","12","-13.1","E","-24.0","E","-18.6","E","1.0","","-45.0","","0.0","T","31.0","","31.0","","","",,"",,""
"1996-01","1996","01","-19.4","E","-34.8","E","-27.1","E","1.0","","-49.0","S","0.0","","20.0","","20.0","","","",,"",,""
"1996-02","1996","02","-6.7","E","-21.1","E","-13.9","E","7.0","S","-40.0","E","0.0","","17.0","","17.0","","","",,"",,""
"1996-03","1996","03","-4.0","E","-18.7","E","-11.4","E","10.0","","-37.0","","0.0","","17.5","E","17.5","E","","",,"",,""
"1996-04","1996","04","7.7","","-3.8","","2.0","","14.5","S","-22.0","","18.3","","9.0","","27.3","","0","E",,"",,""
"1996-05","1996","05","11.9","E","0.1","E","6.0","E","21.0","","-9.0","","34.4","E","7.0","","41.4","E","0","",,"",,""
"1996-06","1996","06","17.8","E","4.9","E","11.4","E","23.5","","0.0","","100.4","E","0.0","","100.4","E","0","",,"",,""
"1996-07","1996","07","19.9","E","8.2","E","14.1","E","28.0","","2.0","","97.8","E","0.0","","97.8","E","0","",,"",,""
"1996-08","1996","08","20.4","","6.1","","13.3","","28.0","","1.0","S","59.3","","0.0","","59.3","","0","",,"",,""
"1996-09","1996","09","13.2","E","0.5","E","6.9","E","25.0","","-6.0","","27.1","","0.0","","27.1","","0","",,"",,""
"1996-10","1996","10","6.0","E","-6.1","E","0.0","E","20.0","","-22.0","","12.8","","22.0","E","34.8","E","","M",,"",,""
"1996-11","1996","11","-8.7","E","-17.5","E","-13.1","E","7.0","E","-36.0","","0.0","","49.0","E","49.0","E","","",,"",,""
