"Station Name","LAC LA BICHE RS"
"Province","ALBERTA"
"Latitude","54.77"
"Longitude","-112.97"
"Elevation","562.40"
"Climate Identifier","3063690"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-06","1972","06","20.3","","8.6","","14.5","","26.7","","-2.2","","100.8","","0.0","","100.8","","0","",,"",,""
"1972-07","1972","07","19.4","","7.7","","13.6","","23.9","","1.7","","103.1","","0.0","","103.1","","0","",,"",,""
"1972-08","1972","08","22.6","","10.6","","16.6","","27.2","S","5.6","","62.2","","0.0","","62.2","","0","",,"",,""
"1972-09","1972","09","9.3","","0.1","","4.7","","20.6","","-6.7","S","28.2","","12.7","","40.9","","","M",,"",,""
"1972-10","1972","10","7.1","","-3.6","","1.8","","20.0","","-13.9","","16.3","","0.0","T","16.3","","0","",,"",,""
"1972-11","1972","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-12","1972","12","-13.6","","-21.6","","-17.6","","0.6","","-32.2","","0.0","","21.8","","21.8","","","M",,"",,""
"1973-01","1973","01","-9.2","","-19.3","","-14.3","","7.8","","-36.7","","0.0","","16.3","E","16.3","E","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","18.1","","7.9","","13.0","","27.8","","0.0","","54.4","","0.0","","54.4","","0","",,"",,""
"1973-06","1973","06","20.1","","11.5","","15.8","","30.0","","2.2","","162.1","","0.0","","162.1","","0","",,"",,""
"1973-07","1973","07","21.6","","12.6","","17.1","","25.6","","10.0","S","72.4","","0.0","","72.4","","0","",,"",,""
"1973-08","1973","08","21.3","","10.4","","15.9","","27.8","","1.7","","130.3","","0.0","","130.3","","0","",,"",,""
"1973-09","1973","09","16.4","","5.5","","11.0","","23.9","S","-3.3","","69.3","","0.0","","69.3","","0","",,"",,""
"1973-10","1973","10","12.4","","0.3","","6.4","","15.6","S","-11.1","","","M","","M","","M","","M",,"",,""
"1973-11","1973","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-01","1974","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-03","1974","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-04","1974","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-05","1974","05","13.1","E","2.6","","7.9","E","23.3","S","-6.7","","22.4","E","2.5","E","24.9","E","0","",,"",,""
"1974-06","1974","06","20.4","","8.2","","14.3","","27.8","","2.2","","30.2","","0.0","","30.2","","0","",,"",,""
"1974-07","1974","07","21.2","","9.8","E","15.5","E","26.1","S","4.4","","90.9","","0.0","","90.9","","0","",,"",,""
"1974-08","1974","08","18.2","","7.3","","12.8","","27.2","","1.1","","31.5","","0.0","","31.5","","0","",,"",,""
"1974-09","1974","09","13.2","E","1.6","","7.4","E","","M","-7.2","","45.7","","6.4","","62.7","","","M",,"",,""
"1974-10","1974","10","12.1","","-1.1","","5.5","","24.4","","-10.6","","11.7","","1.0","","12.7","","0","",,"",,""
"1974-11","1974","11","1.1","","-7.8","","-3.4","","13.9","","-18.3","","3.8","","12.7","","16.5","","","M",,"",,""
"1974-12","1974","12","-2.3","E","-11.6","","-7.0","E","5.6","S","-20.6","","0.0","","0.5","","0.5","","0","",,"",,""
"1975-01","1975","01","-10.1","","-20.4","","-15.3","","1.1","","-36.1","","0.0","","18.0","","18.0","","","M",,"",,""
"1975-02","1975","02","-9.7","","-24.4","","-17.1","","12.8","","-43.3","","0.0","","26.9","","26.9","","","M",,"",,""
