"Station Name","LAC LE JEUNE WALLOPER LK"
"Province","BRITISH COLUMBIA"
"Latitude","50.48"
"Longitude","-120.53"
"Elevation","1305.00"
"Climate Identifier","1124460"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1957-01","1957","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-02","1957","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-03","1957","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-04","1957","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-05","1957","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-06","1957","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-07","1957","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-08","1957","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-09","1957","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-10","1957","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1957-11","1957","11","3.2","","-6.3","","-1.6","","8.3","","-14.4","","0.0","","19.3","","19.3","","","",,"",,""
"1957-12","1957","12","1.1","","-10.2","","-4.6","","6.7","S","-20.6","","0.0","","34.5","","34.5","","","",,"",,""
"1958-01","1958","01","","","","","","","","","","","","","","","","","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","","","","","","","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","","","","","","","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","","","","","","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","","","","","","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","","","","","","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","","","","","","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","","","","","","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","","","","","","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","","","","","","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","","","","","","","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","","","","","","","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","","","","","","","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","","","","","","","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","","","","","","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","","","","","","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","","","","","","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","","","","","","","","",,"",,""
