"Station Name","LADNER CREEK"
"Province","BRITISH COLUMBIA"
"Latitude","49.50"
"Longitude","-121.25"
"Elevation","807.10"
"Climate Identifier","1114474"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","5.5","","-3.2","","1.2","","9.0","","-7.0","S","0.0","T","129.1","","129.1","","","M",,"",,""
"1982-04","1982","04","7.0","","-2.3","","2.4","","16.0","","-7.0","","0.0","T","135.0","","135.0","","","M",,"",,""
"1982-05","1982","05","12.6","","1.3","","7.0","","20.5","","-1.5","S","11.4","","0.0","","11.4","","0","",,"",,""
"1982-06","1982","06","20.3","","6.3","","13.3","","30.0","S","1.5","","43.0","","0.0","","43.0","","0","",,"",,""
"1982-07","1982","07","19.2","","7.3","","13.3","","34.0","","3.0","","252.3","","0.0","","252.3","","0","",,"",,""
"1982-08","1982","08","20.1","","7.1","","13.6","","32.0","","1.0","S","77.9","","0.0","","77.9","","0","",,"",,""
"1982-09","1982","09","16.3","","6.9","","11.6","","25.5","","3.0","S","201.7","","0.0","","201.7","","0","",,"",,""
"1982-10","1982","10","10.1","","2.1","","6.1","","19.0","","-3.0","","235.4","","0.0","T","235.4","","0","",,"",,""
"1982-11","1982","11","1.3","","-3.8","","-1.3","","8.0","","-15.5","","","M","","M","","M","17","",,"",,""
"1982-12","1982","12","0.8","","-4.0","","-1.6","","6.0","S","-9.0","S","","M","","M","","M","74","",,"",,""
"1983-01","1983","01","3.5","","-1.2","","1.2","","8.0","","-7.0","","253.8","","150.0","","403.8","","84","",,"",,""
"1983-02","1983","02","3.6","","-1.3","","1.2","","7.0","","-10.0","","176.5","","36.0","","212.5","","62","",,"",,""
"1983-03","1983","03","7.1","","0.0","","3.6","","10.5","","-3.0","","142.3","","28.0","","170.3","","0","",,"",,""
"1983-04","1983","04","10.6","","1.0","","5.8","","18.0","","-2.0","","75.6","","25.0","","100.6","","","M",,"",,""
"1983-05","1983","05","15.5","","5.4","","10.5","","34.0","","1.5","","50.8","","0.0","","50.8","","0","",,"",,""
"1983-06","1983","06","15.6","","7.4","","11.5","","24.5","","5.0","S","183.1","","0.0","","183.1","","0","",,"",,""
"1983-07","1983","07","17.9","","8.7","","13.3","","31.0","","3.0","","323.9","","0.0","","323.9","","0","",,"",,""
"1983-08","1983","08","21.6","","10.2","","15.9","","28.0","","7.0","","36.3","","0.0","","36.3","","0","",,"",,""
"1983-09","1983","09","13.3","","4.8","","9.1","","22.0","","-2.0","","208.1","","0.0","","208.1","","0","",,"",,""
"1983-10","1983","10","9.5","","2.8","","6.2","","16.0","","-4.5","","148.4","","0.0","","148.4","","0","",,"",,""
"1983-11","1983","11","3.6","","0.3","","2.0","","12.0","","-7.0","","292.4","","79.8","","372.2","","30","",,"",,""
"1983-12","1983","12","-4.7","","-10.3","","-7.5","","2.5","","-22.0","S","30.5","","115.5","","146.0","","83","",,"",,""
"1984-01","1984","01","1.7","","-2.7","","-0.5","","7.5","","-15.0","","509.9","","50.0","","559.9","","45","",,"",,""
"1984-02","1984","02","3.0","","-1.2","","0.9","","6.0","S","-6.0","S","90.7","","142.5","","233.2","","110","",,"",,""
"1984-03","1984","03","6.2","","0.4","","3.3","","12.0","S","-3.0","","128.9","","34.0","","162.9","","75","",,"",,""
"1984-04","1984","04","7.2","","0.4","","3.8","","18.5","S","-4.0","","96.1","","75.0","","171.1","","30","",,"",,""
"1984-05","1984","05","9.3","","2.0","","5.7","","23.0","","0.0","S","292.2","E","14.7","E","306.9","E","0","",,"",,""
"1984-06","1984","06","15.1","","6.5","","10.8","","25.0","","3.0","S","154.9","","0.0","","154.9","","0","",,"",,""
"1984-07","1984","07","21.5","","9.3","","15.4","","33.0","","5.0","","31.4","","0.0","","31.4","","0","",,"",,""
"1984-08","1984","08","19.8","","9.5","","14.7","","29.0","","5.5","","107.8","","0.0","","107.8","","0","",,"",,""
"1984-09","1984","09","13.9","","5.4","","9.7","","21.0","","-1.0","","199.9","","0.0","","199.9","","0","",,"",,""
"1984-10","1984","10","7.2","","1.0","","4.1","","20.0","","-19.5","","227.9","","93.0","E","320.9","E","42","",,"",,""
"1984-11","1984","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-12","1984","12","-2.1","","-7.9","","-5.0","","4.0","","-20.0","","26.6","","195.8","","222.4","","","M",,"",,""
"1985-01","1985","01","1.5","E","-4.5","","-1.5","E","6.0","","-13.0","","","M","","M","","M","","M",,"",,""
"1985-02","1985","02","2.6","E","-5.0","","-1.2","E","7.0","","-19.0","","","M","","M","","M","","M",,"",,""
"1985-03","1985","03","6.0","","-2.4","","1.8","","10.0","S","-8.0","","36.6","E","71.0","","107.6","E","","M",,"",,""
"1985-04","1985","04","6.9","","0.5","","3.7","","18.0","","-4.0","","297.0","E","75.0","E","372.0","E","","M",,"",,""
"1985-05","1985","05","12.7","","3.0","","7.9","","21.0","","-1.0","S","94.0","E","26.0","","120.0","E","","M",,"",,""
"1985-06","1985","06","17.9","","5.2","","11.6","","30.0","S","2.0","S","35.4","E","0.0","","35.4","E","0","",,"",,""
"1985-07","1985","07","27.4","","10.5","","19.0","","33.5","","6.0","","1.0","","0.0","","1.0","","0","",,"",,""
"1985-08","1985","08","21.2","","8.7","","15.0","","27.0","S","6.0","S","36.8","E","0.0","","36.8","E","0","",,"",,""
"1985-09","1985","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-10","1985","10","7.5","","1.7","","4.6","","15.0","","-4.0","","750.2","E","91.2","E","841.4","E","","M",,"",,""
"1985-11","1985","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-12","1985","12","0.9","","-5.4","","-2.3","","5.0","S","-20.0","S","","M","","M","","M","","M",,"",,""
"1986-01","1986","01","2.7","","-1.9","","0.4","","9.0","","-9.0","","","M","","M","","M","","M",,"",,""
"1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","6.3","","-0.3","","3.0","","12.0","","-3.0","S","212.0","E","35.0","E","247.0","E","","M",,"",,""
"1986-04","1986","04","5.8","","0.1","","3.0","","16.0","","-5.0","","","M","","M","","M","","M",,"",,""
"1986-05","1986","05","11.9","","2.8","","7.4","","28.0","","0.0","S","","M","","M","","M","0","",,"",,""
"1986-06","1986","06","19.6","","7.8","","13.7","","30.0","","4.0","","73.1","","0.0","","73.1","","0","",,"",,""
"1986-07","1986","07","17.4","","8.7","","13.1","","27.0","","4.0","","172.5","","0.0","","172.5","","0","",,"",,""
"1986-08","1986","08","24.8","","11.1","","18.0","","33.0","","7.0","","11.0","","0.0","","11.0","","0","",,"",,""
"1986-09","1986","09","14.3","E","6.2","","10.3","E","24.0","","2.5","","","M","","M","","M","0","",,"",,""
"1986-10","1986","10","11.8","","3.4","","7.6","","17.0","S","1.0","","245.0","E","0.0","","245.0","E","0","",,"",,""
"1986-11","1986","11","0.9","E","-4.6","E","-1.9","E","9.5","","-14.0","S","","M","","M","","M","","M",,"",,""
"1986-12","1986","12","-0.2","","-4.6","","-2.4","","5.0","","-10.0","","","M","","M","","M","","M",,"",,""
"1987-01","1987","01","0.1","","-4.7","","-2.3","","11.0","","-14.5","","34.0","E","279.0","E","313.0","E","","M",,"",,""
"1987-02","1987","02","2.7","E","-1.8","E","0.5","E","6.0","","-10.0","","14.5","E","166.5","E","181.0","E","","M",,"",,""
"1987-03","1987","03","5.4","","-1.3","E","2.1","E","13.0","","-9.0","","83.4","","61.0","E","144.4","E","","M",,"",,""
"1987-04","1987","04","8.3","","1.1","","4.7","","14.0","","-2.0","","332.9","","49.0","","381.9","","","M",,"",,""
"1987-05","1987","05","13.8","","3.6","","8.7","","25.0","","0.0","S","232.2","","0.0","T","232.2","","0","",,"",,""
