"Station Name","LANGARA ISLAND RCS"
"Province","BRITISH COLUMBIA"
"Latitude","54.26"
"Longitude","-133.06"
"Elevation","46.90"
"Climate Identifier","1054503"
"WMO Identifier","71903"
"TC Identifier","WJU"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01","1992","01","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-02","1992","02","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-03","1992","03","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-04","1992","04","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-05","1992","05","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-06","1992","06","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-07","1992","07","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-08","1992","08","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-09","1992","09","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-10","1992","10","","","","M","","","","","","","","","","","","M","","",,"",,""
"1992-11","1992","11","","","0.0","","","","","","","","","","","","199.8","","","",,"",,""
"1992-12","1992","12","","","","M","","","","","","","","","","","","M","","",,"",,""
"1993-01","1993","01","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1993-02","1993","02","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1993-03","1993","03","","","","","","","","","","","","","","","105.0","","","",,"",,""
"1993-04","1993","04","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1993-05","1993","05","","","","","","","","","","","","","","","63.0","","","",,"",,""
"1993-06","1993","06","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1993-07","1993","07","","","","","","","","","","","","","","","32.6","","","",,"",,""
"1993-08","1993","08","","","","","","","","","","","","","","","21.6","","","",,"",,""
"1993-09","1993","09","","","","","","","","","","","","","","","74.4","","","",,"",,""
"1993-10","1993","10","12.5","I","8.4","I","10.4","I","15.3","I","6.3","I","","","","","","","","",,"",,""
"1993-11","1993","11","8.7","","4.8","","6.8","","13.1","","-1.4","","","","","","217.4","","","",,"",,""
"1993-12","1993","12","7.8","","4.5","E","6.2","E","11.0","","1.0","E","","","","","183.2","","","",,"",,""
"1994-01","1994","01","7.7","","4.7","E","6.2","E","10.0","","1.3","E","","","","","194.3","","","",,"",,""
"1994-02","1994","02","3.4","E","0.3","E","1.9","E","8.3","E","-6.8","E","","","","","41.6","I","","",,"",,""
"1994-03","1994","03","8.0","E","3.4","E","5.6","E","14.4","E","0.3","E","","","","","106.0","","","",,"",,""
"1994-04","1994","04","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-05","1994","05","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-06","1994","06","13.1","E","9.2","E","11.2","E","15.7","S","7.4","E","","","","","117.0","","","",,"",,""
"1994-07","1994","07","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-08","1994","08","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-09","1994","09","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-10","1994","10","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-11","1994","11","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-12","1994","12","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1995-01","1995","01","","","","","","","","","","","","","","","","","","",,"",,""
"1995-02","1995","02","","","","","","","","","","","","","","","","","","",,"",,""
"1995-03","1995","03","","","","","","","","","","","","","","","","","","",,"",,""
"1995-04","1995","04","10.1","","4.6","E","7.4","E","17.3","","1.7","","","","","","78.8","E","","",,"",,""
