"Station Name","LANGLEY CENTRE"
"Province","BRITISH COLUMBIA"
"Latitude","49.08"
"Longitude","-122.62"
"Elevation","59.40"
"Climate Identifier","1104554"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1988-01","1988","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-02","1988","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-03","1988","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-04","1988","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-05","1988","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-06","1988","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-07","1988","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-08","1988","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-09","1988","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1988-10","1988","10","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1988-11","1988","11","","","","","","","","","","","230.0","E","2.5","E","232.5","E","0","",,"",,""
"1988-12","1988","12","","","","","","","","","","","187.0","E","9.3","E","196.3","E","0","",,"",,""
"1989-01","1989","01","","","","","","","","","","","181.3","E","26.8","E","208.1","E","0","",,"",,""
"1989-02","1989","02","","","","","","","","","","","46.9","E","15.7","E","62.6","E","0","",,"",,""
"1989-03","1989","03","","","","","","","","","","","149.8","","0.0","T","149.8","","0","",,"",,""
"1989-04","1989","04","","","","","","","","","","","73.9","","0.0","","73.9","","0","",,"",,""
