"Station Name","LANGLEY PRAIRIE"
"Province","BRITISH COLUMBIA"
"Latitude","49.15"
"Longitude","-122.65"
"Elevation","86.90"
"Climate Identifier","1104560"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1953-01","1953","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-02","1953","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-03","1953","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-04","1953","04","","","","","","","","","","","79.0","","0.0","","79.0","","","",,"",,""
"1953-05","1953","05","","","","","","","","","","","43.7","","0.0","","43.7","","","",,"",,""
"1953-06","1953","06","","","","","","","","","","","98.0","","0.0","","98.0","","","",,"",,""
"1953-07","1953","07","","","","","","","","","","","50.0","","0.0","","50.0","","","",,"",,""
"1953-08","1953","08","","","","","","","","","","","26.4","","0.0","","26.4","","","",,"",,""
"1953-09","1953","09","","","","","","","","","","","137.9","","0.0","","137.9","","","",,"",,""
"1953-10","1953","10","","","","","","","","","","","149.9","","0.0","","149.9","","","",,"",,""
"1953-11","1953","11","","","","","","","","","","","302.8","","0.0","","302.8","","","",,"",,""
"1953-12","1953","12","","","","","","","","","","","323.1","","0.0","","323.1","","","",,"",,""
"1954-01","1954","01","","","","","","","","","","","133.1","","126.5","","259.6","","","",,"",,""
"1954-02","1954","02","","","","","","","","","","","150.4","","0.0","","150.4","","","",,"",,""
"1954-03","1954","03","","","","","","","","","","","53.1","","0.5","","53.6","","","",,"",,""
"1954-04","1954","04","","","","","","","","","","","104.6","","0.0","","104.6","","","",,"",,""
"1954-05","1954","05","","","","","","","","","","","57.9","","0.0","","57.9","","","",,"",,""
"1954-06","1954","06","","","","","","","","","","","95.5","","0.0","","95.5","","","",,"",,""
"1954-07","1954","07","","","","","","","","","","","38.1","","0.0","","38.1","","","",,"",,""
"1954-08","1954","08","","","","","","","","","","","82.3","","0.0","","82.3","","","",,"",,""
"1954-09","1954","09","","","","","","","","","","","77.0","","0.0","","77.0","","","",,"",,""
"1954-10","1954","10","","","","","","","","","","","66.8","","0.0","","66.8","","","",,"",,""
"1954-11","1954","11","","","","","","","","","","","364.5","","0.0","","364.5","","","",,"",,""
"1954-12","1954","12","","","","","","","","","","","156.7","","0.0","T","156.7","","","",,"",,""
"1955-01","1955","01","","","","","","","","","","","126.7","","0.0","T","126.7","","","M",,"",,""
"1955-02","1955","02","","","","","","","","","","","115.3","","15.2","","130.6","","15","",,"",,""
"1955-03","1955","03","","","","","","","","","","","135.4","","2.5","","137.9","","","M",,"",,""
"1955-04","1955","04","","","","","","","","","","","94.2","","0.0","T","94.2","","0","",,"",,""
"1955-05","1955","05","","","","","","","","","","","83.6","","0.0","","83.6","","","M",,"",,""
"1955-06","1955","06","","","","","","","","","","","68.3","","0.0","","68.3","","","M",,"",,""
"1955-07","1955","07","","","","","","","","","","","88.4","","0.0","","88.4","","","M",,"",,""
"1955-08","1955","08","","","","","","","","","","","4.6","","0.0","","4.6","","","M",,"",,""
"1955-09","1955","09","","","","","","","","","","","47.8","","0.0","","47.8","","","M",,"",,""
"1955-10","1955","10","","","","","","","","","","","200.9","","0.0","","200.9","","","M",,"",,""
"1955-11","1955","11","","","","","","","","","","","308.9","","17.8","","326.6","","0","",,"",,""
"1955-12","1955","12","","","","","","","","","","","163.6","","1.3","","164.8","","0","",,"",,""
"1956-01","1956","01","","","","","","","","","","","164.1","","26.2","","190.2","","","M",,"",,""
"1956-02","1956","02","","","","","","","","","","","105.2","","33.0","","138.2","","","M",,"",,""
"1956-03","1956","03","","","","","","","","","","","145.0","","12.7","","157.7","","","M",,"",,""
"1956-04","1956","04","","","","","","","","","","","18.8","","0.0","","18.8","","","M",,"",,""
"1956-05","1956","05","","","","","","","","","","","26.4","","0.0","","26.4","","","M",,"",,""
"1956-06","1956","06","","","","","","","","","","","145.8","","0.0","","145.8","","0","",,"",,""
"1956-07","1956","07","","","","","","","","","","","19.1","","0.0","","19.1","","0","",,"",,""
"1956-08","1956","08","","","","","","","","","","","54.4","","0.0","","54.4","","0","",,"",,""
"1956-09","1956","09","","","","","","","","","","","174.8","","0.0","","174.8","","0","",,"",,""
"1956-10","1956","10","","","","","","","","","","","249.4","","0.0","","249.4","","0","",,"",,""
"1956-11","1956","11","","","","","","","","","","","98.6","","0.0","","98.6","","","M",,"",,""
"1956-12","1956","12","","","","","","","","","","","331.5","","8.9","","340.4","","","M",,"",,""
"1957-01","1957","01","","","","","","","","","","","30.2","","57.4","","87.6","","","M",,"",,""
"1957-02","1957","02","","","","","","","","","","","86.6","","22.9","","109.5","","","M",,"",,""
"1957-03","1957","03","","","","","","","","","","","159.5","","0.0","","159.5","","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","84.3","","0.0","","84.3","","","M",,"",,""
"1957-05","1957","05","","","","","","","","","","","34.5","","0.0","","34.5","","0","",,"",,""
"1957-06","1957","06","","","","","","","","","","","75.7","","0.0","","75.7","","0","",,"",,""
"1957-07","1957","07","","","","","","","","","","","52.8","","0.0","","52.8","","0","",,"",,""
"1957-08","1957","08","","","","","","","","","","","54.9","","0.0","","54.9","","0","",,"",,""
"1957-09","1957","09","","","","","","","","","","","35.3","","0.0","","35.3","","0","",,"",,""
"1957-10","1957","10","","","","","","","","","","","107.7","","0.0","","107.7","","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","111.8","","0.0","","111.8","","","M",,"",,""
"1957-12","1957","12","","","","","","","","","","","200.4","","0.0","","200.4","","","M",,"",,""
"1958-01","1958","01","","","","","","","","","","","270.0","","0.0","","270.0","","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","142.5","","0.0","","142.5","","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","56.6","","0.0","","56.6","","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","79.8","","0.0","","79.8","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","69.6","","0.0","","69.6","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","19.6","","0.0","","19.6","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","3.3","","0.0","","3.3","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","41.1","","0.0","","41.1","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","176.8","","0.0","","176.8","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","200.2","","5.1","","205.2","","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","196.9","","11.2","","208.0","","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","","M","25.4","","","M","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","176.8","","2.5","","179.3","","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","185.4","","3.3","","188.7","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","140.0","","0.0","","140.0","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","92.5","","0.0","","92.5","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","80.5","","0.0","","80.5","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","23.1","","0.0","","23.1","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","25.4","","0.0","","25.4","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","193.3","","0.0","","193.3","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","131.3","","0.0","","131.3","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","237.2","","5.1","","242.3","","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","198.4","","0.0","","198.4","","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","191.5","","24.1","","215.6","","0","",,"",,""
"1960-02","1960","02","","","","","","","","","","","132.8","","0.0","","132.8","","","M",,"",,""
"1960-03","1960","03","","","","","","","","","","","124.0","","19.1","","143.0","","","M",,"",,""
"1960-04","1960","04","","","","","","","","","","","88.1","","0.0","","88.1","","","M",,"",,""
"1960-05","1960","05","","","","","","","","","","","150.6","","0.0","","150.6","","","M",,"",,""
"1960-06","1960","06","","","","","","","","","","","54.1","","0.0","","54.1","","","M",,"",,""
"1960-07","1960","07","","","","","","","","","","","0.0","T","0.0","","0.0","T","","M",,"",,""
"1960-08","1960","08","","","","","","","","","","","124.7","","0.0","","124.7","","","M",,"",,""
"1960-09","1960","09","","","","","","","","","","","55.4","","0.0","","55.4","","","M",,"",,""
"1960-10","1960","10","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1960-11","1960","11","","","","","","","","","","","170.2","","0.0","T","170.2","","","M",,"",,""
"1960-12","1960","12","","","","","","","","","","","144.5","","0.0","","144.5","","","M",,"",,""
"1961-01","1961","01","","","","","","","","","","","286.0","","5.1","","291.1","","","M",,"",,""
"1961-02","1961","02","","","","","","","","","","","342.6","","0.0","","342.6","","0","",,"",,""
"1961-03","1961","03","","","","","","","","","","","147.8","","2.5","","150.4","","","M",,"",,""
"1961-04","1961","04","","","","","","","","","","","84.3","","0.0","","84.3","","","M",,"",,""
"1961-05","1961","05","","","","","","","","","","","92.7","","0.0","","92.7","","0","",,"",,""
"1961-06","1961","06","","","","","","","","","","","33.0","","0.0","","33.0","","","M",,"",,""
"1961-07","1961","07","","","","","","","","","","","18.0","","0.0","","18.0","","","M",,"",,""
"1961-08","1961","08","","","","","","","","","","","62.7","","0.0","","62.7","","","M",,"",,""
"1961-09","1961","09","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1961-10","1961","10","","","","","","","","","","","225.0","","0.0","","225.0","","","M",,"",,""
"1961-11","1961","11","","","","","","","","","","","143.3","","0.0","T","143.3","","","M",,"",,""
"1961-12","1961","12","","","","","","","","","","","208.8","","23.4","","232.2","","0","",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1962-03","1962","03","","","","","","","","","","","63.8","","44.5","","108.2","","0","",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","97.0","","0.0","","97.0","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","56.4","","0.0","","56.4","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","37.1","","0.0","","37.1","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","127.8","","0.0","","127.8","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","94.2","","0.0","","94.2","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","111.3","","0.0","","111.3","","0","",,"",,""
"1962-11","1962","11","","","","","","","","","","","","M","10.2","","","M","","M",,"",,""
"1962-12","1962","12","","","","","","","","","","","","M","","M","262.6","","0","",,"",,""
"1963-01","1963","01","","","","","","","","","","","43.7","","12.7","","56.4","","","M",,"",,""
"1963-02","1963","02","","","","","","","","","","","175.3","","0.0","","175.3","","0","",,"",,""
"1963-03","1963","03","","","","","","","","","","","90.7","","0.0","","90.7","","0","",,"",,""
"1963-04","1963","04","","","","","","","","","","","115.3","","0.0","","115.3","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","54.9","","0.0","","54.9","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","49.8","","0.0","","49.8","","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","85.6","","0.0","","85.6","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","28.7","","0.0","","28.7","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","62.0","","0.0","","62.0","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","187.5","","0.0","","187.5","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","270.5","","0.0","T","270.5","","0","",,"",,""
"1963-12","1963","12","","","","","","","","","","","339.9","","0.0","","339.9","","0","",,"",,""
"1964-01","1964","01","","","","","","","","","","","219.5","","3.8","","223.3","","0","",,"",,""
"1964-02","1964","02","","","","","","","","","","","94.5","","0.0","","94.5","","0","",,"",,""
"1964-03","1964","03","","","","","","","","","","","179.3","","0.0","T","179.3","","0","",,"",,""
"1964-04","1964","04","","","","","","","","","","","90.7","","0.0","T","90.7","","0","",,"",,""
"1964-05","1964","05","","","","","","","","","","","79.8","","0.0","","79.8","","0","",,"",,""
"1964-06","1964","06","","","","","","","","","","","129.8","","0.0","","129.8","","0","",,"",,""
"1964-07","1964","07","","","","","","","","","","","91.2","","0.0","","91.2","","0","",,"",,""
"1964-08","1964","08","","","","","","","","","","","64.0","","0.0","","64.0","","0","",,"",,""
"1964-09","1964","09","","","","","","","","","","","153.4","","0.0","","153.4","","0","",,"",,""
"1964-10","1964","10","","","","","","","","","","","97.3","","0.0","","97.3","","0","",,"",,""
"1964-11","1964","11","","","","","","","","","","","222.5","","22.9","","245.4","","","M",,"",,""
"1964-12","1964","12","","","","","","","","","","","52.8","","111.0","","163.8","","","M",,"",,""
"1965-01","1965","01","","","","","","","","","","","190.0","","32.8","","222.8","","","M",,"",,""
"1965-02","1965","02","","","","","","","","","","","331.2","","6.4","","337.6","","","M",,"",,""
"1965-03","1965","03","","","","","","","","","","","45.0","","1.8","","46.7","","0","",,"",,""
"1965-04","1965","04","","","","","","","","","","","80.3","","0.0","","80.3","","0","",,"",,""
"1965-05","1965","05","","","","","","","","","","","84.8","","0.0","","84.8","","0","",,"",,""
"1965-06","1965","06","","","","","","","","","","","16.3","","0.0","","16.3","","0","",,"",,""
"1965-07","1965","07","","","","","","","","","","","7.4","","0.0","","7.4","","0","",,"",,""
"1965-08","1965","08","","","","","","","","","","","68.6","","0.0","","68.6","","0","",,"",,""
"1965-09","1965","09","","","","","","","","","","","26.9","","0.0","","26.9","","0","",,"",,""
"1965-10","1965","10","","","","","","","","","","","182.6","","0.0","","182.6","","0","",,"",,""
"1965-11","1965","11","","","","","","","","","","","201.4","","0.0","","201.4","","0","",,"",,""
"1965-12","1965","12","","","","","","","","","","","128.3","","51.3","","179.6","","","M",,"",,""
"1966-01","1966","01","","","","","","","","","","","185.4","","33.8","","219.2","","0","",,"",,""
"1966-02","1966","02","","","","","","","","","","","88.9","","20.3","","109.2","","","M",,"",,""
"1966-03","1966","03","","","","","","","","","","","117.6","","5.1","","122.7","","0","",,"",,""
"1966-04","1966","04","","","","","","","","","","","71.9","","0.0","","71.9","","0","",,"",,""
"1966-05","1966","05","","","","","","","","","","","71.4","","0.0","","71.4","","0","",,"",,""
"1966-06","1966","06","","","","","","","","","","","51.8","","0.0","","51.8","","0","",,"",,""
"1966-07","1966","07","","","","","","","","","","","92.5","","0.0","","92.5","","0","",,"",,""
"1966-08","1966","08","","","","","","","","","","","36.3","","0.0","","36.3","","0","",,"",,""
"1966-09","1966","09","","","","","","","","","","","91.7","","0.0","","91.7","","0","",,"",,""
"1966-10","1966","10","","","","","","","","","","","211.3","","0.0","","211.3","","0","",,"",,""
"1966-11","1966","11","","","","","","","","","","","204.5","","0.0","T","204.5","","0","",,"",,""
"1966-12","1966","12","","","","","","","","","","","372.6","","3.8","","376.4","","0","",,"",,""
"1967-01","1967","01","","","","","","","","","","","321.6","","29.0","","350.5","","0","",,"",,""
"1967-02","1967","02","","","","","","","","","","","155.4","","7.4","","162.8","","0","",,"",,""
"1967-03","1967","03","","","","","","","","","","","146.3","","4.3","","150.6","","0","",,"",,""
"1967-04","1967","04","","","","","","","","","","","101.1","","0.0","","101.1","","0","",,"",,""
"1967-05","1967","05","","","","","","","","","","","72.4","","0.0","","72.4","","0","",,"",,""
"1967-06","1967","06","","","","","","","","","","","24.1","","0.0","","24.1","","0","",,"",,""
"1967-07","1967","07","","","","","","","","","","","16.5","","0.0","","16.5","","0","",,"",,""
"1967-08","1967","08","","","","","","","","","","","10.9","","0.0","","10.9","","0","",,"",,""
"1967-09","1967","09","","","","","","","","","","","75.4","","0.0","","75.4","","0","",,"",,""
"1967-10","1967","10","","","","","","","","","","","422.9","","0.0","","422.9","","0","",,"",,""
"1967-11","1967","11","","","","","","","","","","","153.2","","0.0","","153.2","","0","",,"",,""
"1967-12","1967","12","","","","","","","","","","","206.5","","23.6","","230.1","","0","",,"",,""
