"Station Name","LAPRAIRIE"
"Province","QUEBEC"
"Latitude","45.38"
"Longitude","-73.43"
"Elevation","30.00"
"Climate Identifier","7024100"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01","1963","01","-7.0","","-13.5","","-10.3","","3.3","","-26.7","","1.5","","52.1","","53.6","","51","",,"",,""
"1963-02","1963","02","-9.1","","-17.7","","-13.4","","2.2","","-30.6","","0.0","","70.4","","70.4","","74","",,"",,""
"1963-03","1963","03","0.1","","-8.9","","-4.4","","10.6","","-22.8","","41.4","","30.0","","71.4","","20","",,"",,""
"1963-04","1963","04","10.6","","0.4","","5.5","","20.6","","-8.3","","80.5","","2.0","","82.6","","0","",,"",,""
"1963-05","1963","05","17.4","","6.4","","11.9","","24.4","S","0.0","S","70.1","","4.3","","74.4","","0","",,"",,""
"1963-06","1963","06","24.6","","13.3","","19.0","","32.8","","7.2","","76.7","","0.0","","76.7","","0","",,"",,""
"1963-07","1963","07","26.7","","17.1","","21.9","","35.0","","8.9","","42.4","","0.0","","42.4","","0","",,"",,""
"1963-08","1963","08","22.1","","13.2","","17.7","","28.3","","8.9","S","162.8","","0.0","","162.8","","0","",,"",,""
"1963-09","1963","09","18.3","","6.9","","12.6","","24.4","","1.1","","116.6","","0.0","","116.6","","0","",,"",,""
"1963-10","1963","10","18.2","","6.7","","12.5","","25.0","","-1.7","S","12.4","","0.0","","12.4","","0","",,"",,""
"1963-11","1963","11","8.1","","1.2","","4.7","","17.8","","-7.8","","","M","0.0","T","","M","0","",,"",,""
"1963-12","1963","12","-8.3","","-14.9","","-11.6","","4.4","","-25.0","","8.9","","32.8","","41.7","","13","",,"",,""
"1964-01","1964","01","-1.7","","-10.2","","-6.0","","5.6","","-22.2","","76.7","","33.8","","110.5","","5","",,"",,""
"1964-02","1964","02","-3.3","","-12.9","","-8.1","","3.9","","-27.2","","1.3","","31.8","","33.0","","15","",,"",,""
"1964-03","1964","03","3.1","","-5.7","","-1.3","","13.3","","-13.9","","","M","18.3","","","M","","M",,"",,""
"1964-04","1964","04","11.3","","0.6","","6.0","","23.3","","-10.6","","50.8","","8.4","","59.2","","0","",,"",,""
"1964-05","1964","05","21.5","","8.8","","15.2","","32.2","","0.0","","45.0","","0.0","","45.0","","0","",,"",,""
"1964-06","1964","06","24.6","","12.5","","18.6","","35.0","","4.4","","24.4","","0.0","","24.4","","0","",,"",,""
"1964-07","1964","07","27.1","","16.0","","21.6","","35.6","","10.0","","91.4","","0.0","","91.4","","0","",,"",,""
"1964-08","1964","08","22.2","","12.6","","17.4","","28.9","","5.6","","","M","0.0","","","M","0","",,"",,""
"1964-09","1964","09","19.4","","7.8","","13.6","","27.2","","-0.6","","50.5","","0.0","","50.5","","0","",,"",,""
"1964-10","1964","10","13.0","","3.0","","8.0","","21.7","S","-6.7","","35.6","","0.0","","35.6","","0","",,"",,""
"1964-11","1964","11","5.6","","-2.8","","1.4","","15.6","","-13.3","","42.2","","10.7","","52.8","","0","",,"",,""
"1964-12","1964","12","-1.6","","-9.8","","-5.7","","13.9","","-18.3","","23.9","","47.8","","71.6","","15","",,"",,""
"1965-01","1965","01","-5.9","","-15.4","","-10.7","","7.8","","-27.2","","15.5","","26.9","","42.4","","25","",,"",,""
"1965-02","1965","02","-4.2","","-14.1","","-9.2","","5.6","S","-26.1","","48.3","E","31.2","","79.5","E","8","",,"",,""
"1965-03","1965","03","1.7","","-6.2","","-2.3","","10.6","","-11.1","S","0.3","","24.4","","24.6","","3","",,"",,""
