"Station Name","LAURIERVILLE"
"Province","QUEBEC"
"Latitude","46.33"
"Longitude","-71.67"
"Elevation","152.00"
"Climate Identifier","7024250"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01","1963","01","-5.9","","-15.2","","-10.6","","4.4","","-25.6","","0.0","","43.2","","43.2","","86","",,"",,""
"1963-02","1963","02","-9.4","","-20.8","","-15.1","","-0.6","","-33.9","","0.0","","113.5","","113.5","","","M",,"",,""
"1963-03","1963","03","0.2","","-12.0","","-5.9","","10.6","","-28.3","","3.3","","47.0","","50.3","","107","",,"",,""
"1963-04","1963","04","8.9","","-1.4","","3.8","","20.0","","-9.4","S","69.6","","15.7","","85.3","","0","",,"",,""
"1963-05","1963","05","16.9","","4.4","","10.7","","25.6","","-3.9","","56.6","","0.0","","56.6","","0","",,"",,""
"1963-06","1963","06","24.2","","11.5","","17.9","","31.7","S","1.7","","69.3","","0.0","","69.3","","0","",,"",,""
"1963-07","1963","07","25.3","","15.2","","20.3","","32.8","","8.3","S","105.4","","0.0","","105.4","","0","",,"",,""
"1963-08","1963","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-09","1963","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-10","1963","10","","M","","M","","M","","M","","M","42.2","","0.0","","42.2","","0","",,"",,""
"1963-11","1963","11","5.8","","-0.9","","2.5","","16.1","","-12.2","","93.0","","25.4","","118.4","","0","",,"",,""
"1963-12","1963","12","-8.7","","-17.6","","-13.2","","4.4","","-36.1","","","M","","M","","M","30","",,"",,""
"1964-01","1964","01","-3.5","","-13.8","","-8.7","","7.2","","-28.9","","","M","","M","","M","43","",,"",,""
"1964-02","1964","02","-3.9","","-14.1","","-9.0","","3.3","","-24.4","","0.0","","","M","","M","74","",,"",,""
"1964-03","1964","03","1.0","","-8.2","","-3.6","","13.3","","-19.4","","","M","","M","","M","46","",,"",,""
"1964-04","1964","04","10.1","","-1.1","","4.5","","21.1","","-17.2","","","M","","M","","M","0","",,"",,""
"1964-05","1964","05","19.7","","6.6","","13.2","","29.4","","-3.9","","89.2","","0.0","","89.2","","0","",,"",,""
"1964-06","1964","06","22.8","","9.9","","16.4","","30.6","","1.7","","75.2","","0.0","","75.2","","0","",,"",,""
"1964-07","1964","07","25.2","","14.2","","19.7","","31.1","S","6.7","","","M","0.0","","","M","0","",,"",,""
"1964-08","1964","08","21.4","","11.2","","16.3","","26.7","S","6.7","S","97.8","","0.0","","97.8","","0","",,"",,""
"1964-09","1964","09","18.3","","6.3","","12.3","","25.0","","-6.1","","26.9","","0.0","","26.9","","0","",,"",,""
"1964-10","1964","10","11.3","","1.4","","6.4","","22.2","","-6.7","","70.9","","0.0","","70.9","","0","",,"",,""
"1964-11","1964","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-12","1964","12","-1.8","","-9.8","","-5.8","","18.3","","-17.8","S","","M","","M","","M","3","",,"",,""
"1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","1.4","","-9.2","","-3.9","","11.7","","-18.9","","0.0","","3.0","","3.0","","0","T",,"",,""
"1965-04","1965","04","9.3","","-2.6","","3.4","","19.4","","-13.3","","46.7","","0.0","","46.7","","0","",,"",,""
"1965-05","1965","05","19.0","","4.4","","11.7","","23.9","","-6.1","S","66.5","","0.0","","66.5","","0","",,"",,""
"1965-06","1965","06","22.8","","9.7","","16.3","","","M","-0.6","","48.5","","0.0","","48.5","","0","",,"",,""
"1965-07","1965","07","23.2","","11.1","","17.2","","28.9","","5.0","","101.6","","0.0","","101.6","","0","",,"",,""
"1965-08","1965","08","22.7","","12.5","","17.6","","27.8","S","1.7","","","M","0.0","","190.5","E","0","",,"",,""
"1965-09","1965","09","19.1","","8.7","","13.9","","29.4","","-3.9","","112.3","","0.0","","112.3","","0","",,"",,""
"1965-10","1965","10","10.3","","1.9","","6.1","","23.9","","-10.0","","107.4","","2.8","","110.2","","0","",,"",,""
"1965-11","1965","11","1.8","","-6.4","","-2.3","","13.9","","-12.8","","8.4","","94.0","","102.4","","30","",,"",,""
"1965-12","1965","12","-3.4","","-10.3","","-6.9","","6.7","","-22.8","","29.0","","33.3","","62.2","","25","",,"",,""
"1966-01","1966","01","-6.9","","-15.7","","-11.3","","5.6","","-30.0","","0.0","","102.4","","102.4","","91","",,"",,""
"1966-02","1966","02","-4.4","","-13.4","","-8.9","","7.2","","-31.7","","21.1","","30.7","E","51.8","E","76","",,"",,""
"1966-03","1966","03","1.3","","-7.1","","-2.9","","13.9","","-18.9","","52.6","","13.0","","65.5","","23","",,"",,""
"1966-04","1966","04","9.2","","-1.7","","3.8","","21.7","","-11.7","","15.0","","0.0","T","15.0","","0","",,"",,""
"1966-05","1966","05","15.9","","4.3","","10.1","","28.9","S","-5.6","","44.5","","1.8","","46.2","","0","",,"",,""
"1966-06","1966","06","22.9","","11.2","","17.1","","30.0","","2.2","","112.5","","0.0","","112.5","","0","",,"",,""
"1966-07","1966","07","24.6","","13.2","","18.9","","30.6","","6.1","","105.9","","0.0","","105.9","","0","",,"",,""
"1966-08","1966","08","22.5","","12.6","","17.6","","30.0","","4.4","","113.3","","0.0","","113.3","","0","",,"",,""
"1966-09","1966","09","17.0","","6.5","","11.8","","24.4","","-1.1","","91.2","","0.0","","91.2","","0","",,"",,""
"1966-10","1966","10","11.8","","3.0","","7.4","","20.6","","-9.4","","48.8","","0.0","","48.8","","0","",,"",,""
"1966-11","1966","11","6.2","","-0.9","","2.7","","18.9","","-11.7","","72.9","","6.9","","79.8","","0","",,"",,""
"1966-12","1966","12","-3.3","","-10.9","","-7.1","","11.1","","-19.4","","45.7","","51.6","","97.3","","41","",,"",,""
"1967-01","1967","01","-3.6","","-12.6","","-8.1","","6.7","","-28.9","","11.4","","49.3","","60.7","","61","",,"",,""
"1967-02","1967","02","-8.9","","-20.9","","-14.9","","1.7","","-38.3","","0.0","","46.5","","46.5","","97","",,"",,""
"1967-03","1967","03","-1.9","","-13.1","","-7.5","","8.3","S","-27.2","","4.3","","2.8","","7.1","","41","",,"",,""
"1967-04","1967","04","7.6","","-3.0","","2.3","","13.9","","-12.2","","49.5","","1.3","","50.8","","0","",,"",,""
"1967-05","1967","05","13.3","","1.5","","7.4","","25.6","","-6.1","","68.8","","0.0","","68.8","","0","",,"",,""
"1967-06","1967","06","24.0","","11.6","","17.8","","30.6","S","4.4","","82.8","","0.0","","82.8","","0","",,"",,""
"1967-07","1967","07","25.3","","14.3","E","19.8","E","30.0","","","M","93.0","","0.0","","93.0","","0","",,"",,""
