"Station Name","LENNOXVILLE"
"Province","QUEBEC"
"Latitude","45.37"
"Longitude","-71.82"
"Elevation","181.00"
"Climate Identifier","7024280"
"WMO Identifier","71611"
"TC Identifier","WQH"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1888-01","1888","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-02","1888","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-03","1888","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-04","1888","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-05","1888","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-06","1888","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-07","1888","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-08","1888","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-09","1888","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-10","1888","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-11","1888","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1888-12","1888","12","-1.1","","-9.8","","-5.5","","10.0","","-23.3","","58.9","","23.1","","82.0","","","",,"",,""
"1889-01","1889","01","-1.9","","-11.8","","-6.9","","9.4","","-29.4","","17.3","","78.7","","96.0","","","",,"",,""
"1889-02","1889","02","-4.8","","-21.1","","-13.0","","5.0","","-41.1","","17.0","","38.1","","55.1","","","",,"",,""
"1889-03","1889","03","3.2","","-7.8","","-2.3","","8.9","","-17.2","S","21.3","","50.8","","72.1","","","",,"",,""
"1889-04","1889","04","12.5","","0.2","","6.4","","27.2","","-8.3","","22.4","","7.9","","30.2","","","",,"",,""
"1889-05","1889","05","19.9","","6.9","","13.4","","31.7","","0.0","S","96.5","","0.5","","97.0","","","",,"",,""
"1889-06","1889","06","21.2","","11.4","","16.3","","31.1","","1.7","","137.9","","0.0","","137.9","","","",,"",,""
"1889-07","1889","07","24.8","","13.2","","19.0","","32.2","","","M","76.5","","0.0","","76.5","","","",,"",,""
"1889-08","1889","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-09","1889","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1889-10","1889","10","8.2","","-0.8","","3.7","","15.6","","-10.6","","104.6","","0.8","","105.4","","","",,"",,""
"1889-11","1889","11","5.1","","-2.8","","1.2","","12.2","","-15.6","","88.6","","25.7","","114.3","","","",,"",,""
"1889-12","1889","12","0.2","","-10.9","","-5.4","","16.1","","-25.0","","55.6","","32.8","","88.4","","","",,"",,""
"1890-01","1890","01","","M","","M","","M","","M","","M","25.4","","60.2","","85.6","","","",,"",,""
"1890-02","1890","02","-1.7","","-15.4","","-8.6","","6.7","S","-32.8","","46.7","","82.3","","129.0","","","",,"",,""
"1890-03","1890","03","0.3","","-9.6","","-4.7","","7.2","","-27.8","","23.1","","23.4","","46.5","","","",,"",,""
"1890-04","1890","04","9.3","","-3.4","","3.0","","20.6","","-10.0","","47.5","","0.8","","48.3","","","",,"",,""
"1890-05","1890","05","15.8","","5.1","","10.5","","25.6","","-5.6","","160.3","","0.0","","160.3","","","",,"",,""
"1890-06","1890","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1890-07","1890","07","","M","","M","","M","","M","","M","82.8","","0.0","","82.8","","","",,"",,""
"1890-08","1890","08","","M","","M","","M","","M","","M","133.6","","0.0","","133.6","","","",,"",,""
"1890-09","1890","09","","M","","M","","M","","M","","M","81.5","","0.0","","81.5","","","",,"",,""
"1890-10","1890","10","11.1","","1.0","","6.1","","22.8","","-7.2","","55.4","","0.0","T","55.4","","","",,"",,""
"1890-11","1890","11","2.6","","-5.1","","-1.3","","15.6","","-14.4","","77.7","","20.1","","97.8","","","",,"",,""
"1890-12","1890","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1891-01","1891","01","","","","","","","","","","","","","","","","","","",,"",,""
"1891-02","1891","02","","","","","","","","","","","","","","","","","","",,"",,""
"1891-03","1891","03","","","","","","","","","","","","","","","","","","",,"",,""
"1891-04","1891","04","","","","","","","","","","","","","","","","","","",,"",,""
"1891-05","1891","05","","","","","","","","","","","","","","","","","","",,"",,""
"1891-06","1891","06","","","","","","","","","","","","","","","","","","",,"",,""
"1891-07","1891","07","","","","","","","","","","","","","","","","","","",,"",,""
"1891-08","1891","08","","","","","","","","","","","","","","","","","","",,"",,""
"1891-09","1891","09","","","","","","","","","","","","","","","","","","",,"",,""
"1891-10","1891","10","","","","","","","","","","","","","","","","","","",,"",,""
"1891-11","1891","11","","","","","","","","","","","","","","","","","","",,"",,""
"1891-12","1891","12","","","","","","","","","","","","","","","","","","",,"",,""
"1892-01","1892","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1892-02","1892","02","-3.1","","-18.1","","-10.6","","","M","","M","0.0","T","59.7","","59.7","","","",,"",,""
"1892-03","1892","03","-0.7","","-11.7","","-6.2","","7.2","","-26.1","","7.6","","35.6","","43.2","","","",,"",,""
"1892-04","1892","04","8.7","","-2.7","","3.0","","18.3","","-10.6","","11.7","","0.5","","12.2","","","",,"",,""
"1892-05","1892","05","16.0","","4.2","","10.1","","27.2","","-2.2","S","86.6","","0.0","T","86.6","","","",,"",,""
"1892-06","1892","06","","M","","M","","M","","M","","M","234.2","","0.0","","234.2","","","",,"",,""
"1892-07","1892","07","26.7","","13.3","","20.0","","","M","","M","101.6","","0.0","","101.6","","","",,"",,""
"1892-08","1892","08","23.4","","12.6","","18.0","","31.1","S","5.6","","183.1","","0.0","","183.1","","","",,"",,""
"1892-09","1892","09","19.6","","6.5","","13.1","","","M","","M","57.4","","0.0","","57.4","","","",,"",,""
"1892-10","1892","10","","M","","M","","M","","M","","M","48.3","","1.3","","49.5","","","",,"",,""
"1892-11","1892","11","","M","","M","","M","","M","","M","24.6","","41.9","","66.5","","","",,"",,""
"1892-12","1892","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1893-01","1893","01","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1893-02","1893","02","","M","","M","","M","","","","","9.1","","75.7","","84.8","","","",,"",,""
"1893-03","1893","03","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1893-04","1893","04","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1893-05","1893","05","16.8","","4.4","","10.6","","","","","","89.7","","0.0","","89.7","","","",,"",,""
"1893-06","1893","06","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1893-07","1893","07","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1893-08","1893","08","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
"1893-09","1893","09","","M","","M","","M","","","","","","M","","M","","M","","",,"",,""
