"Station Name","LONDON SHARON DRIVE"
"Province","ONTARIO"
"Latitude","43.03"
"Longitude","-81.28"
"Elevation","274.30"
"Climate Identifier","6144500"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1956-01","1956","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-03","1956","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-04","1956","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-05","1956","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-06","1956","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-07","1956","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-08","1956","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-09","1956","09","","","","","","","","","","","55.6","","0.0","","55.6","","0","",,"",,""
"1956-10","1956","10","","","","","","","","","","","25.7","","0.0","","25.7","","","M",,"",,""
"1956-11","1956","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-12","1956","12","","","","","","","","","","","53.6","","31.8","","85.3","","","M",,"",,""
"1957-01","1957","01","","","","","","","","","","","12.7","","43.9","","56.6","","","M",,"",,""
"1957-02","1957","02","","","","","","","","","","","30.5","","26.9","","57.4","","","M",,"",,""
"1957-03","1957","03","","","","","","","","","","","32.0","","8.9","","40.9","","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","56.4","","12.2","","68.6","","","M",,"",,""
"1957-05","1957","05","","","","","","","","","","","74.7","","0.0","","74.7","","0","",,"",,""
"1957-06","1957","06","","","","","","","","","","","141.2","","0.0","","141.2","","0","",,"",,""
"1957-07","1957","07","","","","","","","","","","","67.6","","0.0","","67.6","","0","",,"",,""
"1957-08","1957","08","","","","","","","","","","","47.8","","0.0","","47.8","","0","",,"",,""
"1957-09","1957","09","","","","","","","","","","","136.7","","0.0","","136.7","","0","",,"",,""
"1957-10","1957","10","","","","","","","","","","","71.1","","0.0","","71.1","","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","75.9","","19.6","","95.5","","","M",,"",,""
"1957-12","1957","12","","","","","","","","","","","94.5","","14.5","","109.0","","","M",,"",,""
"1958-01","1958","01","","","","","","","","","","","8.9","","38.9","","47.8","","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","13.5","","33.0","","46.5","","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","0.0","","10.2","","10.2","","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","43.2","","3.8","","47.0","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","68.1","","0.0","","68.1","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","56.1","","0.0","","56.1","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","65.0","","0.0","","65.0","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","143.5","","0.0","","143.5","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","24.6","","0.0","","24.6","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","72.9","","21.6","","94.5","","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","0.0","","41.9","","41.9","","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","29.2","","62.2","","91.4","","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","60.7","","14.0","","74.7","","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","31.0","","30.5","","61.5","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","98.6","","0.0","","98.6","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","132.6","","0.0","","132.6","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","26.9","","0.0","","26.9","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","96.5","","0.0","","96.5","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","86.4","","0.0","","86.4","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","73.2","","0.0","","73.2","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","136.9","","0.0","","136.9","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","66.0","","8.9","","74.9","","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","78.7","","7.6","","86.4","","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","47.5","","36.3","","83.8","","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","45.5","","35.6","","81.0","","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","3.0","","66.0","","69.1","","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","108.5","","12.7","","121.2","","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","87.1","","0.0","","87.1","","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","110.7","","0.0","","110.7","","","",,"",,""
"1960-07","1960","07","","","","","","","","","","","134.6","","0.0","","134.6","","","",,"",,""
