"Station Name","LONG POINT"
"Province","ONTARIO"
"Latitude","42.55"
"Longitude","-80.05"
"Elevation","175.30"
"Climate Identifier","6134610"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1936-01","1936","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1936-02","1936","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1936-03","1936","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1936-04","1936","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1936-05","1936","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1936-06","1936","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1936-07","1936","07","","M","","M","","M","","M","","M","","M","0.0","","","M","","",,"",,""
"1936-08","1936","08","26.1","","17.6","","21.9","","31.7","","13.9","","29.5","","0.0","","29.5","","","",,"",,""
"1936-09","1936","09","22.3","","14.7","","18.5","","29.4","","6.7","","100.1","","0.0","","100.1","","","",,"",,""
"1936-10","1936","10","14.9","","7.3","","11.1","","22.8","","-2.8","S","62.7","","0.0","T","62.7","","","",,"",,""
"1936-11","1936","11","5.4","","-0.8","","2.3","","16.1","S","-10.6","","58.2","","21.3","","79.5","","","",,"",,""
"1936-12","1936","12","3.6","","-2.9","","0.4","","8.9","","-12.2","","47.8","","12.7","","60.5","","","",,"",,""
"1937-01","1937","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-02","1937","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-03","1937","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1937-04","1937","04","7.1","","1.3","","4.2","","11.7","S","-1.7","","231.9","","0.0","T","231.9","","","",,"",,""
"1937-05","1937","05","15.7","","6.9","","11.3","","27.8","","3.3","","69.9","","0.0","","69.9","","","",,"",,""
"1937-06","1937","06","22.1","","13.4","","17.8","","26.7","","10.0","","162.3","","0.0","","162.3","","","",,"",,""
"1937-07","1937","07","25.0","","16.7","","20.9","","29.4","","9.4","","95.3","","0.0","","95.3","","","",,"",,""
"1937-08","1937","08","26.3","","19.5","","22.9","","30.0","","16.1","","48.3","","0.0","","48.3","","","",,"",,""
"1937-09","1937","09","20.9","","13.4","","17.2","","30.0","","7.8","","57.9","","0.0","","57.9","","","",,"",,""
"1937-10","1937","10","12.6","","6.8","","9.7","","22.8","","0.0","S","106.2","","0.0","","106.2","","","",,"",,""
"1937-11","1937","11","7.6","","1.6","","4.6","","14.4","","-4.4","","37.6","","12.7","","50.3","","","",,"",,""
"1937-12","1937","12","0.2","","-4.6","","-2.2","","5.6","","-12.2","S","20.8","","106.2","","127.0","","","",,"",,""
"1938-01","1938","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1938-02","1938","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1938-03","1938","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1938-04","1938","04","9.4","","2.3","","5.9","","21.7","S","-3.9","","51.3","","3.8","","55.1","","","",,"",,""
"1938-05","1938","05","15.6","","8.1","","11.9","","22.2","","3.3","","79.8","","0.5","","80.3","","","",,"",,""
"1938-06","1938","06","22.0","","14.0","","18.0","","28.9","","10.0","S","64.3","","0.0","","64.3","","","",,"",,""
"1938-07","1938","07","25.8","","18.2","","22.0","","29.4","","13.3","","56.9","","0.0","","56.9","","","",,"",,""
"1938-08","1938","08","27.0","","19.8","","23.4","","31.1","S","16.1","S","82.8","","0.0","","82.8","","","",,"",,""
"1938-09","1938","09","20.3","","13.8","","17.1","","25.6","","8.9","S","128.5","","0.0","","128.5","","","",,"",,""
"1938-10","1938","10","15.8","","9.3","","12.6","","24.4","","4.4","","28.2","","0.0","","28.2","","","",,"",,""
"1938-11","1938","11","10.1","","3.4","","6.8","","20.0","S","-3.9","","65.3","","17.8","","83.1","","","",,"",,""
"1938-12","1938","12","2.4","","-2.6","","-0.1","","10.6","","-11.7","","44.5","","20.3","","64.8","","","",,"",,""
"1939-01","1939","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1939-02","1939","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1939-03","1939","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1939-04","1939","04","7.3","","0.6","","4.0","","17.8","","-5.0","","100.3","","10.9","","111.3","","","",,"",,""
"1939-05","1939","05","16.4","","7.2","","11.8","","24.4","","2.8","","43.7","","0.0","","43.7","","","",,"",,""
"1939-06","1939","06","21.1","","14.0","","17.6","","26.1","S","9.4","S","79.5","","0.0","","79.5","","","",,"",,""
"1939-07","1939","07","25.9","","17.8","","21.9","","31.1","","11.1","","50.3","","0.0","","50.3","","","",,"",,""
"1939-08","1939","08","26.4","","19.3","","22.9","","29.4","","16.7","","48.5","","0.0","","48.5","","","",,"",,""
"1939-09","1939","09","22.1","","14.9","","18.5","","30.0","","8.3","","51.1","","0.0","","51.1","","","",,"",,""
"1939-10","1939","10","15.2","","8.4","","11.8","","22.8","","0.6","","89.7","","0.0","","89.7","","","",,"",,""
"1939-11","1939","11","6.7","","1.4","","4.1","","15.6","","-3.3","","21.3","","0.0","T","21.3","","","",,"",,""
"1939-12","1939","12","3.7","","-1.3","","1.2","","10.0","S","-10.6","","28.4","","10.2","","38.6","","","",,"",,""
"1940-01","1940","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1940-02","1940","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1940-03","1940","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1940-04","1940","04","7.1","","-0.7","","3.2","","17.8","","-6.7","","63.2","","5.1","","68.3","","","",,"",,""
"1940-05","1940","05","14.3","","4.8","","9.6","","24.4","S","0.0","S","122.2","","0.0","","122.2","","","",,"",,""
"1940-06","1940","06","20.9","","12.8","","16.9","","27.2","","5.6","","57.4","","0.0","","57.4","","","",,"",,""
"1940-07","1940","07","24.9","","16.8","","20.9","","29.4","","11.1","S","37.1","","0.0","","37.1","","","",,"",,""
"1940-08","1940","08","24.4","","17.9","","21.2","","30.6","","11.1","S","102.6","","0.0","","102.6","","","",,"",,""
"1940-09","1940","09","20.5","","13.1","","16.8","","25.0","","5.6","","71.4","","0.0","","71.4","","","",,"",,""
"1940-10","1940","10","14.3","","7.2","","10.8","","21.7","","-1.7","","54.4","","0.0","","54.4","","","",,"",,""
"1940-11","1940","11","6.8","","1.6","","4.2","","17.2","","-4.4","","95.5","","53.3","","148.8","","","",,"",,""
"1940-12","1940","12","3.3","","-2.4","","0.5","","12.8","","-11.7","","82.0","","58.4","","140.5","","","",,"",,""
"1941-01","1941","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1941-02","1941","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1941-03","1941","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1941-04","1941","04","11.7","","1.9","","6.8","","22.2","","-3.3","","26.7","","0.0","","26.7","","","",,"",,""
"1941-05","1941","05","16.4","","7.3","","11.9","","22.2","","3.3","S","37.8","","0.0","","37.8","","","",,"",,""
"1941-06","1941","06","23.1","","14.1","","18.6","","31.7","","8.9","S","30.5","","0.0","","30.5","","","",,"",,""
"1941-07","1941","07","26.9","","17.9","","22.4","","32.2","","12.8","","55.1","","0.0","","55.1","","","",,"",,""
"1941-08","1941","08","25.3","","16.6","","21.0","","29.4","S","11.7","S","49.8","","0.0","","49.8","","","",,"",,""
"1941-09","1941","09","23.6","","14.7","","19.2","","30.0","","5.6","","15.7","","0.0","","15.7","","","",,"",,""
"1941-10","1941","10","16.8","","9.4","","13.1","","25.6","","1.7","S","111.5","","0.0","","111.5","","","",,"",,""
"1941-11","1941","11","9.9","","2.8","","6.4","","17.2","","-2.2","","66.5","","26.7","","93.2","","","",,"",,""
"1941-12","1941","12","4.8","","-1.3","","1.8","","15.6","","-11.1","","33.5","","12.7","","46.2","","","",,"",,""
"1942-01","1942","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-02","1942","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-03","1942","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-04","1942","04","11.8","","2.2","","7.0","","25.0","","-2.2","","47.8","","8.9","","56.6","","","",,"",,""
"1942-05","1942","05","15.7","","7.3","","11.5","","26.7","","2.2","","115.8","","0.0","","115.8","","","",,"",,""
"1942-06","1942","06","22.9","","14.1","","18.5","","27.8","S","9.4","","43.9","","0.0","","43.9","","","",,"",,""
"1942-07","1942","07","25.3","","16.9","","21.1","","28.9","S","11.7","","75.4","","0.0","","75.4","","","",,"",,""
